PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_max(in)	H_head_height_min(in)	K_neck_relief_dia_max(in)	K_neck_relief_dia_min(in)	S_neck_relief_fillet_radius(in)	U_neck_relief_width(in)	W_head_radius(in)	P_dog_and_half_dog_point_dia_max(in)	P_dog_and_half_dog_point_dia_min(in)	Q_point_length_dog_max(in)	Q_point_length_dog_min(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 3/8 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/8_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/8	0.375	16	0.0625	2.438	2  1/2 	2.5	0.375	0.362	0.53	0.497	0.293	0.27	0.294	0.279	0.041	0.125	0.94	0.25	0.241	0.193	0.183	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/8_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/8	0.375	16	0.0625	2.688	2  3/4 	2.75	0.375	0.362	0.53	0.497	0.293	0.27	0.294	0.279	0.041	0.125	0.94	0.25	0.241	0.193	0.183	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/8_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/8	0.375	16	0.0625	2.938	3      	3.0	0.375	0.362	0.53	0.497	0.293	0.27	0.294	0.279	0.041	0.125	0.94	0.25	0.241	0.193	0.183	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/8_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/8	0.375	16	0.0625	3.188	3  1/4 	3.25	0.375	0.362	0.53	0.497	0.293	0.27	0.294	0.279	0.041	0.125	0.94	0.25	0.241	0.193	0.183	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/8_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/8	0.375	16	0.0625	3.438	3  1/2 	3.5	0.375	0.362	0.53	0.497	0.293	0.27	0.294	0.279	0.041	0.125	0.94	0.25	0.241	0.193	0.183	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/8_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/8	0.375	16	0.0625	3.938	4      	4.0	0.375	0.362	0.53	0.497	0.293	0.27	0.294	0.279	0.041	0.125	0.94	0.25	0.241	0.193	0.183	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/8_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/8	0.375	16	0.0625	4.438	4  1/2 	4.5	0.375	0.362	0.53	0.497	0.293	0.27	0.294	0.279	0.041	0.125	0.94	0.25	0.241	0.193	0.183	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/8_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/8	0.375	16	0.0625	4.938	5      	5.0	0.375	0.362	0.53	0.497	0.293	0.27	0.294	0.279	0.041	0.125	0.94	0.25	0.241	0.193	0.183	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_0.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.429	  1/2 	0.5	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.5625 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_0.5625_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.491	  9/16	0.563	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.625 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_0.625_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.554	  5/8 	0.625	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_0.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.679	  3/4 	0.75	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.875 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_0.875_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.804	  7/8 	0.875	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_1_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.929	1      	1.0	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_1.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	1.179	1  1/4 	1.25	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_1.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	1.429	1  1/2 	1.5	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	1.679	1  3/4 	1.75	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	1.929	2      	2.0	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	2.179	2  1/4 	2.25	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	2.429	2  1/2 	2.5	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	2.679	2  3/4 	2.75	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	2.929	3      	3.0	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	3.179	3  1/4 	3.25	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	3.429	3  1/2 	3.5	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	3.929	4      	4.0	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	4.429	4  1/2 	4.5	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/16_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/16	0.438	14	0.0714	4.929	5      	5.0	0.438	0.423	0.619	0.581	0.341	0.315	0.345	0.33	0.046	0.143	1.09	0.297	0.287	0.224	0.214	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 0.5625 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_0.5625_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.486	  9/16	0.563	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 0.625 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_0.625_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.548	  5/8 	0.625	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 0.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_0.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.673	  3/4 	0.75	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 0.875 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_0.875_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.798	  7/8 	0.875	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 1 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_1_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.923	1      	1.0	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 1.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_1.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	1.173	1  1/4 	1.25	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 1.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_1.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	1.423	1  1/2 	1.5	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	1.673	1  3/4 	1.75	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	1.923	2      	2.0	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	2.173	2  1/4 	2.25	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	2.423	2  1/2 	2.5	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	2.673	2  3/4 	2.75	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	2.923	3      	3.0	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	3.173	3  1/4 	3.25	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	3.423	3  1/2 	3.5	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	3.923	4      	4.0	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	4.423	4  1/2 	4.5	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	4.923	5      	5.0	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 5.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_5.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	5.423	5  1/2 	5.5	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 6 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1/2_x_6_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1/2	0.5	13	0.0769	5.923	6      	6.0	0.5	0.484	0.707	0.665	0.389	0.361	0.4	0.385	0.05	0.154	1.25	0.344	0.334	0.255	0.245	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 0.625 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_0.625_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	0.542	  5/8 	0.625	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 0.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_0.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	0.667	  3/4 	0.75	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 0.875 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_0.875_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	0.792	  7/8 	0.875	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 1 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_1_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	0.917	1      	1.0	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 1.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_1.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	1.167	1  1/4 	1.25	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 1.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_1.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	1.417	1  1/2 	1.5	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	1.667	1  3/4 	1.75	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	1.917	2      	2.0	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	2.167	2  1/4 	2.25	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	2.417	2  1/2 	2.5	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	2.667	2  3/4 	2.75	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	2.917	3      	3.0	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	3.167	3  1/4 	3.25	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	3.417	3  1/2 	3.5	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	3.917	4      	4.0	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	4.417	4  1/2 	4.5	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	4.917	5      	5.0	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
