PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_Length(in)	A_width_across_flats_max(in)	A_width_across_flats_min(in)	W_across_corners_min(in)	H_head_height_max(in)	H_head_height_min(in)	B_washer_dia_max(in)	B_washer_dia_min(in)	U_washer_thickness_max(in)	U_washer_thickness_min(in)	F_protrusion_beyond_gaging_ring_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_4 X 1.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_4_X_1.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_4	0.112	40	0.0250	1.0000	1.125	N	1.0	1  1/4 	1.2500	0.188	0.181	0.202	0.06	0.049	0.243	0.225	0.019	0.011	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 X 1.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_4_X_1.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_4	0.112	40	0.0250	1.0000	1.125	N	1.0	1  1/2 	1.5000	0.188	0.181	0.202	0.06	0.049	0.243	0.225	0.019	0.011	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.1000	1.125	Y	1.0	  1/8 	0.1250	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.15625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.15625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.1313	1.125	Y	1.0	  5/32	0.1563	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.1875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.1875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.1625	1.125	Y	1.0	  3/16	0.1875	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.2250	1.125	Y	1.0	  1/4 	0.2500	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.3125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.3125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.2875	1.125	Y	1.0	  5/16	0.3125	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.3500	1.125	Y	1.0	  3/8 	0.3750	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.4375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.4375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.3875	1.125	Y	1.0	  7/16	0.4375	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.4500	1.125	Y	1.0	  1/2 	0.5000	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.5625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.5625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.5125	1.125	Y	1.0	  9/16	0.5625	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.5750	1.125	Y	1.0	  5/8 	0.6250	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.7000	1.125	Y	1.0	  3/4 	0.7500	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 0.875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_0.875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.8250	1.125	Y	1.0	  7/8 	0.8750	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 1 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_1_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	0.9500	1.125	Y	1.0	1      	1.0000	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 1.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_1.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	1.0000	1.125	N	1.0	1  1/4 	1.2500	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 1.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_1.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	1.0000	1.125	N	1.0	1  1/2 	1.5000	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 1.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_1.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	1.0000	1.125	N	1.0	1  3/4 	1.7500	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 X 2 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_5_X_2_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_5	0.125	40	0.0250	1.0000	1.125	N	1.0	2      	2.0000	0.188	0.181	0.202	0.07	0.058	0.26	0.24	0.025	0.015	0.035	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.0938	2.0	Y	1.5	  1/8 	0.1250	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.15625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.15625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.1250	2.0	Y	1.5	  5/32	0.1563	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
