PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	I_crown_radius_basic(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	C_cup_and_flat_point_dia_min(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 1/4 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	0.8415	  7/8 	0.8750	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	0.9665	1      	1.0000	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	1.2165	1  1/4 	1.2500	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	1.4665	1  1/2 	1.5000	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_1.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	1.7165	1  3/4 	1.7500	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_2_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	1.9665	2      	2.0000	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_2.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	2.2165	2  1/4 	2.2500	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_2.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	2.4665	2  1/2 	2.5000	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 2.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_2.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	2.7165	2  3/4 	2.7500	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_3_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	2.9665	3      	3.0000	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_3.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	3.2165	3  1/4 	3.2500	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 3.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_3.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	3.4665	3  1/2 	3.5000	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_4_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	3.9665	4      	4.0000	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 4.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_4.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	4.4665	4  1/2 	4.5000	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/4_x_5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/4	0.25	20	0.0500	4.9665	5      	5.0000	0.25	0.049	0.041	0.068	0.058	0.118	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.375 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_0.375_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	0.3331	  3/8 	0.3750	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_0.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	0.4581	  1/2 	0.5000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	0.5831	  5/8 	0.6250	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	0.7081	  3/4 	0.7500	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	0.8331	  7/8 	0.8750	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	0.9581	1      	1.0000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	1.2081	1  1/4 	1.2500	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	1.4581	1  1/2 	1.5000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_1.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	1.7081	1  3/4 	1.7500	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_2_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	1.9581	2      	2.0000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_2.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	2.2081	2  1/4 	2.2500	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_2.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	2.4581	2  1/2 	2.5000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_2.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	2.7081	2  3/4 	2.7500	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_3_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	2.9581	3      	3.0000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_3.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	3.2081	3  1/4 	3.2500	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_3.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	3.4581	3  1/2 	3.5000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_4_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	3.9581	4      	4.0000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_4.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	4.4581	4  1/2 	4.5000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/16_x_5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/16	0.313	18	0.0556	4.9581	5      	5.0000	0.312	0.055	0.047	0.083	0.073	0.156	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.375 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_0.375_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	0.3248	  3/8 	0.3750	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_0.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	0.4498	  1/2 	0.5000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	0.5748	  5/8 	0.6250	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	0.6998	  3/4 	0.7500	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	0.8248	  7/8 	0.8750	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	0.9498	1      	1.0000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	1.1998	1  1/4 	1.2500	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	1.4498	1  1/2 	1.5000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 1.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_1.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	1.6998	1  3/4 	1.7500	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_2_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	1.9498	2      	2.0000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_2.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	2.1998	2  1/4 	2.2500	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_2.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	2.4498	2  1/2 	2.5000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 2.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_2.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	2.6998	2  3/4 	2.7500	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_3_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	2.9498	3      	3.0000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_3.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	3.1998	3  1/4 	3.2500	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 3.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_3.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	3.4498	3  1/2 	3.5000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 4 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_4_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	3.9498	4      	4.0000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 4.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_4.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	4.4498	4  1/2 	4.5000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/8_x_5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/8	0.375	16	0.0625	4.9498	5      	5.0000	0.375	0.068	0.06	0.099	0.089	0.194	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.4375 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_0.4375_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.3790	  7/16	0.4375	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_0.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.4415	  1/2 	0.5000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.5625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_0.5625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.5040	  9/16	0.5625	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.5665	  5/8 	0.6250	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.6915	  3/4 	0.7500	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.8165	  7/8 	0.8750	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	0.9415	1      	1.0000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	1.1915	1  1/4 	1.2500	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	1.4415	1  1/2 	1.5000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 1.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_1.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	1.6915	1  3/4 	1.7500	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_2_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	1.9415	2      	2.0000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_2.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	2.1915	2  1/4 	2.2500	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_2.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	2.4415	2  1/2 	2.5000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 2.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_2.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	2.6915	2  3/4 	2.7500	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 3 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_3_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	2.9415	3      	3.0000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 3.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_3.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	3.1915	3  1/4 	3.2500	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 3.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_3.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	3.4415	3  1/2 	3.5000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 4 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_4_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	3.9415	4      	4.0000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 4.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_4.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	4.4415	4  1/2 	4.5000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/16 x 5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_7/16_x_5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	7/16	0.438	14	0.0714	4.9415	5      	5.0000	0.438	0.076	0.068	0.114	0.104	0.232	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 0.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_0.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.4330	  1/2 	0.5000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.5580	  5/8 	0.6250	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
