PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	C_chamfer_length(in)	Material	Reference	Edition
ASME B18.8.2 PIN 1/16 x 1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	1/4	0.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 5/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_5/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	5/16	0.313	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	3/8	0.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	7/16	0.438	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	1/2	0.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	9/16	0.563	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	5/8	0.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	11/16	0.688	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	3/4	0.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	13/16	0.813	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	7/8	0.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	15/16	0.938	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/16 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/16_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/16	0.062	0.063	1	1.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	1/4	0.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 5/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_5/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	5/16	0.313	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	3/8	0.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	7/16	0.438	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	1/2	0.5	0.025	St	ASMEB18.8.2	2000
