PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess_ref(in)	T_recess_Depth(in)	N_recess_width(in)	Driver_size	Material	Reference	Edition
ASME B18.6.3 SCREW No_1 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_1_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_1	0.0730	64	0.0156	0.9258	1.125	Y	1	1	1.0000	0.137	0.12	0.043	0.025	0.068	0.07	0.039	0.015	0	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_1/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.0561	1.125	Y	1	1/8	0.1250	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 5/32  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_5/32__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.0874	1.125	Y	1	5/32	0.1563	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 3/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_3/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.1186	1.125	Y	1	3/16	0.1875	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.1811	1.125	Y	1	1/4	0.2500	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 5/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_5/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.2258	1.125	Y	1	5/16	0.3125	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.2883	1.125	Y	1	3/8	0.3750	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.3508	1.125	Y	1	7/16	0.4375	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.4133	1.125	Y	1	1/2	0.5000	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.4758	1.125	Y	1	9/16	0.5625	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.5383	1.125	Y	1	5/8	0.6250	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.6633	1.125	Y	1	3/4	0.7500	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.7883	1.125	Y	1	7/8	0.8750	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_2_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_2	0.0860	56	0.0179	0.9133	1.125	Y	1	1	1.0000	0.162	0.144	0.051	0.029	0.08	0.106	0.06	0.018	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_1/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.0452	1.125	Y	1	1/8	0.1250	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 5/32  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_5/32__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.0764	1.125	Y	1	5/32	0.1563	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 3/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_3/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.1077	1.125	Y	1	3/16	0.1875	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.1702	1.125	Y	1	1/4	0.2500	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 5/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_5/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.2118	1.125	Y	1	5/16	0.3125	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.2743	1.125	Y	1	3/8	0.3750	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.3368	1.125	Y	1	7/16	0.4375	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.3993	1.125	Y	1	1/2	0.5000	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.4618	1.125	Y	1	9/16	0.5625	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.5243	1.125	Y	1	5/8	0.6250	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.6493	1.125	Y	1	3/4	0.7500	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.7743	1.125	Y	1	7/8	0.8750	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	0.8993	1.125	Y	1	1	1.0000	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	1.0000	1.125	N	1	1_1/4	1.2500	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_3_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_3	0.0990	48	0.0208	1.0000	1.125	N	1	1_1/2	1.5000	0.187	0.167	0.059	0.033	0.092	0.118	0.072	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 5/32  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_5/32__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.0643	1.125	Y	1	5/32	0.1563	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 3/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_3/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.0955	1.125	Y	1	3/16	0.1875	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.1580	1.125	Y	1	1/4	0.2500	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 5/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_5/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.2205	1.125	Y	1	5/16	0.3125	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.2580	1.125	Y	1	3/8	0.3750	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.3205	1.125	Y	1	7/16	0.4375	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.3830	1.125	Y	1	1/2	0.5000	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.4455	1.125	Y	1	9/16	0.5625	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.5080	1.125	Y	1	5/8	0.6250	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.6330	1.125	Y	1	3/4	0.7500	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
