PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess_ref(in)	T_recess_Depth(in)	N_recess_width(in)	Driver_size	Material	Reference	Edition
ASME B18.6.3 SCREW No_5 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.4375	1.125	Y	1	9/16	0.5625	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.5000	1.125	Y	1	5/8	0.6250	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.6250	1.125	Y	1	3/4	0.7500	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.7500	1.125	Y	1	7/8	0.8750	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.8750	1.125	Y	1	1	1.0000	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	1.0000	1.125	N	1	1_1/4	1.2500	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	1.0000	1.125	N	1	1_1/2	1.5000	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_1_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	1.0000	1.125	N	1	1_3/4	1.7500	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	1.0000	1.125	N	1	2	2.0000	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 3/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_3/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.0733	2	Y	1.5	3/16	0.1875	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.1358	2	Y	1.5	1/4	0.2500	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 5/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_5/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.1983	2	Y	1.5	5/16	0.3125	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.2608	2	Y	1.5	3/8	0.3750	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.2920	2	Y	1.5	7/16	0.4375	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.3545	2	Y	1.5	1/2	0.5000	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.4170	2	Y	1.5	9/16	0.5625	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.4795	2	Y	1.5	5/8	0.6250	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.6045	2	Y	1.5	3/4	0.7500	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.7295	2	Y	1.5	7/8	0.8750	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	0.8545	2	Y	1.5	1	1.0000	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	1.1045	2	Y	1.5	1_1/4	1.2500	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	1.3545	2	Y	1.5	1_1/2	1.5000	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_1_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	1.6045	2	Y	1.5	1_3/4	1.7500	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_6_x_2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_6	0.1380	32	0.0313	1.8545	2	Y	1.5	2	2.0000	0.262	0.238	0.083	0.045	0.128	0.172	0.092	0.03	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.1188	2	Y	1.5	1/4	0.2500	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 5/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_5/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.1813	2	Y	1.5	5/16	0.3125	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.2438	2	Y	1.5	3/8	0.3750	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.3063	2	Y	1.5	7/16	0.4375	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.3375	2	Y	1.5	1/2	0.5000	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.4000	2	Y	1.5	9/16	0.5625	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.4625	2	Y	1.5	5/8	0.6250	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.5875	2	Y	1.5	3/4	0.7500	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.7125	2	Y	1.5	7/8	0.8750	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	0.8375	2	Y	1.5	1	1.0000	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	1.0875	2	Y	1.5	1_1/4	1.2500	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	1.3375	2	Y	1.5	1_1/2	1.5000	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_1_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	1.5875	2	Y	1.5	1_3/4	1.7500	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	1.8375	2	Y	1.5	2	2.0000	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 2_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_2_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	1.5000	2	N	1.5	2_1/4	2.2500	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 2_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_8_x_2_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_8	0.1640	32	0.0313	1.5000	2	N	1.5	2_1/2	2.5000	0.312	0.285	0.1	0.052	0.152	0.186	0.107	0.031	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.0923	2	Y	1.5	1/4	0.2500	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 5/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_5/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.1548	2	Y	1.5	5/16	0.3125	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.2173	2	Y	1.5	3/8	0.3750	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.2798	2	Y	1.5	7/16	0.4375	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.3423	2	Y	1.5	1/2	0.5000	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.4048	2	Y	1.5	9/16	0.5625	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.4257	2	Y	1.5	5/8	0.6250	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.5507	2	Y	1.5	3/4	0.7500	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.6757	2	Y	1.5	7/8	0.8750	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	0.8007	2	Y	1.5	1	1.0000	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	1.0507	2	Y	1.5	1_1/4	1.2500	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	1.3007	2	Y	1.5	1_1/2	1.5000	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_1_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	1.5507	2	Y	1.5	1_3/4	1.7500	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	1.8007	2	Y	1.5	2	2.0000	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_2_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	1.5000	2	N	1.5	2_1/4	2.2500	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_2_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	1.5000	2	N	1.5	2_1/2	2.5000	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 2_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_2_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	1.5000	2	N	1.5	2_3/4	2.7500	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_10_x_3__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_10	0.1900	24	0.0417	1.5000	2	N	1.5	3	3.0000	0.362	0.333	0.116	0.06	0.176	0.202	0.125	0.033	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 5/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_5/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	0.1388	2	Y	1.5	5/16	0.3125	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	0.2013	2	Y	1.5	3/8	0.3750	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	0.2638	2	Y	1.5	7/16	0.4375	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	0.3263	2	Y	1.5	1/2	0.5000	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	0.3888	2	Y	1.5	9/16	0.5625	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	0.4513	2	Y	1.5	5/8	0.6250	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
