PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	FullyThreaded	multiplier/increment	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	J_wrenching_height(in)	Y_transition_thread_length(in)	Material	Reference	Edition
ASME B18.2.1 SCREW 1 x 2.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_2.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	1.9375	Y	2.5	2  1/4 	2.25	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 2.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_2.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.4375	Y	2.5	2  3/4 	2.75	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 3 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_3_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.6875	Y	2.5	3      	3.0	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 3.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_3.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	3  1/4 	3.25	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 3.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_3.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	3  1/2 	3.5	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 3.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_3.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	3  3/4 	3.75	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 4 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_4_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	4      	4.0	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 4.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_4.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	4  1/4 	4.25	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 4.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_4.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	4  1/2 	4.5	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 4.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_4.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	4  3/4 	4.75	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	5      	5.0	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 5.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_5.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	5  1/2 	5.5	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 6 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_6_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.25	N	0.25	6      	6.0	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 6.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_6.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.5	N	0.5	6  1/2 	6.5	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 7 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_7_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.5	N	0.5	7      	7.0	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 7.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_7.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.5	N	0.5	7  1/2 	7.5	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1 x 8 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_x_8_UNC_STEEL_HEAVY_HEXAGON_SCREW	1	1.0	8	0.125	2.5	N	0.5	8      	8.0	1.0	0.976	1.625	1.625	1.575	1.876	1.796	0.609	0.627	0.591	0.416	0.625	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 1.125 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_1.125_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	0.9107	Y	1.5	1  1/8 	1.125	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 1.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_1.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	1.0357	Y	1.5	1  1/4 	1.25	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 1.375 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_1.375_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	1.1607	Y	1.5	1  3/8 	1.375	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 1.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_1.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	1.2857	Y	1.5	1  1/2 	1.5	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 1.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_1.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	1.5357	Y	1.5	1  3/4 	1.75	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 2 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_2_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	1.7857	Y	1.5	2      	2.0	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 2.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_2.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.0357	Y	1.5	2  1/4 	2.25	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 2.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_2.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.3929	Y	2.5	2  3/4 	2.75	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 3 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_3_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.6429	Y	2.5	3      	3.0	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 3.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_3.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.8929	Y	2.5	3  1/4 	3.25	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 3.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_3.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	3.1429	Y	2.5	3  1/2 	3.5	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 3.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_3.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.5	N	0.25	3  3/4 	3.75	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 4 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_4_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.5	N	0.25	4      	4.0	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 4.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_4.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.5	N	0.25	4  1/4 	4.25	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 4.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_4.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.5	N	0.25	4  1/2 	4.5	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 4.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_4.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.5	N	0.25	4  3/4 	4.75	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.5	N	0.25	5      	5.0	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 5.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_5.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.5	N	0.25	5  1/2 	5.5	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 6 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_6_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.5	N	0.25	6      	6.0	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 6.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_6.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.75	N	0.5	6  1/2 	6.5	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 7 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_7_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.75	N	0.5	7      	7.0	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 7.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_7.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.75	N	0.5	7  1/2 	7.5	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 8 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/8_x_8_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/8	1.125	7	0.1429	2.75	N	0.5	8      	8.0	1.125	1.098	1.813	1.812	1.756	2.093	2.002	0.688	0.718	0.658	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 1.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_1.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	1.0357	Y	1.5	1  1/4 	1.25	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 1.375 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_1.375_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	1.1607	Y	1.5	1  3/8 	1.375	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 1.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_1.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	1.2857	Y	1.5	1  1/2 	1.5	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 1.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_1.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	1.5357	Y	1.5	1  3/4 	1.75	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 2 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_2_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	1.7857	Y	1.5	2      	2.0	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 2.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_2.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.0357	Y	1.5	2  1/4 	2.25	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 2.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_2.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.3929	Y	2.5	2  3/4 	2.75	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 3 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_3_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.6429	Y	2.5	3      	3.0	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 3.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_3.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.8929	Y	2.5	3  1/4 	3.25	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 3.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_3.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	3.1429	Y	2.5	3  1/2 	3.5	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 3.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_3.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	3.3929	Y	2.5	3  3/4 	3.75	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 4 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_4_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.75	N	0.25	4      	4.0	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 4.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_4.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.75	N	0.25	4  1/4 	4.25	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 4.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_4.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.75	N	0.25	4  1/2 	4.5	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 4.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_4.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.75	N	0.25	4  3/4 	4.75	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.75	N	0.25	5      	5.0	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 5.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_5.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.75	N	0.25	5  1/2 	5.5	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 6 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_6_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	2.75	N	0.25	6      	6.0	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 6.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_6.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	3.0	N	0.5	6  1/2 	6.5	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 7 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_7_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	3.0	N	0.5	7      	7.0	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 7.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_7.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	3.0	N	0.5	7  1/2 	7.5	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/4 x 8 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_1/4_x_8_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_1/4	1.25	7	0.1429	3.0	N	0.5	8      	8.0	1.25	1.223	2.0	2.0	1.938	2.309	2.209	0.781	0.813	0.749	0.53	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_3/8 x 1.375 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_3/8_x_1.375_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_3/8	1.375	6	0.1667	1.125	Y	1.5	1  3/8 	1.375	1.375	1.345	2.188	2.188	2.119	2.526	2.416	0.844	0.878	0.81	0.569	0.833	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_3/8 x 1.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_3/8_x_1.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_3/8	1.375	6	0.1667	1.25	Y	1.5	1  1/2 	1.5	1.375	1.345	2.188	2.188	2.119	2.526	2.416	0.844	0.878	0.81	0.569	0.833	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_3/8 x 1.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_3/8_x_1.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_3/8	1.375	6	0.1667	1.5	Y	1.5	1  3/4 	1.75	1.375	1.345	2.188	2.188	2.119	2.526	2.416	0.844	0.878	0.81	0.569	0.833	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_3/8 x 2 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_3/8_x_2_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_3/8	1.375	6	0.1667	1.75	Y	1.5	2      	2.0	1.375	1.345	2.188	2.188	2.119	2.526	2.416	0.844	0.878	0.81	0.569	0.833	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_3/8 x 2.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_3/8_x_2.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_3/8	1.375	6	0.1667	2.0	Y	1.5	2  1/4 	2.25	1.375	1.345	2.188	2.188	2.119	2.526	2.416	0.844	0.878	0.81	0.569	0.833	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_3/8 x 2.75 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_3/8_x_2.75_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_3/8	1.375	6	0.1667	2.5	Y	1.5	2  3/4 	2.75	1.375	1.345	2.188	2.188	2.119	2.526	2.416	0.844	0.878	0.81	0.569	0.833	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_3/8 x 3 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_3/8_x_3_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_3/8	1.375	6	0.1667	2.5833	Y	2.5	3      	3.0	1.375	1.345	2.188	2.188	2.119	2.526	2.416	0.844	0.878	0.81	0.569	0.833	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_3/8 x 3.25 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_3/8_x_3.25_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_3/8	1.375	6	0.1667	2.8333	Y	2.5	3  1/4 	3.25	1.375	1.345	2.188	2.188	2.119	2.526	2.416	0.844	0.878	0.81	0.569	0.833	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_3/8 x 3.5 UNC STEEL HEAVY HEXAGON	ASME_B18_2_1_1_3/8_x_3.5_UNC_STEEL_HEAVY_HEXAGON_SCREW	1_3/8	1.375	6	0.1667	3.0833	Y	2.5	3  1/2 	3.5	1.375	1.345	2.188	2.188	2.119	2.526	2.416	0.844	0.878	0.81	0.569	0.833	St	ASME B18.2.1	1996
