PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	s-n-l	L_length(in)	Lg_grip_length	Lt_min thread_ref	D_body_dia(in)	A_head_dia(in)	H_head_height(in)	J_hex_scocket_size(in)	T_key_engagement(in)	F_fillet_transition_dia(in)	Material	Reference	Edition
ASME B18.3 SCREW No_1 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.04	  1/8 	s	0.13	0.031	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.102	  3/16	s	0.19	0.031	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.165	  1/4 	s	0.25	0.031	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.29	  3/8 	s	0.38	0.031	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.415	  1/2 	s	0.50	0.031	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.54	  5/8 	s	0.63	0.031	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.62	  3/4 	s	0.75	0.031	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.625	  7/8 	n	0.88	0.25	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.75	1      	n	1.00	0.25	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.63	1  1/4 	n	1.25	0.62	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
