PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess(in)	T_recess_Depth(in)	N_recess_width(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_2 x 1/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_1/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.0561	1.125	Y	1	1/8	0.1250	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 5/32 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_5/32_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.0874	1.125	Y	1	5/32	0.1563	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 3/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_3/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.1186	1.125	Y	1	3/16	0.1875	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.1811	1.125	Y	1	1/4	0.2500	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.2258	1.125	Y	1	5/16	0.3125	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.2883	1.125	Y	1	3/8	0.3750	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.3508	1.125	Y	1	7/16	0.4375	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.4133	1.125	Y	1	1/2	0.5000	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.4758	1.125	Y	1	9/16	0.5625	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.5383	1.125	Y	1	5/8	0.6250	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.6633	1.125	Y	1	3/4	0.7500	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.7883	1.125	Y	1	7/8	0.8750	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_2_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_2	0.086	56	0.017857143	0.9133	1.125	Y	1	1	1.0000	0.162	0.144	0.051	0.029	0.08	0.106	0.065	0.029	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_1/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.0452	1.125	Y	1	1/8	0.1250	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 5/32 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_5/32_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.0764	1.125	Y	1	5/32	0.1563	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 3/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_3/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.1077	1.125	Y	1	3/16	0.1875	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.1702	1.125	Y	1	1/4	0.2500	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
