PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	FullyThreaded	multiplier/increment	Length(ref)	L_length(in)	E_full_size_body_max_dia(in)	E_full_size_body_min_dia(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_rad(in)	J_wrenching_height(in)	Y_transition_thread_length(in)	Material	Reference	Edition
ASME B18.2.1 SCREW 5/16 x 4 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/16_x_4_UNC_STEEL_HEXAGON_CAP_SCREW	5/16	0.313	18	0.0556	0.875	N	0.25	4      	4.0	0.313	0.307	0.5	0.5	0.489	0.577	0.557	0.203	0.211	0.195	0.03	0.14	0.278	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/16 x 4.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/16_x_4.25_UNC_STEEL_HEXAGON_CAP_SCREW	5/16	0.313	18	0.0556	0.875	N	0.25	4  1/4 	4.25	0.313	0.307	0.5	0.5	0.489	0.577	0.557	0.203	0.211	0.195	0.03	0.14	0.278	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/16 x 4.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/16_x_4.5_UNC_STEEL_HEXAGON_CAP_SCREW	5/16	0.313	18	0.0556	0.875	N	0.25	4  1/2 	4.5	0.313	0.307	0.5	0.5	0.489	0.577	0.557	0.203	0.211	0.195	0.03	0.14	0.278	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/16 x 4.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/16_x_4.75_UNC_STEEL_HEXAGON_CAP_SCREW	5/16	0.313	18	0.0556	0.875	N	0.25	4  3/4 	4.75	0.313	0.307	0.5	0.5	0.489	0.577	0.557	0.203	0.211	0.195	0.03	0.14	0.278	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/16 x 5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/16_x_5_UNC_STEEL_HEXAGON_CAP_SCREW	5/16	0.313	18	0.0556	0.875	N	0.25	5      	5.0	0.313	0.307	0.5	0.5	0.489	0.577	0.557	0.203	0.211	0.195	0.03	0.14	0.278	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 0.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_0.375_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	0.281	Y	1.5	  3/8 	0.375	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 0.4375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_0.4375_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	0.344	Y	1.5	  7/16	0.438	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 0.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_0.5_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	0.406	Y	1.5	  1/2 	0.5	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 0.5625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_0.5625_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	0.469	Y	1.5	  9/16	0.563	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 0.625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_0.625_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	0.531	Y	1.5	  5/8 	0.625	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 0.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_0.75_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	0.656	Y	1.5	  3/4 	0.75	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 0.875 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_0.875_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	0.719	Y	2.5	  7/8 	0.875	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 1 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_1_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	0.844	Y	2.5	1      	1.0	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 1.125 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_1.125_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	0.969	Y	2.5	1  1/8 	1.125	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 1.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_1.25_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.094	Y	2.5	1  1/4 	1.25	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 1.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_1.375_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.219	Y	2.5	1  3/8 	1.375	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 1.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_1.5_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	1  1/2 	1.5	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 1.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_1.75_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	1  3/4 	1.75	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 2 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_2_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	2      	2.0	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 2.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_2.25_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	2  1/4 	2.25	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 2.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_2.75_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	2  3/4 	2.75	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 3 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_3_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	3      	3.0	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 3.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_3.25_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	3  1/4 	3.25	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 3.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_3.5_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	3  1/2 	3.5	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 3.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_3.75_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	3  3/4 	3.75	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 4 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_4_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	4      	4.0	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 4.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_4.25_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	4  1/4 	4.25	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 4.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_4.5_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	4  1/2 	4.5	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 4.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_4.75_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	4  3/4 	4.75	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/8 x 5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/8_x_5_UNC_STEEL_HEXAGON_CAP_SCREW	3/8	0.375	16	0.0625	1.000	N	0.25	5      	5.0	0.375	0.369	0.563	0.562	0.551	0.65	0.628	0.234	0.243	0.226	0.03	0.16	0.312	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 0.4375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_0.4375_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	0.330	Y	1.5	  7/16	0.438	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 0.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_0.5_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	0.393	Y	1.5	  1/2 	0.5	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 0.5625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_0.5625_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	0.455	Y	1.5	  9/16	0.563	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 0.625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_0.625_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	0.518	Y	1.5	  5/8 	0.625	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 0.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_0.75_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	0.643	Y	1.5	  3/4 	0.75	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 0.875 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_0.875_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	0.768	Y	1.5	  7/8 	0.875	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 1 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_1_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	0.821	Y	2.5	1      	1.0	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 1.125 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_1.125_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	0.946	Y	2.5	1  1/8 	1.125	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 1.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_1.25_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.071	Y	2.5	1  1/4 	1.25	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 1.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_1.375_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.196	Y	2.5	1  3/8 	1.375	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 1.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_1.5_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.321	Y	2.5	1  1/2 	1.5	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 1.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_1.75_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	1  3/4 	1.75	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 2 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_2_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	2      	2.0	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 2.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_2.25_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	2  1/4 	2.25	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 2.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_2.75_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	2  3/4 	2.75	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 3 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_3_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	3      	3.0	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 3.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_3.25_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	3  1/4 	3.25	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 3.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_3.5_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	3  1/2 	3.5	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 3.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_3.75_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	3  3/4 	3.75	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 4 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_4_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	4      	4.0	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 4.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_4.25_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	4  1/4 	4.25	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 4.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_4.5_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	4  1/2 	4.5	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 4.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_4.75_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	4  3/4 	4.75	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 7/16 x 5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_7/16_x_5_UNC_STEEL_HEXAGON_CAP_SCREW	7/16	0.438	14	0.0714	1.125	N	0.25	5      	5.0	0.438	0.431	0.625	0.625	0.612	0.722	0.698	0.281	0.291	0.272	0.03	0.195	0.357	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 0.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_0.5_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	0.385	Y	1.5	  1/2 	0.5	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 0.5625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_0.5625_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	0.447	Y	1.5	  9/16	0.563	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 0.625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_0.625_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	0.510	Y	1.5	  5/8 	0.625	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 0.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_0.75_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	0.635	Y	1.5	  3/4 	0.75	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 0.875 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_0.875_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	0.760	Y	1.5	  7/8 	0.875	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_1_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	0.885	Y	1.5	1      	1.0	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.125 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_1.125_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	0.933	Y	2.5	1  1/8 	1.125	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_1.25_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.058	Y	2.5	1  1/4 	1.25	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_1.375_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.183	Y	2.5	1  3/8 	1.375	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_1.5_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.308	Y	2.5	1  1/2 	1.5	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 1.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_1.75_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.558	Y	2.5	1  3/4 	1.75	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 2 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_2_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	2      	2.0	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 2.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_2.25_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	2  1/4 	2.25	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 2.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_2.75_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	2  3/4 	2.75	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 3 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_3_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	3      	3.0	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 3.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_3.25_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	3  1/4 	3.25	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 3.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_3.5_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	3  1/2 	3.5	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 3.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_3.75_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	3  3/4 	3.75	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
