PartNumber	PartName	Nominal_size(ref)	Basic_shoulder_dia(in)	D_shoulder_dia(in)	Length(ref)	L_length(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_Hex_scocket_Size(in)	T_key_engagement(in)	M_fillettransition_dia(in)	R_heda_fillet_radius(in)	K_shoulder_neck_dia(in)	F_shoulder_neck_width(in)	D1_nominal_thread_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	G_thread_neck_dia(in)	I_thread_neck_width(in)	N_thread_neck_fillet(in)	E_thread_length(in)	Material	Reference	Edition
ASME B.18.3 SCREW 1/4 x 3 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	3      	3.0	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 3.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	3  1/4 	3.25	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 3.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	3  1/2 	3.5	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 3.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_3.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	3  3/4 	3.75	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 4 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	4      	4.0	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 4.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_4.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	4  1/4 	4.25	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 4.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_4.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	4  1/2 	4.5	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 4.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_4.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	4  3/4 	4.75	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 1/4 x 5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_1/4_x_5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	1/4	0.25	0.248	5      	5.0	0.375	0.188	0.02	0.125	0.094	0.276	0.009	0.227	0.093	3/16	0.19	20	0.0500	0.268	0.142	0.083	0.023	0.375	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 0.25 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	  1/4 	0.25	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 0.375 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	  3/8 	0.375	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 0.5 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	  1/2 	0.5	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 0.625 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	  5/8 	0.625	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 0.75 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	  3/4 	0.75	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
ASME B.18.3 SCREW 5/16 x 1 UNC STEEL HEXAGON SOCKET HEAD SHOULDER	ASM_B18_3_5/16_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_SHOULDER_SCREW	5/16	0.312	0.311	1      	1.0	0.438	0.219	0.026	0.156	0.117	0.345	0.012	0.289	0.093	1/4	0.25	20	0.0500	0.31	0.193	0.1	0.028	0.438	St	ASME B18.3	1998
