PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	A_head_dia_absolute_min(in)	F_flat_head_dia_max(in)	H_head_height_max(in)	H_head_height_min(in)	J_Slot_Width_max(in)	J_slot_width_min(in)	T_slot_Depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ANSI B18.5 BOLT 5/16 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	3      	3.0	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	3  1/4 	3.25	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	3  1/2 	3.5	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	3  3/4 	3.75	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	4      	4.0	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	4  1/4 	4.25	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	4  1/2 	4.5	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	4  3/4 	4.75	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/16 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/16_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.328	5      	5.0	0.324	0.298	0.618	0.598	0.558	0.023	0.189	0.164	0.084	0.072	0.086	0.057	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 0.625 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_0.625_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	0.244	1.0	0.381	  5/8 	0.625	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 0.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_0.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	0.369	1.0	0.381	  3/4 	0.75	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 0.875 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_0.875_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	0.494	1.0	0.381	  7/8 	0.875	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 1 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_1_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	0.619	1.0	0.381	1      	1.0	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 1.125 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_1.125_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	0.744	1.0	0.381	1  1/8 	1.125	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 1.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_1.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	0.869	1.0	0.381	1  1/4 	1.25	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 1.375 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_1.375_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	0.994	1.0	0.381	1  3/8 	1.375	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 1.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_1.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	1  1/2 	1.5	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 1.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_1.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	1  3/4 	1.75	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	2      	2.0	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	2  1/4 	2.25	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	2  3/4 	2.75	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	3      	3.0	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	3  1/4 	3.25	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	3  1/2 	3.5	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	3  3/4 	3.75	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	4      	4.0	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	4  1/4 	4.25	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	4  1/2 	4.5	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	4  3/4 	4.75	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	5      	5.0	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	5  1/2 	5.5	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/8 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/8_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.381	6      	6.0	0.388	0.36	0.74	0.715	0.668	0.027	0.225	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 0.625 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_0.625_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	0.22	1.125	0.405	  5/8 	0.625	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 0.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_0.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	0.345	1.125	0.405	  3/4 	0.75	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 0.875 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_0.875_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	0.47	1.125	0.405	  7/8 	0.875	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 1 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_1_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	0.595	1.125	0.405	1      	1.0	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 1.125 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_1.125_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	0.72	1.125	0.405	1  1/8 	1.125	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 1.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_1.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	0.845	1.125	0.405	1  1/4 	1.25	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 1.375 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_1.375_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	0.97	1.125	0.405	1  3/8 	1.375	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 1.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_1.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.095	1.125	0.405	1  1/2 	1.5	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 1.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_1.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	1  3/4 	1.75	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	2      	2.0	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	2  1/4 	2.25	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	2  3/4 	2.75	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	3      	3.0	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	3  1/4 	3.25	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	3  1/2 	3.5	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	3  3/4 	3.75	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	4      	4.0	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	4  1/4 	4.25	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	4  1/2 	4.5	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	4  3/4 	4.75	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	5      	5.0	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	5  1/2 	5.5	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.405	6      	6.0	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 6.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_6.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.375	1.375	0.405	6  1/2 	6.5	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/16 x 7 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/16_x_7_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/16	0.438	14	0.0714	1.375	1.375	0.405	7      	7.0	0.452	0.421	0.803	0.778	0.726	0.03	0.226	0.196	0.094	0.081	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 0.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_0.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	0.289	1.25	0.461	  3/4 	0.75	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 0.875 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_0.875_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	0.414	1.25	0.461	  7/8 	0.875	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 1 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_1_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	0.539	1.25	0.461	1      	1.0	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 1.125 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_1.125_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	0.664	1.25	0.461	1  1/8 	1.125	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 1.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_1.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	0.789	1.25	0.461	1  1/4 	1.25	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 1.375 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_1.375_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	0.914	1.25	0.461	1  3/8 	1.375	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 1.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_1.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.039	1.25	0.461	1  1/2 	1.5	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 1.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_1.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	1  3/4 	1.75	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	2      	2.0	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	2  1/4 	2.25	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	2  3/4 	2.75	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	3      	3.0	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	3  1/4 	3.25	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
