PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	Length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_dia_max(in)	H_dia_min(in)	R_head_radius(in)	M_recess_dia_max(in)	M_recess_dia_min(in)	T_recess_depth_max(in)	T_recess_depth_min(in)	N_recess_width(in)	Material	Reference	Edition
ASME B18.6.3 SCREW 5/16 x 1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.444	2.0	Y	1.5	1/2	0.5	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 9/16 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_9/16_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.507	2.0	Y	1.5	9/16	0.563	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 5/8 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_5/8_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.569	2.0	Y	1.5	5/8	0.625	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.694	2.0	Y	1.5	3/4	0.75	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 7/8 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_7/8_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.819	2.0	Y	1.5	7/8	0.875	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_1_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	0.889	2.0	Y	1.5	1	1.0	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1_1/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_1_1/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.139	2.0	Y	1.5	1_1/4	1.25	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_1_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.389	2.0	Y	1.5	1_1/2	1.5	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1_3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_1_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.639	2.0	Y	1.5	1_3/4	1.75	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.889	2.0	Y	1.5	2	2.0	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_1/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_2_1/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	2_1/4	2.25	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_2_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	2_1/2	2.5	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_2_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	2_3/4	2.75	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_3_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	3	3.0	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3_1/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_3_1/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	3_1/4	3.25	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_3_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	3_1/2	3.5	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	4	4.0	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 4_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_4_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	4_1/2	4.5	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 5 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_5/16_x_5_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	5/16	0.313	18	0.0556	1.5	2.0	N	1.5	5	5.0	0.615	0.594	0.218	0.203	0.04	0.341	0.328	0.191	0.173	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 3/8 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_3/8_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	0.313	2.0	Y	1.5	3/8	0.375	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 7/16 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_7/16_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	0.375	2.0	Y	1.5	7/16	0.438	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	0.438	2.0	Y	1.5	1/2	0.5	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 9/16 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_9/16_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	0.5	2.0	Y	1.5	9/16	0.563	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 5/8 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_5/8_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	0.563	2.0	Y	1.5	5/8	0.625	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	0.688	2.0	Y	1.5	3/4	0.75	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 7/8 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_7/8_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	0.813	2.0	Y	1.5	7/8	0.875	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_1_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	0.938	2.0	Y	1.5	1	1.0	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1_1/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_1_1/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.125	2.0	Y	1.5	1_1/4	1.25	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_1_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.375	2.0	Y	1.5	1_1/2	1.5	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1_3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_1_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.625	2.0	Y	1.5	1_3/4	1.75	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.875	2.0	Y	1.5	2	2.0	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 2_1/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_2_1/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.5	2.0	N	1.5	2_1/4	2.25	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 2_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_2_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.5	2.0	N	1.5	2_1/2	2.5	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 2_3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_2_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.5	2.0	N	1.5	2_3/4	2.75	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 3 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_3_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.5	2.0	N	1.5	3	3.0	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 3_1/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_3_1/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.5	2.0	N	1.5	3_1/4	3.25	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 3_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_3_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.5	2.0	N	1.5	3_1/2	3.5	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.5	2.0	N	1.5	4	4.0	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 4_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_4_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.5	2.0	N	1.5	4_1/2	4.5	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 5 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_3/8_x_5_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	3/8	0.375	16	0.0625	1.5	2.0	N	1.5	5	5.0	0.74	0.716	0.261	0.244	0.04	0.377	0.364	0.228	0.21	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 7/16 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_7/16_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	0.366	2.0	Y	1.5	7/16	0.438	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	0.429	2.0	Y	1.5	1/2	0.5	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 9/16 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_9/16_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	0.491	2.0	Y	1.5	9/16	0.563	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 5/8 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_5/8_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	0.554	2.0	Y	1.5	5/8	0.625	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	0.679	2.0	Y	1.5	3/4	0.75	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 7/8 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_7/8_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	0.804	2.0	Y	1.5	7/8	0.875	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 1 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_1_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	0.929	2.0	Y	1.5	1	1.0	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 1_1/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_1_1/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.179	2.0	Y	1.5	1_1/4	1.25	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 1_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_1_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.357	2.0	Y	1.5	1_1/2	1.5	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 1_3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_1_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.607	2.0	Y	1.5	1_3/4	1.75	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.857	2.0	Y	1.5	2	2.0	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 2_1/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_2_1/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.5	2.0	N	1.5	2_1/4	2.25	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 2_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_2_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.5	2.0	N	1.5	2_1/2	2.5	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 2_3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_2_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.5	2.0	N	1.5	2_3/4	2.75	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 3 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_3_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.5	2.0	N	1.5	3	3.0	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 3_1/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_3_1/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.5	2.0	N	1.5	3_1/4	3.25	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 3_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_3_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.5	2.0	N	1.5	3_1/2	3.5	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.5	2.0	N	1.5	4	4.0	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 4_1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_4_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.5	2.0	N	1.5	4_1/2	4.5	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 7/16 x 5 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_7/16_x_5_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	7/16	0.438	14	0.0714	1.5	2.0	N	1.5	5	5.0	0.863	0.837	0.305	0.284	0.05	0.399	0.386	0.251	0.233	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/2 x 1/2 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_1/2_x_1/2_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	1/2	0.5	13	0.0769	0.423	2.0	Y	1.5	1/2	0.5	0.987	0.958	0.348	0.325	0.055	0.42	0.407	0.273	0.255	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/2 x 9/16 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_1/2_x_9/16_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	1/2	0.5	13	0.0769	0.486	2.0	Y	1.5	9/16	0.563	0.987	0.958	0.348	0.325	0.055	0.42	0.407	0.273	0.255	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/2 x 5/8 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_1/2_x_5/8_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	1/2	0.5	13	0.0769	0.548	2.0	Y	1.5	5/8	0.625	0.987	0.958	0.348	0.325	0.055	0.42	0.407	0.273	0.255	0.086	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/2 x 3/4 UNC STEEL TYPE 1A CROSS RECESSED PAN HEAD	ASME_B18_6_3_1/2_x_3/4_UNC_STEEL_TYPE_1A_CROSS_RECESSED_PAN_HEAD_SCREW	1/2	0.5	13	0.0769	0.673	2.0	Y	1.5	3/4	0.75	0.987	0.958	0.348	0.325	0.055	0.42	0.407	0.273	0.255	0.086	St	ASME B18.6.3	1998
