PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_Length(in)	A_width_across_large_head_max(in)	A_width_across_large_head_min(in)	W_across_corners_large_head_min(in	H_head_height_max(in)	H_head_height_min(in)	J_slot_width_max(in)	J_slot_width_mix(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW 1/4 x 0.3125 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_0.3125_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.2625	2.0	Y	1.5	  5/16	0.3125	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 0.375 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_0.375_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.3250	2.0	Y	1.5	  3/8 	0.3750	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 0.4375 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_0.4375_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.3875	2.0	Y	1.5	  7/16	0.4375	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 0.5 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_0.5_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.4500	2.0	Y	1.5	  1/2 	0.5000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 0.5625 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_0.5625_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.5125	2.0	Y	1.5	  9/16	0.5625	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 0.625 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_0.625_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.5750	2.0	Y	1.5	  5/8 	0.6250	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 0.75 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_0.75_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.7000	2.0	Y	1.5	  3/4 	0.7500	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 0.875 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_0.875_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.7750	2.0	Y	1.5	  7/8 	0.8750	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 1 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_1_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	0.9000	2.0	Y	1.5	1      	1.0000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 1.25 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_1.25_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.1500	2.0	Y	1.5	1  1/4 	1.2500	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 1.5 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_1.5_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.4000	2.0	Y	1.5	1  1/2 	1.5000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 1.75 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_1.75_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.6500	2.0	Y	1.5	1  3/4 	1.7500	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 2 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_2_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.9000	2.0	Y	1.5	2      	2.0000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 2.25 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_2.25_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	2  1/4 	2.2500	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 2.5 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_2.5_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	2  1/2 	2.5000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 2.75 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_2.75_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	2  3/4 	2.7500	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 3 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_3_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	3      	3.0000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 3.25 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_3.25_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	3  1/4 	3.2500	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 3.5 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_3.5_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	3  1/2 	3.5000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 4 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_4_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	4      	4.0000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 4.5 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_4.5_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	4  1/2 	4.5000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
ASME B18.6.3 SCREW 1/4 x 5 UNC STEEL LARGE SLOTTED HEXAGON HEAD MACHINE	ASME_B18_6_3_1/4_x_5_UNC_STEEL_LARGE_SLOTTED_HEXAGON_HEAD_MACHINE_SCREW	1/4	0.25	20	0.0500	1.5000	2.0	N	1.5	5      	5.0000	0.438	0.428	0.477	0.19	0.172	0.075	0.064	0.101	0.083	St	ASME B18_6_3	1998
