PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	chamfer(in)	J_hex_socket_size(in)	M_number_spline	M_socket_dia(in)	N_socket_minor(in)	P_width_tool(in)	T_min_key_engagement_spline_socket(in)	C_cup_and_flat_point_dia(in)	Material	Reference	Edition
ASME B18.3  SCREW 5/16 x 0.4375 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_0.4375_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	0.4181	  7/16	0.4375	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 0.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_0.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	0.4806	  1/2 	0.5	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 0.625 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_0.625_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	0.6056	  5/8 	0.625	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 0.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_0.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	0.7306	  3/4 	0.75	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 0.875 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_0.875_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	0.8556	  7/8 	0.875	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 1 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_1_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	0.9806	1      	1.0	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 1.25 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_1.25_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	1.2306	1  1/4 	1.25	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 1.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_1.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	1.4806	1  1/2 	1.5	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 1.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_1.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	1.7306	1  3/4 	1.75	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 2 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_2_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	1.9806	2      	2.0	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 2.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_2.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	2.4806	2  1/2 	2.5	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 3 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_3_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	2.9806	3      	3.0	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 3.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_3.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	3.4806	3  1/2 	3.5	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 4 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_4_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	3.9806	4      	4.0	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 4.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_4.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	4.4806	4  1/2 	4.5	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	4.9806	5      	5.0	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 5.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_5.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	5.4806	5  1/2 	5.5	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 5/16 x 6 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/16_x_6_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/16	0.313	18	0.0556	5.9806	6      	6.0	0.0194	0.156	6.0	0.188	0.163	0.039	0.156	0.172	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 0.25 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_0.25_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	0.2281	  1/4 	0.25	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 0.3125 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_0.3125_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	0.2906	  5/16	0.3125	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 0.375 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_0.375_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	0.3531	  3/8 	0.375	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 0.4375 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_0.4375_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	0.4156	  7/16	0.4375	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 0.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_0.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	0.4781	  1/2 	0.5	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 0.625 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_0.625_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	0.6031	  5/8 	0.625	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 0.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_0.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	0.7281	  3/4 	0.75	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 0.875 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_0.875_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	0.8531	  7/8 	0.875	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 1 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_1_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	0.9781	1      	1.0	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 1.25 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_1.25_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	1.2281	1  1/4 	1.25	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 1.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_1.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	1.4781	1  1/2 	1.5	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 1.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_1.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	1.7281	1  3/4 	1.75	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 2 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_2_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	1.9781	2      	2.0	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 2.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_2.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	2.4781	2  1/2 	2.5	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 3 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_3_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	2.9781	3      	3.0	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 3.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_3.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	3.4781	3  1/2 	3.5	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 4 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_4_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	3.9781	4      	4.0	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 4.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_4.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	4.4781	4  1/2 	4.5	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	4.9781	5      	5.0	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 5.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_5.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	5.4781	5  1/2 	5.5	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 3/8 x 6 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/8_x_6_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/8	0.375	16	0.0625	5.9781	6      	6.0	0.0219	0.188	6.0	0.221	0.19	0.05	0.188	0.212	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 0.375 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_0.375_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	0.35	  3/8 	0.375	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 0.4375 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_0.4375_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	0.4125	  7/16	0.4375	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 0.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_0.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	0.475	  1/2 	0.5	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 0.625 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_0.625_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	0.6	  5/8 	0.625	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 0.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_0.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	0.725	  3/4 	0.75	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 0.875 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_0.875_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	0.85	  7/8 	0.875	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 1 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_1_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	0.975	1      	1.0	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 1.25 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_1.25_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	1.225	1  1/4 	1.25	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 1.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_1.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	1.475	1  1/2 	1.5	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 1.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_1.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	1.725	1  3/4 	1.75	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 2 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_2_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	1.975	2      	2.0	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 2.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_2.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	2.475	2  1/2 	2.5	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 3 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_3_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	2.975	3      	3.0	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 3.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_3.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	3.475	3  1/2 	3.5	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 4 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_4_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	3.975	4      	4.0	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 4.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_4.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	4.475	4  1/2 	4.5	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	4.975	5      	5.0	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 5.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_5.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	5.475	5  1/2 	5.5	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 6 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_6_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	5.975	6      	6.0	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 7/16 x 7 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/16_x_7_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/16	0.438	14	0.0714	6.975	7      	7.0	0.025	0.219	6.0	0.256	0.221	0.06	0.219	0.252	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 0.375 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_0.375_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	0.3481	  3/8 	0.375	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 0.4375 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_0.4375_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	0.4106	  7/16	0.4375	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 0.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_0.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	0.4731	  1/2 	0.5	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 0.625 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_0.625_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	0.5981	  5/8 	0.625	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 0.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_0.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	0.7231	  3/4 	0.75	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 0.875 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_0.875_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	0.8481	  7/8 	0.875	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 1 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_1_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	0.9731	1      	1.0	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 1.25 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_1.25_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	1.2231	1  1/4 	1.25	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 1.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_1.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	1.4731	1  1/2 	1.5	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 1.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_1.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	1.7231	1  3/4 	1.75	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 2 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_2_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	1.9731	2      	2.0	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 2.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_2.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	2.4731	2  1/2 	2.5	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 3 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_3_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	2.9731	3      	3.0	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 3.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_3.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	3.4731	3  1/2 	3.5	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 4 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_4_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	3.9731	4      	4.0	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 4.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_4.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	4.4731	4  1/2 	4.5	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	4.9731	5      	5.0	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 5.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_5.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	5.4731	5  1/2 	5.5	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 6 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_6_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	5.9731	6      	6.0	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 7 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_7_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	6.9731	7      	7.0	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 1/2 x 8 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_1/2_x_8_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	1/2	0.5	13	0.0769	7.9731	8      	8.0	0.0269	0.25	6.0	0.298	0.254	0.068	0.25	0.291	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 0.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_0.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	0.4682	  1/2 	0.5	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 0.625 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_0.625_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	0.5932	  5/8 	0.625	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 0.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_0.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	0.7182	  3/4 	0.75	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
