PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_dia_max(in)	H_dia_min(in)	R_head_radius(in)	J_slot_width_max(in)	J_slot_width_mix(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_2 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.527	1.125	Y	1.0	9/16	0.563	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.589	1.125	Y	1.0	5/8	0.625	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.714	1.125	Y	1.0	3/4	0.75	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.839	1.125	Y	1.0	7/8	0.875	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_2 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_2_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_2	0.086	56	0.0179	0.964	1.125	Y	1.0	1	1.0	0.167	0.155	0.053	0.045	0.035	0.031	0.023	0.031	0.022	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_1/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.104	1.125	Y	1.0	1/8	0.125	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 5/32 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_5/32_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.135	1.125	Y	1.0	5/32	0.156	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 3/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_3/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.167	1.125	Y	1.0	3/16	0.188	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.229	1.125	Y	1.0	1/4	0.25	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.271	1.125	Y	1.0	5/16	0.313	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
