PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	R_corner_radius(in)	Material	Reference	Edition
ASME B18.8.2 PIN 3/32 x 9/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_9/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	9/16	0.563	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 5/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_5/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	5/8	0.625	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 11/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_11/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	11/16	0.688	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 3/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_3/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	3/4	0.75	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 13/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_13/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	13/16	0.813	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 7/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_7/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	7/8	0.875	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 15/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_15/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	15/16	0.938	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1	1.0	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_1/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1_1/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1_1/8	1.125	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_1/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1_1/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1_1/4	1.25	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_3/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1_3/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1_3/8	1.375	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_1/2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1_1/2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1_1/2	1.5	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_5/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1_5/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1_5/8	1.625	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_3/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1_3/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1_3/4	1.75	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_7/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1_7/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1_7/8	1.875	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	2	2.0	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 3/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_3/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	3/16	0.188	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1/4	0.25	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 5/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_5/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	5/16	0.313	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 3/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_3/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	3/8	0.375	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 7/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_7/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	7/16	0.438	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1/2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1/2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1/2	0.5	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 9/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_9/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	9/16	0.563	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 5/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_5/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	5/8	0.625	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 11/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_11/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	11/16	0.688	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 3/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_3/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	3/4	0.75	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 13/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_13/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	13/16	0.813	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 7/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_7/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	7/8	0.875	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 15/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_15/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	15/16	0.938	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1	1.0	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_1/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1_1/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1_1/8	1.125	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_1/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1_1/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1_1/4	1.25	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_3/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1_3/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1_3/8	1.375	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_1/2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1_1/2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1_1/2	1.5	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_5/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1_5/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1_5/8	1.625	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_3/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1_3/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1_3/4	1.75	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_7/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_1_7/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	1_7/8	1.875	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 7/64 x 2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_7/64_x_2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	7/64	0.109	0.11	2	2.0	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 3/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_3/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	3/16	0.188	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1/4	0.25	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 5/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_5/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	5/16	0.313	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 3/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_3/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	3/8	0.375	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 7/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_7/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	7/16	0.438	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1/2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1/2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1/2	0.5	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 9/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_9/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	9/16	0.563	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 5/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_5/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	5/8	0.625	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 11/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_11/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	11/16	0.688	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 3/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_3/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	3/4	0.75	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 13/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_13/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	13/16	0.813	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 7/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_7/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	7/8	0.875	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 15/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_15/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	15/16	0.938	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1	1.0	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_1/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1_1/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1_1/8	1.125	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_1/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1_1/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1_1/4	1.25	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_3/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1_3/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1_3/8	1.375	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_1/2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1_1/2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1_1/2	1.5	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_5/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1_5/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1_5/8	1.625	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_3/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1_3/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1_3/4	1.75	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_7/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_1_7/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	1_7/8	1.875	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/8 x 2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/8_x_2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/8	0.125	0.125	2	2.0	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 3/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_3/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	3/16	0.188	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_1/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	1/4	0.25	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 5/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_5/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	5/16	0.313	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 3/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_3/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	3/8	0.375	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 7/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_7/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	7/16	0.438	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1/2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_1/2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	1/2	0.5	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 9/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_9/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	9/16	0.563	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 5/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_5/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	5/8	0.625	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 11/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_11/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	11/16	0.688	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 3/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_3/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	3/4	0.75	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 13/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_13/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	13/16	0.813	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 7/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_7/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	7/8	0.875	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 15/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_15/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	15/16	0.938	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_1_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	1	1.0	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_1/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_1_1/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	1_1/8	1.125	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_1/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_1_1/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	1_1/4	1.25	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_3/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_1_3/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	1_3/8	1.375	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_1/2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_1_1/2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	1_1/2	1.5	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_5/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_1_5/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	1_5/8	1.625	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_3/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_5/32_x_1_3/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	5/32	0.156	0.156	1_3/4	1.75	0.02	St	ASME B18.8.2	2000
