PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	s-n-l	L_length(in)	Lg_grip_length	Lt_min thread_ref	D_body_dia(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_hexagon_socet_size(in)	T_key_engagement(in)	G_wall_thickness	K_chamfer(in)	Material	Reference	Edition
ASME B18.3 SCREW No_4 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.75	  7/8 	s	0.88	0.05	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.75	1      	n	1.00	0.25	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	1.0	1  1/4 	n	1.25	0.25	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.75	1  1/2 	n	1.50	0.75	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	1.0	1  3/4 	n	1.75	0.75	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.75	2      	n	2.00	1.25	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	1.0	2  1/4 	n	2.25	1.25	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.75	2  1/2 	l	2.50	1.75	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_4_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_4	0.112	40	0.0250	0.75	2  3/4 	l	2.75	2.0	0.75	0.112	0.183	0.112	0.009	0.094	0.051	0.038	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.075	  1/8 	s	0.13	0.05	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.138	  3/16	s	0.19	0.05	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.2	  1/4 	s	0.25	0.05	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.325	  3/8 	s	0.38	0.05	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
