PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	C_chamfer_length(in)	Material	Reference	Edition
ASME B18.8.2 7/32 x 3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	3/4	0.75	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 13/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_13/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	13/16	0.813	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	7/8	0.875	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 15/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_15/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	15/16	0.938	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1	1.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1_1/8	1.125	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1_1/4	1.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1_3/8	1.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1_1/2	1.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1_5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1_5/8	1.625	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1_3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1_3/4	1.75	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 1_7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_1_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	1_7/8	1.875	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/32 x 2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/32_x_2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/32	0.219	0.216	2	2.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	1/4	0.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 5/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_5/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	5/16	0.313	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	3/8	0.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 7/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_7/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	7/16	0.438	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	1/2	0.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 9/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_9/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	9/16	0.563	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	5/8	0.625	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 11/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_11/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	11/16	0.688	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	3/4	0.75	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 13/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_13/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	13/16	0.813	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	7/8	0.875	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 15/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_15/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	15/16	0.938	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 1 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	1	1.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	1_1/8	1.125	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	1_1/4	1.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	1_3/8	1.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	1_1/2	1.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 1_3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_1_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	1_3/4	1.75	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	2	2.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 2_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_2_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	2_1/4	2.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/4 x 2_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/4_x_2_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/4	0.25	0.247	2_1/2	2.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 5/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_5/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	5/16	0.313	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	3/8	0.375	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 7/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_7/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	7/16	0.438	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	1/2	0.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 9/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_9/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	9/16	0.563	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	5/8	0.625	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 11/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_11/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	11/16	0.688	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	3/4	0.75	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 13/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_13/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	13/16	0.813	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	7/8	0.875	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 15/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_15/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	15/16	0.938	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 1 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	1	1.0	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	1_1/8	1.125	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	1_1/4	1.25	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	1_3/8	1.375	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	1_1/2	1.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 1_3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_1_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	1_3/4	1.75	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	2	2.0	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 2_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_2_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	2_1/4	2.25	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/16 x 2_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/16_x_2_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/16	0.313	0.309	2_1/2	2.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	3/8	0.375	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 7/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_7/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	7/16	0.438	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	1/2	0.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 9/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_9/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	9/16	0.563	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	5/8	0.625	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 11/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_11/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	11/16	0.688	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	3/4	0.75	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 13/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_13/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	13/16	0.813	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	7/8	0.875	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 15/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_15/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	15/16	0.938	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 1 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	1	1.0	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	1_1/8	1.125	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	1_1/4	1.25	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	1_3/8	1.375	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	1_1/2	1.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 1_3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_1_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	1_3/4	1.75	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	2	2.0	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 2_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_2_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	2_1/4	2.25	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 3/8 x 2_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_3/8_x_2_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	3/8	0.375	0.372	2_1/2	2.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 7/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_7/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	7/16	0.438	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	1/2	0.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 9/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_9/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	9/16	0.563	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	5/8	0.625	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	3/4	0.75	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	7/8	0.875	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 15/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_15/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	15/16	0.938	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 1 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	1	1.0	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	1_1/8	1.125	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	1_1/4	1.25	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	1_3/8	1.375	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	1_1/2	1.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 1_3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_1_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	1_3/4	1.75	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	2	2.0	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 2_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_2_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	2_1/4	2.25	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 7/16 x 2_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_7/16_x_2_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/16	0.438	0.434	2_1/2	2.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	1/2	0.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	5/8	0.625	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	3/4	0.75	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 7/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_7/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	7/8	0.875	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 1 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	1	1.0	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	1_1/8	1.125	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	1_1/4	1.25	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	1_3/8	1.375	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	1_1/2	1.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 1_3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_1_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	1_3/4	1.75	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	2	2.0	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 2_1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_2_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	2_1/4	2.25	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 2_1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_2_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	2_1/2	2.5	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 1/2 x 3 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/2_x_3_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/2	0.5	0.496	3	3.0	0.04	St	ASME B18.8.2	2000
ASME B18.8.2 5/8 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_5/8_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	5/8	0.625	0.621	5/8	0.625	0.055	St	ASME B18.8.2	2000
