PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	A_head_dia(in)	H_head_height(in)	S_side_height(in)	J_hex_scocket_size(in)	T_key_engagement(in)	F_fillet_transition_dia(in)	Material	Reference	Edition
ASME B18.3 SCREW 5/16 x 7/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/16_x_7/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.764	7/8	0.88	0.547	0.166	0.031	0.188	0.105	0.353	St	ASME B18.3	2003
ASME B18.3 SCREW 5/16 x 1 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/16_x_1_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.889	1	1.00	0.547	0.166	0.031	0.188	0.105	0.353	St	ASME B18.3	2003
ASME B18.3 SCREW 5/16 x 1_1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/16_x_1_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.139	1_1/4	1.25	0.547	0.166	0.031	0.188	0.105	0.353	St	ASME B18.3	2003
ASME B18.3 SCREW 5/16 x 1_1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/16_x_1_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.389	1_1/2	1.50	0.547	0.166	0.031	0.188	0.105	0.353	St	ASME B18.3	2003
ASME B18.3 SCREW 5/16 x 1_3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/16_x_1_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.639	1_3/4	1.75	0.547	0.166	0.031	0.188	0.105	0.353	St	ASME B18.3	2003
ASME B18.3 SCREW 5/16 x 2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/16_x_2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	1.889	2	2.00	0.547	0.166	0.031	0.188	0.105	0.353	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 3/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_3/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.25	3/8	0.38	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.375	1/2	0.50	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 5/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_5/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.5	5/8	0.63	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.625	3/4	0.75	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 7/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_7/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.75	7/8	0.88	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 1 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_1_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.875	1	1.00	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 1_1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_1_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.125	1_1/4	1.25	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 1_1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_1_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.375	1_1/2	1.50	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 1_3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_1_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.625	1_3/4	1.75	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.875	2	2.00	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 2_1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_2_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	2.125	2_1/4	2.25	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 3/8 x 2_1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_3/8_x_2_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	2.375	2_1/2	2.50	0.656	0.199	0.031	0.219	0.122	0.415	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 3/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_3/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.221	3/8	0.38	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.346	1/2	0.50	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 5/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_5/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.471	5/8	0.63	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.596	3/4	0.75	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 7/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_7/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.721	7/8	0.88	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 1 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_1_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.846	1	1.00	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 1_1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_1_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.096	1_1/4	1.25	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 1_1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_1_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.346	1_1/2	1.50	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 1_3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_1_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.596	1_3/4	1.75	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.846	2	2.00	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 2_1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_2_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	2.096	2_1/4	2.25	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 2_1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_2_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	2.346	2_1/2	2.50	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 2_3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_2_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	2.596	2_3/4	2.75	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 3 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_3_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	2.846	3	3.00	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 3_1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_3_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	3.096	3_1/4	3.25	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 3_1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_3_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	3.346	3_1/2	3.50	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 1/2 x 4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_1/2_x_4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	3.846	4	4.00	0.875	0.265	0.046	0.312	0.175	0.56	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	0.318	1/2	0.50	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 5/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_5/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	0.443	5/8	0.63	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	0.568	3/4	0.75	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 7/8 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_7/8_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	0.693	7/8	0.88	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 1 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_1_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	0.818	1	1.00	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 1_1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_1_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	1.068	1_1/4	1.25	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 1_1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_1_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	1.318	1_1/2	1.50	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 1_3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_1_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	1.568	1_3/4	1.75	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	1.818	2	2.00	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 2_1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_2_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	2.068	2_1/4	2.25	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 2_1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_2_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	2.318	2_1/2	2.50	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 2_3/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_2_3/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	2.568	2_3/4	2.75	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 3 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_3_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	2.818	3	3.00	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 3_1/4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_3_1/4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	3.068	3_1/4	3.25	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 3_1/2 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_3_1/2_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	3.318	3_1/2	3.50	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
ASME B18.3 SCREW 5/8 x 4 UNC STEEL HEXAGON SOCKET BUTTON HEAD CAP	ASME_B18_3_5/8_x_4_UNC_STEEL_HEXAGON_SOCKET_BUTTON_HEAD_CAP_SCREW	5/8	0.625	11	0.0909	3.818	4	4.00	1.0	0.331	0.062	0.375	0.21	0.685	St	ASME B18.3	2003
