PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	L_length(ref)	Length(in)	E_body_diamax(in)	E_body_diamin(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.5 BOLT No_10 x 1.5 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_1.5_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	1  1/2 	1.5	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 1.75 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_1.75_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	1  3/4 	1.75	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 2 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_2_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	2      	2.0	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 2.25 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_2.25_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	2  1/4 	2.25	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 2.75 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_2.75_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	2  3/4 	2.75	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 3 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_3_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	3      	3.0	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 3.25 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_3.25_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	3  1/4 	3.25	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 3.5 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_3.5_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	3  1/2 	3.5	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 3.75 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_3.75_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	3  3/4 	3.75	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 4 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_4_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	4      	4.0	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 4.25 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_4.25_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	4  1/4 	4.25	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 4.5 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_4.5_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	4  1/2 	4.5	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 4.75 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_4.75_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	4  3/4 	4.75	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT No_10 x 5 UNC STEEL ROUND HEAD	ASME_B18_5_No_10_x_5_UNC_STEEL_ROUND_HEAD_BOLT	No_10	0.19	24	0.0417	0.63	0.63	0.104	5      	5.0	0.199	0.182	0.469	0.438	0.114	0.094	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 0.25 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_0.25_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.125	0.75	0.125	  1/4 	0.25	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
