PartNumber	PartName	Pin_size_no(ref)	Basic_pin_dia(in)	Nominal_length(ref)	Length(in)	A_major_dia(in)	A_major_dia_commercial_class(in)	A_major_dia_precision_class(in)	R_end_crown_radius(in)	Class	Material	Reference	Edition
ASME B18.8.2 Pin 3/0 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3/0x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	3/0	0.125	1_1/4	1.25	0.126	n/a	0.126	0.135	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3/0 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3/0x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	3/0	0.125	1_1/2	1.5	0.126	n/a	0.126	0.135	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3/0 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3/0x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	3/0	0.125	1_3/4	1.75	0.126	n/a	0.126	0.135	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3/0 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3/0x2_STEEL_PRECISION_CLASS_TAPER_PIN	3/0	0.125	2	2.0	0.126	n/a	0.126	0.135	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x1/2_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	1/2	0.5	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 5/8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x5/8_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	5/8	0.625	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x3/4_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	3/4	0.75	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 7/8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x7/8_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	7/8	0.875	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 1 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x1_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	1	1.0	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	1_1/4	1.25	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	1_1/2	1.5	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	1_3/4	1.75	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x2_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	2	2.0	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	2_1/4	2.25	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	2_1/2	2.5	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2/0 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2/0x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	2/0	0.141	2_3/4	2.75	0.142	n/a	0.142	0.151	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x1/2_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	1/2	0.5	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 5/8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x5/8_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	5/8	0.625	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x3/4_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	3/4	0.75	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 7/8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x7/8_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	7/8	0.875	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 1 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x1_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	1	1.0	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	1_1/4	1.25	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	1_1/2	1.5	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	1_3/4	1.75	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x2_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	2	2.0	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	2_1/4	2.25	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	2_1/2	2.5	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	2_3/4	2.75	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 0 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_0x3_STEEL_PRECISION_CLASS_TAPER_PIN	0	0.156	3	3.0	0.157	n/a	0.157	0.166	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x3/4_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	3/4	0.75	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 7/8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x7/8_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	7/8	0.875	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 1 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x1_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	1	1.0	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	1_1/4	1.25	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	1_1/2	1.5	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	1_3/4	1.75	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x2_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	2	2.0	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	2_1/4	2.25	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	2_1/2	2.5	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	2_3/4	2.75	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 1 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_1x3_STEEL_PRECISION_CLASS_TAPER_PIN	1	0.172	3	3.0	0.173	n/a	0.173	0.182	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x3/4_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	3/4	0.75	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 7/8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x7/8_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	7/8	0.875	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 1 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x1_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	1	1.0	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	1_1/4	1.25	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	1_1/2	1.5	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	1_3/4	1.75	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x2_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	2	2.0	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	2_1/4	2.25	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	2_1/2	2.5	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	2_3/4	2.75	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 2 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_2x3_STEEL_PRECISION_CLASS_TAPER_PIN	2	0.193	3	3.0	0.194	n/a	0.194	0.203	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x3/4_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	3/4	0.75	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 7/8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x7/8_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	7/8	0.875	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 1 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x1_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	1	1.0	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	1_1/4	1.25	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	1_1/2	1.5	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	1_3/4	1.75	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x2_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	2	2.0	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	2_1/4	2.25	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	2_1/2	2.5	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	2_3/4	2.75	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x3_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	3	3.0	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 3_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x3_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	3_1/4	3.25	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 3_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x3_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	3_1/2	3.5	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 3_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x3_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	3_3/4	3.75	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 3 x 4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_3x4_STEEL_PRECISION_CLASS_TAPER_PIN	3	0.219	4	4.0	0.22	n/a	0.22	0.229	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x3/4_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	3/4	0.75	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 7/8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x7/8_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	7/8	0.875	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 1 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x1_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	1	1.0	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	1_1/4	1.25	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	1_1/2	1.5	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	1_3/4	1.75	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x2_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	2	2.0	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	2_1/4	2.25	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	2_1/2	2.5	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	2_3/4	2.75	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x3_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	3	3.0	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 3_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x3_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	3_1/4	3.25	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 3_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x3_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	3_1/2	3.5	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 3_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x3_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	3_3/4	3.75	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 4 x 4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_4x4_STEEL_PRECISION_CLASS_TAPER_PIN	4	0.25	4	4.0	0.251	n/a	0.251	0.26	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 1 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x1_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	1	1.0	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	1_1/4	1.25	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	1_1/2	1.5	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	1_3/4	1.75	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x2_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	2	2.0	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	2_1/4	2.25	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	2_1/2	2.5	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	2_3/4	2.75	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x3_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	3	3.0	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 3_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x3_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	3_1/4	3.25	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 3_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x3_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	3_1/2	3.5	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 3_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x3_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	3_3/4	3.75	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	4	4.0	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 4_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x4_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	4_1/4	4.25	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 4_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x4_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	4_1/2	4.5	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 4_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x4_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	4_3/4	4.75	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 5 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x5_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	5	5.0	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 5_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x5_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	5_1/4	5.25	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 5_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x5_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	5_1/2	5.5	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 5_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x5_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	5_3/4	5.75	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 5 x 6 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_5x6_STEEL_PRECISION_CLASS_TAPER_PIN	5	0.289	6	6.0	0.29	n/a	0.29	0.299	PRECISION	St	ASME B18.8.2	2000
