PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max_edge_sharp(in)	A_head_dia_min_edge_rounded_or_flat(in)	H_head_height(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	U_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 1/4 x 5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_1/4_x_5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.750	0.75	0.265	5      	5.000	0.25	0.245	0.5	0.452	0.14	0.075	0.064	0.068	0.045	0.1	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_0.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.184	0.875	0.316	  1/2 	0.500	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.625 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_0.625_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.309	0.875	0.316	  5/8 	0.625	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_0.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.434	0.875	0.316	  3/4 	0.750	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 0.875 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_0.875_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.559	0.875	0.316	  7/8 	0.875	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_1_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.684	0.875	0.316	1      	1.000	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.125 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_1.125_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.809	0.875	0.316	1  1/8 	1.125	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_1.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	1  1/4 	1.250	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.375 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_1.375_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	1  3/8 	1.375	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_1.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	1  1/2 	1.500	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 1.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_1.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	1  3/4 	1.750	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_2_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	2      	2.000	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_2.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	2  1/4 	2.250	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 2.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_2.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	2  3/4 	2.750	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
