PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_height_max(in)	H_head_height_min(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	U_fillet_radius_max(in)	U_fillet_radius_min(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 1/4 x 0.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_0.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.125	0.75	0.125	  1/4 	0.25	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 0.375 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_0.375_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.25	0.75	0.125	  3/8 	0.375	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 0.5 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_0.5_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.375	0.75	0.125	  1/2 	0.5	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 0.625 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_0.625_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.5	0.75	0.125	  5/8 	0.625	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 0.75 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_0.75_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.625	0.75	0.125	  3/4 	0.75	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 0.875 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_0.875_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	  7/8 	0.875	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_1_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	1      	1.0	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.125 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_1.125_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  1/8 	1.125	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.25 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_1.25_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  1/4 	1.25	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
ASME B18.6.2 SCREW 1/4 x 1.375 UNC STEEL SLOTTED ROUND HEAD CAP	ASME_B18_6_2_1/4_x_1.375_UNC_STEEL_SLOTTED_ROUND_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  3/8 	1.375	0.25	0.245	0.437	0.418	0.191	0.175	0.075	0.064	0.177	0.097	0.031	0.016	St	ASME_B18.6.2	1998
