PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	L_length(ref)	L_length(in)	Basic_pin_dia(in)	A_total_shank_dia(in)	B_wire_width(in)	C_head_dia(in)	D_extended_prong_length(in)	Gage_hole_dia(in)	Material	Reference	Edition
ASME B18.8.1 PIN 5/16 x 3 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_5/16_x_3_STEEL_EXTENDED_PRONG_COTTER_PIN	5/16	0.312	3.0	3.0	0.312	0.28	0.28	0.62	0.14	0.312	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 5/16 x 3_1/2 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_5/16_x_3_1/2_STEEL_EXTENDED_PRONG_COTTER_PIN	5/16	0.312	3_1/2	3.5	0.312	0.28	0.28	0.62	0.14	0.312	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 5/16 x 4 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_5/16_x_4_STEEL_EXTENDED_PRONG_COTTER_PIN	5/16	0.312	4.0	4.0	0.312	0.28	0.28	0.62	0.14	0.312	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 5/16 x 5 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_5/16_x_5_STEEL_EXTENDED_PRONG_COTTER_PIN	5/16	0.312	5.0	5.0	0.312	0.28	0.28	0.62	0.14	0.312	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 3/8 x 1_1/2 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_3/8_x_1_1/2_STEEL_EXTENDED_PRONG_COTTER_PIN	3/8	0.375	1_1/2	1.5	0.375	0.335	0.335	0.75	0.16	0.375	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 3/8 x 2 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_3/8_x_2_STEEL_EXTENDED_PRONG_COTTER_PIN	3/8	0.375	2.0	2.0	0.375	0.335	0.335	0.75	0.16	0.375	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 3/8 x 2_1/2 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_3/8_x_2_1/2_STEEL_EXTENDED_PRONG_COTTER_PIN	3/8	0.375	2_1/2	2.5	0.375	0.335	0.335	0.75	0.16	0.375	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 3/8 x 3 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_3/8_x_3_STEEL_EXTENDED_PRONG_COTTER_PIN	3/8	0.375	3.0	3.0	0.375	0.335	0.335	0.75	0.16	0.375	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 3/8 x 3_1/2 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_3/8_x_3_1/2_STEEL_EXTENDED_PRONG_COTTER_PIN	3/8	0.375	3_1/2	3.5	0.375	0.335	0.335	0.75	0.16	0.375	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 3/8 x 4 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_3/8_x_4_STEEL_EXTENDED_PRONG_COTTER_PIN	3/8	0.375	4.0	4.0	0.375	0.335	0.335	0.75	0.16	0.375	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 3/8 x 5 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_3/8_x_5_STEEL_EXTENDED_PRONG_COTTER_PIN	3/8	0.375	5.0	5.0	0.375	0.335	0.335	0.75	0.16	0.375	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 3/8 x 6 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_3/8_x_6_STEEL_EXTENDED_PRONG_COTTER_PIN	3/8	0.375	6.0	6.0	0.375	0.335	0.335	0.75	0.16	0.375	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 1/2 x 2_1/2 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_1/2_x_2_1/2_STEEL_EXTENDED_PRONG_COTTER_PIN	1/2	0.5	2_1/2	2.5	0.5	0.473	0.473	1.0	0.23	0.5	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 1/2 x 3 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_1/2_x_3_STEEL_EXTENDED_PRONG_COTTER_PIN	1/2	0.5	3.0	3.0	0.5	0.473	0.473	1.0	0.23	0.5	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 1/2 x 3_1/2 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_1/2_x_3_1/2_STEEL_EXTENDED_PRONG_COTTER_PIN	1/2	0.5	3_1/2	3.5	0.5	0.473	0.473	1.0	0.23	0.5	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 1/2 x 4 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_1/2_x_4_STEEL_EXTENDED_PRONG_COTTER_PIN	1/2	0.5	4.0	4.0	0.5	0.473	0.473	1.0	0.23	0.5	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 1/2 x 5 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_1/2_x_5_STEEL_EXTENDED_PRONG_COTTER_PIN	1/2	0.5	5.0	5.0	0.5	0.473	0.473	1.0	0.23	0.5	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 1/2 x 6 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_1/2_x_6_STEEL_EXTENDED_PRONG_COTTER_PIN	1/2	0.5	6.0	6.0	0.5	0.473	0.473	1.0	0.23	0.5	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 5/8 x 3 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_5/8_x_3_STEEL_EXTENDED_PRONG_COTTER_PIN	5/8	0.625	3.0	3.0	0.625	0.598	0.598	1.25	0.3	0.625	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 5/8 x 3_1/2 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_5/8_x_3_1/2_STEEL_EXTENDED_PRONG_COTTER_PIN	5/8	0.625	3_1/2	3.5	0.625	0.598	0.598	1.25	0.3	0.625	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 5/8 x 4 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_5/8_x_4_STEEL_EXTENDED_PRONG_COTTER_PIN	5/8	0.625	4.0	4.0	0.625	0.598	0.598	1.25	0.3	0.625	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 5/8 x 5 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_5/8_x_5_STEEL_EXTENDED_PRONG_COTTER_PIN	5/8	0.625	5.0	5.0	0.625	0.598	0.598	1.25	0.3	0.625	St	ASME B18.8.1	1994
ASME B18.8.1 PIN 5/8 x 6 STEEL EXTENDED PRONG COTTER	ASME_B18_8_1_5/8_x_6_STEEL_EXTENDED_PRONG_COTTER_PIN	5/8	0.625	6.0	6.0	0.625	0.598	0.598	1.25	0.3	0.625	St	ASME B18.8.1	1994
