PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	dk_head_dia_max(mm)	k_head_depth_max(mm)	m_width(mm)	q_recess_depth_max(mm)	r_max(mm)	y_taper(mm)	slot_width(mm)	cross_recess_no	Type	Material	Reference	Edition																				
JIS B 1122 SCREW ST3.5x25 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST3.5x25_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	0.0	25.0	1.3	1.3	20.5	7.3	2.35	4.4	2.4	1.4	3.2	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.2x9.5 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.2x9.5_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.0	9.5	1.4	1.4	4.4	8.4	2.6	4.6	2.6	1.6	3.7	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.2x13 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.2x13_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.0	13.0	1.4	1.4	7.9	8.4	2.6	4.6	2.6	1.6	3.7	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.2x16 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.2x16_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.0	16.0	1.4	1.4	10.9	8.4	2.6	4.6	2.6	1.6	3.7	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.2x19 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.2x19_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.0	19.0	1.4	1.4	13.9	8.4	2.6	4.6	2.6	1.6	3.7	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.2x22 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.2x22_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.0	22.0	1.4	1.4	16.9	8.4	2.6	4.6	2.6	1.6	3.7	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.2x25 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.2x25_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.0	25.0	1.4	1.4	19.9	8.4	2.6	4.6	2.6	1.6	3.7	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.2x32 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.2x32_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.0	32.0	1.4	1.4	26.9	8.4	2.6	4.6	2.6	1.6	3.7	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.8x9.5 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.8x9.5_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.0	9.5	1.6	1.6	3.6	9.3	2.8	5.2	3.2	2.0	4.3	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.8x13 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.8x13_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.0	13.0	1.6	1.6	7.1	9.3	2.8	5.2	3.2	2.0	4.3	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.8x16 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.8x16_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.0	16.0	1.6	1.6	10.1	9.3	2.8	5.2	3.2	2.0	4.3	0.74	2.0	HC	St	JIS B 1122	1996																				
