PartNumber	PartName	d_dia(mm)	a_approx(mm)	r1(mm)	l_nom_Length(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
JIS B 1352 PIN 10x75 STEEL TAPER	JIS_B_1352_10x75_STEEL_TAPER_PIN	10.0	1.2	10.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x80 STEEL TAPER	JIS_B_1352_10x80_STEEL_TAPER_PIN	10.0	1.2	10.0	80.0	79.25	80.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x85 STEEL TAPER	JIS_B_1352_10x85_STEEL_TAPER_PIN	10.0	1.2	10.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x90 STEEL TAPER	JIS_B_1352_10x90_STEEL_TAPER_PIN	10.0	1.2	10.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x95 STEEL TAPER	JIS_B_1352_10x95_STEEL_TAPER_PIN	10.0	1.2	10.0	95.0	94.25	95.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x100 STEEL TAPER	JIS_B_1352_10x100_STEEL_TAPER_PIN	10.0	1.2	10.0	100.0	99.25	100.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x120 STEEL TAPER	JIS_B_1352_10x120_STEEL_TAPER_PIN	10.0	1.2	10.0	120.0	119.25	120.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x140 STEEL TAPER	JIS_B_1352_10x140_STEEL_TAPER_PIN	10.0	1.2	10.0	140.0	139.25	140.75	St	JIS B 1352	1988
JIS B 1352 PIN 10x160 STEEL TAPER	JIS_B_1352_10x160_STEEL_TAPER_PIN	10.0	1.2	10.0	160.0	159.25	160.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x32 STEEL TAPER	JIS_B_1352_12x32_STEEL_TAPER_PIN	12.0	1.6	12.0	32.0	31.5	32.5	St	JIS B 1352	1988
JIS B 1352 PIN 12x35 STEEL TAPER	JIS_B_1352_12x35_STEEL_TAPER_PIN	12.0	1.6	12.0	35.0	34.5	35.5	St	JIS B 1352	1988
JIS B 1352 PIN 12x40 STEEL TAPER	JIS_B_1352_12x40_STEEL_TAPER_PIN	12.0	1.6	12.0	40.0	39.5	40.5	St	JIS B 1352	1988
JIS B 1352 PIN 12x45 STEEL TAPER	JIS_B_1352_12x45_STEEL_TAPER_PIN	12.0	1.6	12.0	45.0	44.5	45.5	St	JIS B 1352	1988
JIS B 1352 PIN 12x50 STEEL TAPER	JIS_B_1352_12x50_STEEL_TAPER_PIN	12.0	1.6	12.0	50.0	49.5	50.5	St	JIS B 1352	1988
JIS B 1352 PIN 12x55 STEEL TAPER	JIS_B_1352_12x55_STEEL_TAPER_PIN	12.0	1.6	12.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x60 STEEL TAPER	JIS_B_1352_12x60_STEEL_TAPER_PIN	12.0	1.6	12.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x65 STEEL TAPER	JIS_B_1352_12x65_STEEL_TAPER_PIN	12.0	1.6	12.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x70 STEEL TAPER	JIS_B_1352_12x70_STEEL_TAPER_PIN	12.0	1.6	12.0	70.0	69.25	70.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x75 STEEL TAPER	JIS_B_1352_12x75_STEEL_TAPER_PIN	12.0	1.6	12.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x80 STEEL TAPER	JIS_B_1352_12x80_STEEL_TAPER_PIN	12.0	1.6	12.0	80.0	79.25	80.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x85 STEEL TAPER	JIS_B_1352_12x85_STEEL_TAPER_PIN	12.0	1.6	12.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x90 STEEL TAPER	JIS_B_1352_12x90_STEEL_TAPER_PIN	12.0	1.6	12.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x95 STEEL TAPER	JIS_B_1352_12x95_STEEL_TAPER_PIN	12.0	1.6	12.0	95.0	94.25	95.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x100 STEEL TAPER	JIS_B_1352_12x100_STEEL_TAPER_PIN	12.0	1.6	12.0	100.0	99.25	100.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x120 STEEL TAPER	JIS_B_1352_12x120_STEEL_TAPER_PIN	12.0	1.6	12.0	120.0	119.25	120.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x140 STEEL TAPER	JIS_B_1352_12x140_STEEL_TAPER_PIN	12.0	1.6	12.0	140.0	139.25	140.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x160 STEEL TAPER	JIS_B_1352_12x160_STEEL_TAPER_PIN	12.0	1.6	12.0	160.0	159.25	160.75	St	JIS B 1352	1988
JIS B 1352 PIN 12x180 STEEL TAPER	JIS_B_1352_12x180_STEEL_TAPER_PIN	12.0	1.6	12.0	180.0	179.25	180.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x40 STEEL TAPER	JIS_B_1352_16x40_STEEL_TAPER_PIN	16.0	2.0	16.0	40.0	39.5	40.5	St	JIS B 1352	1988
JIS B 1352 PIN 16x45 STEEL TAPER	JIS_B_1352_16x45_STEEL_TAPER_PIN	16.0	2.0	16.0	45.0	44.5	45.5	St	JIS B 1352	1988
JIS B 1352 PIN 16x50 STEEL TAPER	JIS_B_1352_16x50_STEEL_TAPER_PIN	16.0	2.0	16.0	50.0	49.5	50.5	St	JIS B 1352	1988
JIS B 1352 PIN 16x55 STEEL TAPER	JIS_B_1352_16x55_STEEL_TAPER_PIN	16.0	2.0	16.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x60 STEEL TAPER	JIS_B_1352_16x60_STEEL_TAPER_PIN	16.0	2.0	16.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x65 STEEL TAPER	JIS_B_1352_16x65_STEEL_TAPER_PIN	16.0	2.0	16.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x70 STEEL TAPER	JIS_B_1352_16x70_STEEL_TAPER_PIN	16.0	2.0	16.0	70.0	69.25	70.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x75 STEEL TAPER	JIS_B_1352_16x75_STEEL_TAPER_PIN	16.0	2.0	16.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x80 STEEL TAPER	JIS_B_1352_16x80_STEEL_TAPER_PIN	16.0	2.0	16.0	80.0	79.25	80.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x85 STEEL TAPER	JIS_B_1352_16x85_STEEL_TAPER_PIN	16.0	2.0	16.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x90 STEEL TAPER	JIS_B_1352_16x90_STEEL_TAPER_PIN	16.0	2.0	16.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x95 STEEL TAPER	JIS_B_1352_16x95_STEEL_TAPER_PIN	16.0	2.0	16.0	95.0	94.25	95.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x100 STEEL TAPER	JIS_B_1352_16x100_STEEL_TAPER_PIN	16.0	2.0	16.0	100.0	99.25	100.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x120 STEEL TAPER	JIS_B_1352_16x120_STEEL_TAPER_PIN	16.0	2.0	16.0	120.0	119.25	120.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x140 STEEL TAPER	JIS_B_1352_16x140_STEEL_TAPER_PIN	16.0	2.0	16.0	140.0	139.25	140.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x160 STEEL TAPER	JIS_B_1352_16x160_STEEL_TAPER_PIN	16.0	2.0	16.0	160.0	159.25	160.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x180 STEEL TAPER	JIS_B_1352_16x180_STEEL_TAPER_PIN	16.0	2.0	16.0	180.0	179.25	180.75	St	JIS B 1352	1988
JIS B 1352 PIN 16x200 STEEL TAPER	JIS_B_1352_16x200_STEEL_TAPER_PIN	16.0	2.0	16.0	200.0	199.25	200.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x45 STEEL TAPER	JIS_B_1352_20x45_STEEL_TAPER_PIN	20.0	2.5	20.0	45.0	44.5	45.5	St	JIS B 1352	1988
JIS B 1352 PIN 20x50 STEEL TAPER	JIS_B_1352_20x50_STEEL_TAPER_PIN	20.0	2.5	20.0	50.0	49.5	50.5	St	JIS B 1352	1988
JIS B 1352 PIN 20x55 STEEL TAPER	JIS_B_1352_20x55_STEEL_TAPER_PIN	20.0	2.5	20.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x60 STEEL TAPER	JIS_B_1352_20x60_STEEL_TAPER_PIN	20.0	2.5	20.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x65 STEEL TAPER	JIS_B_1352_20x65_STEEL_TAPER_PIN	20.0	2.5	20.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x70 STEEL TAPER	JIS_B_1352_20x70_STEEL_TAPER_PIN	20.0	2.5	20.0	70.0	69.25	70.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x75 STEEL TAPER	JIS_B_1352_20x75_STEEL_TAPER_PIN	20.0	2.5	20.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x80 STEEL TAPER	JIS_B_1352_20x80_STEEL_TAPER_PIN	20.0	2.5	20.0	80.0	79.25	80.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x85 STEEL TAPER	JIS_B_1352_20x85_STEEL_TAPER_PIN	20.0	2.5	20.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x90 STEEL TAPER	JIS_B_1352_20x90_STEEL_TAPER_PIN	20.0	2.5	20.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x95 STEEL TAPER	JIS_B_1352_20x95_STEEL_TAPER_PIN	20.0	2.5	20.0	95.0	94.25	95.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x100 STEEL TAPER	JIS_B_1352_20x100_STEEL_TAPER_PIN	20.0	2.5	20.0	100.0	99.25	100.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x120 STEEL TAPER	JIS_B_1352_20x120_STEEL_TAPER_PIN	20.0	2.5	20.0	120.0	119.25	120.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x140 STEEL TAPER	JIS_B_1352_20x140_STEEL_TAPER_PIN	20.0	2.5	20.0	140.0	139.25	140.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x160 STEEL TAPER	JIS_B_1352_20x160_STEEL_TAPER_PIN	20.0	2.5	20.0	160.0	159.25	160.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x180 STEEL TAPER	JIS_B_1352_20x180_STEEL_TAPER_PIN	20.0	2.5	20.0	180.0	179.25	180.75	St	JIS B 1352	1988
JIS B 1352 PIN 20x200 STEEL TAPER	JIS_B_1352_20x200_STEEL_TAPER_PIN	20.0	2.5	20.0	200.0	199.25	200.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x50 STEEL TAPER	JIS_B_1352_25x50_STEEL_TAPER_PIN	25.0	3.0	25.0	50.0	49.5	50.5	St	JIS B 1352	1988
JIS B 1352 PIN 25x55 STEEL TAPER	JIS_B_1352_25x55_STEEL_TAPER_PIN	25.0	3.0	25.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x60 STEEL TAPER	JIS_B_1352_25x60_STEEL_TAPER_PIN	25.0	3.0	25.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x65 STEEL TAPER	JIS_B_1352_25x65_STEEL_TAPER_PIN	25.0	3.0	25.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x70 STEEL TAPER	JIS_B_1352_25x70_STEEL_TAPER_PIN	25.0	3.0	25.0	70.0	69.25	70.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x75 STEEL TAPER	JIS_B_1352_25x75_STEEL_TAPER_PIN	25.0	3.0	25.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x80 STEEL TAPER	JIS_B_1352_25x80_STEEL_TAPER_PIN	25.0	3.0	25.0	80.0	79.25	80.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x85 STEEL TAPER	JIS_B_1352_25x85_STEEL_TAPER_PIN	25.0	3.0	25.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x90 STEEL TAPER	JIS_B_1352_25x90_STEEL_TAPER_PIN	25.0	3.0	25.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x95 STEEL TAPER	JIS_B_1352_25x95_STEEL_TAPER_PIN	25.0	3.0	25.0	95.0	94.25	95.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x100 STEEL TAPER	JIS_B_1352_25x100_STEEL_TAPER_PIN	25.0	3.0	25.0	100.0	99.25	100.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x120 STEEL TAPER	JIS_B_1352_25x120_STEEL_TAPER_PIN	25.0	3.0	25.0	120.0	119.25	120.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x140 STEEL TAPER	JIS_B_1352_25x140_STEEL_TAPER_PIN	25.0	3.0	25.0	140.0	139.25	140.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x160 STEEL TAPER	JIS_B_1352_25x160_STEEL_TAPER_PIN	25.0	3.0	25.0	160.0	159.25	160.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x180 STEEL TAPER	JIS_B_1352_25x180_STEEL_TAPER_PIN	25.0	3.0	25.0	180.0	179.25	180.75	St	JIS B 1352	1988
JIS B 1352 PIN 25x200 STEEL TAPER	JIS_B_1352_25x200_STEEL_TAPER_PIN	25.0	3.0	25.0	200.0	199.25	200.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x55 STEEL TAPER	JIS_B_1352_30x55_STEEL_TAPER_PIN	30.0	4.0	30.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x60 STEEL TAPER	JIS_B_1352_30x60_STEEL_TAPER_PIN	30.0	4.0	30.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x65 STEEL TAPER	JIS_B_1352_30x65_STEEL_TAPER_PIN	30.0	4.0	30.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x70 STEEL TAPER	JIS_B_1352_30x70_STEEL_TAPER_PIN	30.0	4.0	30.0	70.0	69.25	70.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x75 STEEL TAPER	JIS_B_1352_30x75_STEEL_TAPER_PIN	30.0	4.0	30.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x80 STEEL TAPER	JIS_B_1352_30x80_STEEL_TAPER_PIN	30.0	4.0	30.0	80.0	79.25	80.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x85 STEEL TAPER	JIS_B_1352_30x85_STEEL_TAPER_PIN	30.0	4.0	30.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x90 STEEL TAPER	JIS_B_1352_30x90_STEEL_TAPER_PIN	30.0	4.0	30.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x95 STEEL TAPER	JIS_B_1352_30x95_STEEL_TAPER_PIN	30.0	4.0	30.0	95.0	94.25	95.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x100 STEEL TAPER	JIS_B_1352_30x100_STEEL_TAPER_PIN	30.0	4.0	30.0	100.0	99.25	100.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x120 STEEL TAPER	JIS_B_1352_30x120_STEEL_TAPER_PIN	30.0	4.0	30.0	120.0	119.25	120.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x140 STEEL TAPER	JIS_B_1352_30x140_STEEL_TAPER_PIN	30.0	4.0	30.0	140.0	139.25	140.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x160 STEEL TAPER	JIS_B_1352_30x160_STEEL_TAPER_PIN	30.0	4.0	30.0	160.0	159.25	160.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x180 STEEL TAPER	JIS_B_1352_30x180_STEEL_TAPER_PIN	30.0	4.0	30.0	180.0	179.25	180.75	St	JIS B 1352	1988
JIS B 1352 PIN 30x200 STEEL TAPER	JIS_B_1352_30x200_STEEL_TAPER_PIN	30.0	4.0	30.0	200.0	199.25	200.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x60 STEEL TAPER	JIS_B_1352_40x60_STEEL_TAPER_PIN	40.0	5.0	40.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x65 STEEL TAPER	JIS_B_1352_40x65_STEEL_TAPER_PIN	40.0	5.0	40.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x70 STEEL TAPER	JIS_B_1352_40x70_STEEL_TAPER_PIN	40.0	5.0	40.0	70.0	69.25	70.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x75 STEEL TAPER	JIS_B_1352_40x75_STEEL_TAPER_PIN	40.0	5.0	40.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x80 STEEL TAPER	JIS_B_1352_40x80_STEEL_TAPER_PIN	40.0	5.0	40.0	80.0	79.25	80.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x85 STEEL TAPER	JIS_B_1352_40x85_STEEL_TAPER_PIN	40.0	5.0	40.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x90 STEEL TAPER	JIS_B_1352_40x90_STEEL_TAPER_PIN	40.0	5.0	40.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x95 STEEL TAPER	JIS_B_1352_40x95_STEEL_TAPER_PIN	40.0	5.0	40.0	95.0	94.25	95.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x100 STEEL TAPER	JIS_B_1352_40x100_STEEL_TAPER_PIN	40.0	5.0	40.0	100.0	99.25	100.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x120 STEEL TAPER	JIS_B_1352_40x120_STEEL_TAPER_PIN	40.0	5.0	40.0	120.0	119.25	120.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x140 STEEL TAPER	JIS_B_1352_40x140_STEEL_TAPER_PIN	40.0	5.0	40.0	140.0	139.25	140.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x160 STEEL TAPER	JIS_B_1352_40x160_STEEL_TAPER_PIN	40.0	5.0	40.0	160.0	159.25	160.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x180 STEEL TAPER	JIS_B_1352_40x180_STEEL_TAPER_PIN	40.0	5.0	40.0	180.0	179.25	180.75	St	JIS B 1352	1988
JIS B 1352 PIN 40x200 STEEL TAPER	JIS_B_1352_40x200_STEEL_TAPER_PIN	40.0	5.0	40.0	200.0	199.25	200.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x65 STEEL TAPER	JIS_B_1352_50x65_STEEL_TAPER_PIN	50.0	6.3	50.0	65.0	64.25	65.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x70 STEEL TAPER	JIS_B_1352_50x70_STEEL_TAPER_PIN	50.0	6.3	50.0	70.0	69.25	70.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x75 STEEL TAPER	JIS_B_1352_50x75_STEEL_TAPER_PIN	50.0	6.3	50.0	75.0	74.25	75.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x80 STEEL TAPER	JIS_B_1352_50x80_STEEL_TAPER_PIN	50.0	6.3	50.0	80.0	79.25	80.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x85 STEEL TAPER	JIS_B_1352_50x85_STEEL_TAPER_PIN	50.0	6.3	50.0	85.0	84.25	85.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x90 STEEL TAPER	JIS_B_1352_50x90_STEEL_TAPER_PIN	50.0	6.3	50.0	90.0	89.25	90.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x95 STEEL TAPER	JIS_B_1352_50x95_STEEL_TAPER_PIN	50.0	6.3	50.0	95.0	94.25	95.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x100 STEEL TAPER	JIS_B_1352_50x100_STEEL_TAPER_PIN	50.0	6.3	50.0	100.0	99.25	100.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x120 STEEL TAPER	JIS_B_1352_50x120_STEEL_TAPER_PIN	50.0	6.3	50.0	120.0	119.25	120.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x140 STEEL TAPER	JIS_B_1352_50x140_STEEL_TAPER_PIN	50.0	6.3	50.0	140.0	139.25	140.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x160 STEEL TAPER	JIS_B_1352_50x160_STEEL_TAPER_PIN	50.0	6.3	50.0	160.0	159.25	160.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x180 STEEL TAPER	JIS_B_1352_50x180_STEEL_TAPER_PIN	50.0	6.3	50.0	180.0	179.25	180.75	St	JIS B 1352	1988
JIS B 1352 PIN 50x200 STEEL TAPER	JIS_B_1352_50x200_STEEL_TAPER_PIN	50.0	6.3	50.0	200.0	199.25	200.75	St	JIS B 1352	1988
