PartNumber	PartName	d_dia(mm)	a_approx(mm)	r1(mm)	l_nom_Length(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
JIS B 1352 PIN 2x12 STEEL TAPER	JIS_B_1352_2x12_STEEL_TAPER_PIN	2.0	0.25	2.0	12.0	11.5	12.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x14 STEEL TAPER	JIS_B_1352_2x14_STEEL_TAPER_PIN	2.0	0.25	2.0	14.0	13.5	14.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x16 STEEL TAPER	JIS_B_1352_2x16_STEEL_TAPER_PIN	2.0	0.25	2.0	16.0	15.5	16.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x18 STEEL TAPER	JIS_B_1352_2x18_STEEL_TAPER_PIN	2.0	0.25	2.0	18.0	17.5	18.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x20 STEEL TAPER	JIS_B_1352_2x20_STEEL_TAPER_PIN	2.0	0.25	2.0	20.0	19.5	20.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x22 STEEL TAPER	JIS_B_1352_2x22_STEEL_TAPER_PIN	2.0	0.25	2.0	22.0	21.5	22.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x24 STEEL TAPER	JIS_B_1352_2x24_STEEL_TAPER_PIN	2.0	0.25	2.0	24.0	23.5	24.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x26 STEEL TAPER	JIS_B_1352_2x26_STEEL_TAPER_PIN	2.0	0.25	2.0	26.0	25.5	26.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x28 STEEL TAPER	JIS_B_1352_2x28_STEEL_TAPER_PIN	2.0	0.25	2.0	28.0	27.5	28.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x30 STEEL TAPER	JIS_B_1352_2x30_STEEL_TAPER_PIN	2.0	0.25	2.0	30.0	29.5	30.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x32 STEEL TAPER	JIS_B_1352_2x32_STEEL_TAPER_PIN	2.0	0.25	2.0	32.0	31.5	32.5	St	JIS B 1352	1988
JIS B 1352 PIN 2x35 STEEL TAPER	JIS_B_1352_2x35_STEEL_TAPER_PIN	2.0	0.25	2.0	35.0	34.5	35.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x10 STEEL TAPER	JIS_B_1352_2.5x10_STEEL_TAPER_PIN	2.5	0.3	2.5	10.0	9.75	10.25	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x14 STEEL TAPER	JIS_B_1352_2.5x14_STEEL_TAPER_PIN	2.5	0.3	2.5	14.0	13.5	14.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x16 STEEL TAPER	JIS_B_1352_2.5x16_STEEL_TAPER_PIN	2.5	0.3	2.5	16.0	15.5	16.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x18 STEEL TAPER	JIS_B_1352_2.5x18_STEEL_TAPER_PIN	2.5	0.3	2.5	18.0	17.5	18.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x20 STEEL TAPER	JIS_B_1352_2.5x20_STEEL_TAPER_PIN	2.5	0.3	2.5	20.0	19.5	20.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x22 STEEL TAPER	JIS_B_1352_2.5x22_STEEL_TAPER_PIN	2.5	0.3	2.5	22.0	21.5	22.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x24 STEEL TAPER	JIS_B_1352_2.5x24_STEEL_TAPER_PIN	2.5	0.3	2.5	24.0	23.5	24.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x26 STEEL TAPER	JIS_B_1352_2.5x26_STEEL_TAPER_PIN	2.5	0.3	2.5	26.0	25.5	26.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x28 STEEL TAPER	JIS_B_1352_2.5x28_STEEL_TAPER_PIN	2.5	0.3	2.5	28.0	27.5	28.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x30 STEEL TAPER	JIS_B_1352_2.5x30_STEEL_TAPER_PIN	2.5	0.3	2.5	30.0	29.5	30.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x32 STEEL TAPER	JIS_B_1352_2.5x32_STEEL_TAPER_PIN	2.5	0.3	2.5	32.0	31.5	32.5	St	JIS B 1352	1988
JIS B 1352 PIN 2.5x35 STEEL TAPER	JIS_B_1352_2.5x35_STEEL_TAPER_PIN	2.5	0.3	2.5	35.0	34.5	35.5	St	JIS B 1352	1988
