PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	e_across_corners(mm)	s_across_flats_max(mm)	k_head_depth_max(mm)	r_max(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1123 SCREW ST4.2x19 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.2x19_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	2.69	19.0	1.4	1.4	14.8	7.59	7.0	3.0	0.2	2.8	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.2x22 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.2x22_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	2.69	22.0	1.4	1.4	17.8	7.59	7.0	3.0	0.2	2.8	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.2x25 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.2x25_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	2.69	25.0	1.4	1.4	20.8	7.59	7.0	3.0	0.2	2.8	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x9.5 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.8x9.5_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	3.12	9.5	1.6	1.6	4.7	8.71	8.0	3.8	0.2	3.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x13 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.8x13_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	3.12	13.0	1.6	1.6	8.2	8.71	8.0	3.8	0.2	3.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x16 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.8x16_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	3.12	16.0	1.6	1.6	11.2	8.71	8.0	3.8	0.2	3.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x19 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.8x19_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	3.12	19.0	1.6	1.6	14.2	8.71	8.0	3.8	0.2	3.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x22 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.8x22_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	3.12	22.0	1.6	1.6	17.2	8.71	8.0	3.8	0.2	3.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x25 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.8x25_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	3.12	25.0	1.6	1.6	20.2	8.71	8.0	3.8	0.2	3.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x32 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST4.8x32_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	3.12	32.0	1.6	1.6	27.2	8.71	8.0	3.8	0.2	3.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x13 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST5.5x13_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	3.68	13.0	1.8	1.8	7.6	8.71	8.0	4.1	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x16 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST5.5x16_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	3.68	16.0	1.8	1.8	10.6	8.71	8.0	4.1	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x19 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST5.5x19_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	3.68	19.0	1.8	1.8	13.6	8.71	8.0	4.1	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x22 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST5.5x22_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	3.68	22.0	1.8	1.8	16.6	8.71	8.0	4.1	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x25 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST5.5x25_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	3.68	25.0	1.8	1.8	19.6	8.71	8.0	4.1	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x32 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST5.5x32_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	3.68	32.0	1.8	1.8	26.6	8.71	8.0	4.1	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x13 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST6.3x13_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	13.0	1.8	1.8	7.6	10.95	10.0	4.7	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x16 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST6.3x16_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	16.0	1.8	1.8	10.6	10.95	10.0	4.7	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x19 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST6.3x19_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	19.0	1.8	1.8	13.6	10.95	10.0	4.7	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x22 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST6.3x22_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	22.0	1.8	1.8	16.6	10.95	10.0	4.7	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x25 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST6.3x25_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	25.0	1.8	1.8	19.6	10.95	10.0	4.7	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x32 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST6.3x32_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	32.0	1.8	1.8	26.6	10.95	10.0	4.7	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x38 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST6.3x38_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	38.0	1.8	1.8	32.6	10.95	10.0	4.7	0.25	3.6	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x13 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST8x13_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	13.0	2.1	2.1	6.7	14.26	13.0	6.0	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x16 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST8x16_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	16.0	2.1	2.1	9.7	14.26	13.0	6.0	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x19 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST8x19_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	19.0	2.1	2.1	12.7	14.26	13.0	6.0	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x22 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST8x22_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	22.0	2.1	2.1	15.7	14.26	13.0	6.0	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x25 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST8x25_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	25.0	2.1	2.1	18.7	14.26	13.0	6.0	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x32 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST8x32_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	32.0	2.1	2.1	25.7	14.26	13.0	6.0	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x38 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST8x38_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	38.0	2.1	2.1	31.7	14.26	13.0	6.0	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x45 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST8x45_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	45.0	2.1	2.1	38.7	14.26	13.0	6.0	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x50 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST8x50_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	50.0	2.1	2.1	43.7	14.26	13.0	6.0	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x16 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST9.5x16_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	16.0	2.1	2.1	9.7	17.62	16.0	7.5	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x19 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST9.5x19_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	19.0	2.1	2.1	12.7	17.62	16.0	7.5	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x22 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST9.5x22_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	22.0	2.1	2.1	15.7	17.62	16.0	7.5	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x25 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST9.5x25_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	25.0	2.1	2.1	18.7	17.62	16.0	7.5	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x32 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST9.5x32_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	32.0	2.1	2.1	25.7	17.62	16.0	7.5	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x38 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST9.5x38_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	38.0	2.1	2.1	31.7	17.62	16.0	7.5	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x45 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST9.5x45_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	45.0	2.1	2.1	38.7	17.62	16.0	7.5	0.4	4.2	F	St	JIS B 1123	1996
JIS B 1123 SCREW ST9.5x50 STEEL HEXAGON HEAD TAPPING TYPE F	JIS_B_1123_ST9.5x50_STEEL_TYPE_F_HEXAGON_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	50.0	2.1	2.1	43.7	17.62	16.0	7.5	0.4	4.2	F	St	JIS B 1123	1996
