PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	e_across_corners(mm)	s_across_flats_max(mm)	k_head_depth_max(mm)	r_max(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1123 SCREW ST4.2x16 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.2x16_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.02	16.0	1.4	1.4	10.9	7.59	7.0	3.0	0.2	3.7	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.2x19 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.2x19_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.02	19.0	1.4	1.4	13.9	7.59	7.0	3.0	0.2	3.7	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.2x22 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.2x22_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.02	22.0	1.4	1.4	16.9	7.59	7.0	3.0	0.2	3.7	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.2x25 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.2x25_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.2	4.22	2.95	0.02	25.0	1.4	1.4	19.9	7.59	7.0	3.0	0.2	3.7	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x9.5 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.8x9.5_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.02	9.5	1.6	1.6	3.6	8.71	8.0	3.8	0.2	4.3	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x13 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.8x13_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.02	13.0	1.6	1.6	7.1	8.71	8.0	3.8	0.2	4.3	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x16 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.8x16_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.02	16.0	1.6	1.6	10.1	8.71	8.0	3.8	0.2	4.3	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x19 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.8x19_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.02	19.0	1.6	1.6	13.1	8.71	8.0	3.8	0.2	4.3	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x22 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.8x22_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.02	22.0	1.6	1.6	16.1	8.71	8.0	3.8	0.2	4.3	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x25 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.8x25_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.02	25.0	1.6	1.6	19.1	8.71	8.0	3.8	0.2	4.3	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST4.8x32 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST4.8x32_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.02	32.0	1.6	1.6	26.1	8.71	8.0	3.8	0.2	4.3	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x13 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST5.5x13_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.02	13.0	1.8	1.8	6.2	8.71	8.0	4.1	0.25	5.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x16 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST5.5x16_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.02	16.0	1.8	1.8	9.2	8.71	8.0	4.1	0.25	5.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x19 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST5.5x19_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.02	19.0	1.8	1.8	12.2	8.71	8.0	4.1	0.25	5.0	C	St	JIS B 1123	1996
