PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	angle(deg)	re_radius(mm)	n_nom_slot_width(mm)	t_max_slot_depth(mm)	Grade	Material	Reference	Edition
JIS B 1117 SCREW M2x3 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2x3_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2	2.0	0.4	2.8232	3.0	90.0	2.8	0.25	0.84	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2x4 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2x4_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2	2.0	0.4	3.8232	4.0	90.0	2.8	0.25	0.84	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2x5 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2x5_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2	2.0	0.4	4.8232	5.0	90.0	2.8	0.25	0.84	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2x6 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2x6_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2	2.0	0.4	5.8232	6.0	90.0	2.8	0.25	0.84	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2x8 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2x8_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2	2.0	0.4	7.8232	8.0	90.0	2.8	0.25	0.84	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2x10 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2x10_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2	2.0	0.4	9.8232	10.0	90.0	2.8	0.25	0.84	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2.5x2.5 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2.5x2.5_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2.5	2.5	0.45	2.3594	2.5	120.0	3.5	0.4	0.95	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2.5x3 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2.5x3_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2.5	2.5	0.45	2.8594	3.0	120.0	3.5	0.4	0.95	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2.5x4 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2.5x4_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2.5	2.5	0.45	3.8011	4.0	90.0	3.5	0.4	0.95	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2.5x5 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2.5x5_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2.5	2.5	0.45	4.8011	5.0	90.0	3.5	0.4	0.95	A	St	JIS B 1117	1995
