PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	angle(deg)	re_radius(mm)	n_nom_slot_width(mm)	t_max_slot_depth(mm)	Grade	Material	Reference	Edition
JIS B 1117 SCREW M8x12 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x12_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	11.4476	12.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
JIS B 1117 SCREW M8x14 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x14_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	13.4476	14.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
JIS B 1117 SCREW M8x16 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x16_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	15.4476	16.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
JIS B 1117 SCREW M8x20 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x20_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	19.4476	20.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
JIS B 1117 SCREW M8x25 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x25_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	24.4476	25.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
JIS B 1117 SCREW M8x30 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x30_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	29.4476	30.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
JIS B 1117 SCREW M8x35 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x35_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	34.4476	35.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
JIS B 1117 SCREW M8x40 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M8x40_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M8	8.0	1.25	39.4476	40.0	90.0	11.0	1.2	2.5	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x10 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x10_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	9.3371	10.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x12 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x12_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	11.3371	12.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x14 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x14_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	13.3371	14.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x16 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x16_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	15.3371	16.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x20 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x20_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	19.3371	20.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x25 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x25_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	24.3371	25.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
