PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	ds_dia_point(mm)	dz_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Grade	Material	Reference	Edition
JIS B 1177 SCREW M2.5X4 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2.5X4_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	3.8011	4.0	90.0	1.2	0.95	1.427	1.3	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2.5X5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2.5X5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	4.8011	5.0	90.0	1.2	0.95	1.427	1.3	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2.5X6 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2.5X6_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	5.8011	6.0	90.0	1.2	0.95	1.427	1.3	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2.5X8 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2.5X8_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	7.8011	8.0	90.0	1.2	0.95	1.427	1.3	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2.5X10 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2.5X10_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	9.8011	10.0	90.0	1.2	0.95	1.427	1.3	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2.5X12 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2.5X12_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	11.8011	12.0	90.0	1.2	0.95	1.427	1.3	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M3X2.5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M3X2.5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M3	3.0	0.5	2.3438	2.5	120.0	1.4	1.15	1.73	1.5	1.2	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M3X3 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M3X3_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M3	3.0	0.5	2.8438	3.0	120.0	1.4	1.15	1.73	1.5	1.2	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M3X4 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M3X4_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M3	3.0	0.5	3.8438	4.0	120.0	1.4	1.15	1.73	1.5	1.2	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M3X5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M3X5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M3	3.0	0.5	4.7790	5.0	90.0	1.4	1.15	1.73	1.5	2.0	A	St	JIS B 1177 	1997
