PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	ds_dia_point(mm)	dz_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Grade	Material	Reference	Edition
JIS B 1177 SCREW M10X40 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X40_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	39.3371	40.0	90.0	6.0	5.7	5.72	5.0	6.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X45 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X45_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	44.3371	45.0	90.0	6.0	5.7	5.72	5.0	6.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M10X50 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M10X50_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M10	10.0	1.5	49.3371	50.0	90.0	6.0	5.7	5.72	5.0	6.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X10 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X10_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	9.4531	10.0	120.0	8.0	7.64	6.86	6.0	4.8	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X12 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X12_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	11.4531	12.0	120.0	8.0	7.64	6.86	6.0	4.8	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X16 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X16_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	15.2266	16.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X20 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X20_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	19.2266	20.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X25 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X25_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	24.2266	25.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X30 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X30_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	29.2266	30.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X35 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X35_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	34.2266	35.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X40 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X40_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	39.2266	40.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X45 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X45_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	44.2266	45.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X50 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X50_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	49.2266	50.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X55 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X55_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	54.2266	55.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M12X60 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M12X60_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M12	12.0	1.75	59.2266	60.0	90.0	8.0	7.64	6.86	6.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X12 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X12_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	11.3750	12.0	120.0	10.0	9.64	9.15	8.0	6.4	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X16 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X16_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	15.3750	16.0	120.0	10.0	9.64	9.15	8.0	6.4	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X20 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X20_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	19.1161	20.0	90.0	10.0	9.64	9.15	8.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X25 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X25_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	24.1161	25.0	90.0	10.0	9.64	9.15	8.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X30 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X30_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	29.1161	30.0	90.0	10.0	9.64	9.15	8.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X35 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X35_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	34.1161	35.0	90.0	10.0	9.64	9.15	8.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X40 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X40_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	39.1161	40.0	90.0	10.0	9.64	9.15	8.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X45 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X45_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	44.1161	45.0	90.0	10.0	9.64	9.15	8.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X50 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X50_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	49.1161	50.0	90.0	10.0	9.64	9.15	8.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X55 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X55_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	54.1161	55.0	90.0	10.0	9.64	9.15	8.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M16X60 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M16X60_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M16	16.0	2.0	59.1161	60.0	90.0	10.0	9.64	9.15	8.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X16 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X16_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	15.2188	16.0	120.0	14.0	13.57	11.43	10.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X20 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X20_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	19.2188	20.0	120.0	14.0	13.57	11.43	10.0	8.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X25 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X25_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	23.8951	25.0	90.0	14.0	13.57	11.43	10.0	12.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X30 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X30_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	28.8951	30.0	90.0	14.0	13.57	11.43	10.0	12.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X35 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X35_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	33.8951	35.0	90.0	14.0	13.57	11.43	10.0	12.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X40 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X40_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	38.8951	40.0	90.0	14.0	13.57	11.43	10.0	12.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X45 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X45_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	43.8951	45.0	90.0	14.0	13.57	11.43	10.0	12.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X50 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X50_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	48.8951	50.0	90.0	14.0	13.57	11.43	10.0	12.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X55 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X55_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	53.8951	55.0	90.0	14.0	13.57	11.43	10.0	12.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M20X60 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M20X60_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M20	20.0	2.5	58.8951	60.0	90.0	14.0	13.57	11.43	10.0	12.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M24X20 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M24X20_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M24	24.0	3.0	19.0625	20.0	120.0	16.0	15.57	13.72	12.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M24X25 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M24X25_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M24	24.0	3.0	24.0625	25.0	120.0	16.0	15.57	13.72	12.0	10.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M24X30 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M24X30_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M24	24.0	3.0	28.6742	30.0	90.0	16.0	15.57	13.72	12.0	15.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M24X35 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M24X35_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M24	24.0	3.0	33.6742	35.0	90.0	16.0	15.57	13.72	12.0	15.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M24X40 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M24X40_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M24	24.0	3.0	38.6742	40.0	90.0	16.0	15.57	13.72	12.0	15.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M24X45 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M24X45_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M24	24.0	3.0	43.6742	45.0	90.0	16.0	15.57	13.72	12.0	15.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M24X50 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M24X50_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M24	24.0	3.0	48.6742	50.0	90.0	16.0	15.57	13.72	12.0	15.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M24X55 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M24X55_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M24	24.0	3.0	53.6742	55.0	90.0	16.0	15.57	13.72	12.0	15.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M24X60 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M24X60_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M24	24.0	3.0	58.6742	60.0	90.0	16.0	15.57	13.72	12.0	15.0	A	St	JIS B 1177 	1997
