PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	threading(mm)	l_length(mm)	p_pitch(mm)	a_max(mm)	dk_head_dia_max(mm)	k_head_depth_max(mm)	n_slot_width(mm)	r_min(mm)	rf(mm)	t_slot_depth(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1115 SCREW ST6.3x32 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST6.3x32_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	26.6	32.0	1.8	1.8	12.0	3.6	1.6	0.25	1.8	1.4	3.6	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST6.3x38 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST6.3x38_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	32.6	38.0	1.8	1.8	12.0	3.6	1.6	0.25	1.8	1.4	3.6	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x16 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST8x16_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	9.7	16.0	2.1	2.1	16.0	4.8	2.0	0.4	2.4	1.9	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x19 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST8x19_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	12.7	19.0	2.1	2.1	16.0	4.8	2.0	0.4	2.4	1.9	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x22 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST8x22_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	15.7	22.0	2.1	2.1	16.0	4.8	2.0	0.4	2.4	1.9	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x25 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST8x25_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	18.7	25.0	2.1	2.1	16.0	4.8	2.0	0.4	2.4	1.9	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x32 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST8x32_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	25.7	32.0	2.1	2.1	16.0	4.8	2.0	0.4	2.4	1.9	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x38 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST8x38_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	31.7	38.0	2.1	2.1	16.0	4.8	2.0	0.4	2.4	1.9	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x45 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST8x45_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	38.7	45.0	2.1	2.1	16.0	4.8	2.0	0.4	2.4	1.9	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x50 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST8x50_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	43.7	50.0	2.1	2.1	16.0	4.8	2.0	0.4	2.4	1.9	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x16 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST9.5x16_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	9.7	16.0	2.1	2.1	20.0	6.0	2.5	0.4	3.0	2.4	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x19 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST9.5x19_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	12.7	19.0	2.1	2.1	20.0	6.0	2.5	0.4	3.0	2.4	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x22 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST9.5x22_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	15.7	22.0	2.1	2.1	20.0	6.0	2.5	0.4	3.0	2.4	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x25 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST9.5x25_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	18.7	25.0	2.1	2.1	20.0	6.0	2.5	0.4	3.0	2.4	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x32 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST9.5x32_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	25.7	32.0	2.1	2.1	20.0	6.0	2.5	0.4	3.0	2.4	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x38 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST9.5x38_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	31.7	38.0	2.1	2.1	20.0	6.0	2.5	0.4	3.0	2.4	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x45 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST9.5x45_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	38.7	45.0	2.1	2.1	20.0	6.0	2.5	0.4	3.0	2.4	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x50 STEEL PAN HEAD SLOTTED TAPPING TYPE F	JIS_B_1115_ST9.5x50_STEEL_F_TYPE_PAN_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	43.7	50.0	2.1	2.1	20.0	6.0	2.5	0.4	3.0	2.4	4.2	F	St	JIS B 1115	1996
