PartNumber	PartName	nom_dia(mm)	d_dia(mm)	a(mm)	c(mm)	r1_min(mm)	r1_max(mm)	l_length(mm)	Material	Reference	Edition
JIS B 1355 PIN 12x28 STEEL DOWEL CLASS B	JIS_B_1355_12x28_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	28.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x30 STEEL DOWEL CLASS B	JIS_B_1355_12x30_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	30.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x32 STEEL DOWEL CLASS B	JIS_B_1355_12x32_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	32.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x35 STEEL DOWEL CLASS B	JIS_B_1355_12x35_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	35.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x40 STEEL DOWEL CLASS B	JIS_B_1355_12x40_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	40.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x45 STEEL DOWEL CLASS B	JIS_B_1355_12x45_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	45.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x50 STEEL DOWEL CLASS B	JIS_B_1355_12x50_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	50.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x55 STEEL DOWEL CLASS B	JIS_B_1355_12x55_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	55.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x60 STEEL DOWEL CLASS B	JIS_B_1355_12x60_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	60.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x65 STEEL DOWEL CLASS B	JIS_B_1355_12x65_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	65.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x70 STEEL DOWEL CLASS B	JIS_B_1355_12x70_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	70.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x75 STEEL DOWEL CLASS B	JIS_B_1355_12x75_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	75.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x80 STEEL DOWEL CLASS B	JIS_B_1355_12x80_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	80.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x85 STEEL DOWEL CLASS B	JIS_B_1355_12x85_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	85.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x90 STEEL DOWEL CLASS B	JIS_B_1355_12x90_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	90.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x95 STEEL DOWEL CLASS B	JIS_B_1355_12x95_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	95.0	St	JIS B 1355	1990
JIS B 1355 PIN 12x100 STEEL DOWEL CLASS B	JIS_B_1355_12x100_STEEL_CLASS_B_DOWEL_PIN	12.0	12.0	1.6	3.8	0.6	1.6	100.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x40 STEEL DOWEL CLASS B	JIS_B_1355_16x40_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	40.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x45 STEEL DOWEL CLASS B	JIS_B_1355_16x45_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	45.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x50 STEEL DOWEL CLASS B	JIS_B_1355_16x50_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	50.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x55 STEEL DOWEL CLASS B	JIS_B_1355_16x55_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	55.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x60 STEEL DOWEL CLASS B	JIS_B_1355_16x60_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	60.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x65 STEEL DOWEL CLASS B	JIS_B_1355_16x65_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	65.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x70 STEEL DOWEL CLASS B	JIS_B_1355_16x70_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	70.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x75 STEEL DOWEL CLASS B	JIS_B_1355_16x75_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	75.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x80 STEEL DOWEL CLASS B	JIS_B_1355_16x80_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	80.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x85 STEEL DOWEL CLASS B	JIS_B_1355_16x85_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	85.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x90 STEEL DOWEL CLASS B	JIS_B_1355_16x90_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	90.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x95 STEEL DOWEL CLASS B	JIS_B_1355_16x95_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	95.0	St	JIS B 1355	1990
JIS B 1355 PIN 16x100 STEEL DOWEL CLASS B	JIS_B_1355_16x100_STEEL_CLASS_B_DOWEL_PIN	16.0	16.0	2.0	4.6	0.8	1.8	100.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x50 STEEL DOWEL CLASS B	JIS_B_1355_20x50_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	50.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x55 STEEL DOWEL CLASS B	JIS_B_1355_20x55_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	55.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x60 STEEL DOWEL CLASS B	JIS_B_1355_20x60_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	60.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x65 STEEL DOWEL CLASS B	JIS_B_1355_20x65_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	65.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x70 STEEL DOWEL CLASS B	JIS_B_1355_20x70_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	70.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x75 STEEL DOWEL CLASS B	JIS_B_1355_20x75_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	75.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x80 STEEL DOWEL CLASS B	JIS_B_1355_20x80_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	80.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x85 STEEL DOWEL CLASS B	JIS_B_1355_20x85_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	85.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x90 STEEL DOWEL CLASS B	JIS_B_1355_20x90_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	90.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x95 STEEL DOWEL CLASS B	JIS_B_1355_20x95_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	95.0	St	JIS B 1355	1990
JIS B 1355 PIN 20x100 STEEL DOWEL CLASS B	JIS_B_1355_20x100_STEEL_CLASS_B_DOWEL_PIN	20.0	20.0	2.5	6.0	0.8	2.0	100.0	St	JIS B 1355	1990
