PartNumber	PartName	Nominal_number	d3(mm)	d4(mm)	d5(mm)	f1(mm)	M(mm)	f(mm)	B1(mm)	B2(mm)	N_number	r2(mm)	Series	Material	Reference	Edition
JIS B 1554 WASHER AW22A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW22A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW22A	110.0	133.0	154.0	12.0	105.5	12.0	1.8	6.0	17.0	1.2	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW23A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW23A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW23A	115.0	137.0	159.0	12.0	110.5	12.0	2.0	6.0	17.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW24A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW24A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW24A	120.0	138.0	164.0	14.0	115.0	12.0	2.0	6.0	17.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW25A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW25A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW25A	125.0	148.0	170.0	14.0	120.0	12.0	2.0	6.0	17.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW26A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW26A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW26A	130.0	149.0	175.0	14.0	125.0	12.0	2.0	6.0	17.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW27A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW27A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW27A	135.0	160.0	185.0	14.0	130.0	14.0	2.0	6.0	17.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW28A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW28A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW28A	140.0	160.0	192.0	16.0	135.0	14.0	2.0	8.0	17.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW29A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW29A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW29A	145.0	171.0	202.0	16.0	140.0	14.0	2.0	8.0	17.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW30A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW30A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW30A	150.0	171.0	205.0	16.0	145.0	14.0	2.0	8.0	17.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW31A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW31A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW31A	155.0	182.0	212.0	16.0	147.5	16.0	2.5	8.0	19.0	1.5	AW	St	JIS B 1554	1998
