PartNumber	PartName	Nominal_Size(mm)	d_basic(mm)	c_basic(mm)	b_approx(mm)	a_max(mm)	a_min(mm)	l_nom(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
JIS B 1351 PIN 0.6x4 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x4_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	4.0	3.5	4.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x5 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x5_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	5.0	4.5	5.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x6 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x6_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	6.0	5.5	6.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x8 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	8.0	7.5	8.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x10 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	10.0	9.5	10.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x12 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	12.0	11.5	12.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x5 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x5_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	5.0	4.5	5.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x6 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x6_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	6.0	5.5	6.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x8 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	8.0	7.5	8.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x10 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	10.0	9.5	10.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x12 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	12.0	11.5	12.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x14 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	14.0	13.5	14.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x16 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	16.0	15.5	16.5	St	JIS B 1351	1987
JIS B 1351 PIN 1x6 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1x6_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	1.8	3.0	1.6	0.8	6.0	5.5	6.5	St	JIS B 1351	1987
JIS B 1351 PIN 1x8 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	1.8	3.0	1.6	0.8	8.0	7.5	8.5	St	JIS B 1351	1987
JIS B 1351 PIN 1x10 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	1.8	3.0	1.6	0.8	10.0	9.5	10.5	St	JIS B 1351	1987
JIS B 1351 PIN 1x12 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	1.8	3.0	1.6	0.8	12.0	11.5	12.5	St	JIS B 1351	1987
JIS B 1351 PIN 1x14 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	1.8	3.0	1.6	0.8	14.0	13.5	14.5	St	JIS B 1351	1987
JIS B 1351 PIN 1x16 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	1.8	3.0	1.6	0.8	16.0	15.5	16.5	St	JIS B 1351	1987
JIS B 1351 PIN 1x18 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1x18_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	1.8	3.0	1.6	0.8	18.0	17.5	18.5	St	JIS B 1351	1987
JIS B 1351 PIN 1x20 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1x20_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	1.8	3.0	1.6	0.8	20.0	19.5	20.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.2x8 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.2x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	2.0	3.0	2.5	1.2	8.0	7.5	8.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.2x10 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.2x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	2.0	3.0	2.5	1.2	10.0	9.5	10.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.2x12 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.2x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	2.0	3.0	2.5	1.2	12.0	11.5	12.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.2x14 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.2x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	2.0	3.0	2.5	1.2	14.0	13.5	14.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.2x16 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.2x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	2.0	3.0	2.5	1.2	16.0	15.5	16.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.2x18 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.2x18_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	2.0	3.0	2.5	1.2	18.0	17.5	18.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.2x20 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.2x20_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	2.0	3.0	2.5	1.2	20.0	19.5	20.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.2x22 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.2x22_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	2.0	3.0	2.5	1.2	22.0	21.5	22.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.2x25 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.2x25_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	2.0	3.0	2.5	1.2	25.0	24.5	25.5	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x8 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	8.0	7.2	8.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x10 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	10.0	9.2	10.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x12 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	12.0	11.2	12.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x14 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	14.0	13.2	14.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x16 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	16.0	15.2	16.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x18 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x18_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	18.0	17.2	18.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x20 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x20_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	20.0	19.2	20.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x22 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x22_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	22.0	21.2	22.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x25 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x25_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	25.0	24.2	25.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x28 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x28_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	28.0	27.2	28.8	St	JIS B 1351	1987
JIS B 1351 PIN 1.6x32 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_1.6x32_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.6	1.4	2.8	3.2	2.5	1.2	32.0	31.2	32.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x10 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	10.0	9.2	10.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x12 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	12.0	11.2	12.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x14 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	14.0	13.2	14.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x16 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	16.0	15.2	16.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x18 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x18_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	18.0	17.2	18.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x20 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x20_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	20.0	19.2	20.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x22 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x22_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	22.0	21.2	22.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x25 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x25_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	25.0	24.2	25.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x28 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x28_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	28.0	27.2	28.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x32 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x32_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	32.0	31.2	32.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x36 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x36_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	36.0	35.2	36.8	St	JIS B 1351	1987
JIS B 1351 PIN 2x40 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2x40_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.0	1.8	3.6	4.0	2.5	1.2	40.0	39.2	40.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x12 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	12.0	11.2	12.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x14 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	14.0	13.2	14.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x16 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	16.0	15.2	16.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x18 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x18_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	18.0	17.2	18.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x20 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x20_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	20.0	19.2	20.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x22 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x22_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	22.0	21.2	22.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x25 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x25_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	25.0	24.2	25.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x28 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x28_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	28.0	27.2	28.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x32 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x32_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	32.0	31.2	32.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x36 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x36_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	36.0	35.2	36.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x40 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x40_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	40.0	39.2	40.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x45 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x45_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	45.0	44.2	45.8	St	JIS B 1351	1987
JIS B 1351 PIN 2.5x50 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_2.5x50_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	2.5	2.3	4.6	5.0	2.5	1.2	50.0	49.2	50.8	St	JIS B 1351	1987
JIS B 1351 PIN 3.2x14 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_3.2x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	3.2	2.9	5.8	6.4	3.2	1.6	14.0	13.2	14.8	St	JIS B 1351	1987
