PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	threading(mm)	l_length(mm)	p_pitch(mm)	a_max(mm)	dk_head_dia_max(mm)	k_head_depth_max(mm)	n_slot_width(mm)	r_min(mm)	rf(mm)	t_slot_depth_max(mm)	f_dome_height(mm)	rf_head_rad(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1115 SCREW ST6.3x32 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST6.3x32_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	23.45	32.0	1.8	1.8	11.3	3.15	1.6	2.4	12.0	2.8	1.4	12.0	3.6	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST6.3x38 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST6.3x38_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	4.34	29.45	38.0	1.8	1.8	11.3	3.15	1.6	2.4	12.0	2.8	1.4	12.0	3.6	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x16 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST8x16_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	5.05	16.0	2.1	2.1	15.8	4.65	2.0	3.2	16.5	3.7	2.0	16.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x19 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST8x19_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	8.05	19.0	2.1	2.1	15.8	4.65	2.0	3.2	16.5	3.7	2.0	16.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x22 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST8x22_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	11.05	22.0	2.1	2.1	15.8	4.65	2.0	3.2	16.5	3.7	2.0	16.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x25 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST8x25_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	14.05	25.0	2.1	2.1	15.8	4.65	2.0	3.2	16.5	3.7	2.0	16.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x32 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST8x32_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	21.05	32.0	2.1	2.1	15.8	4.65	2.0	3.2	16.5	3.7	2.0	16.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x38 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST8x38_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	27.05	38.0	2.1	2.1	15.8	4.65	2.0	3.2	16.5	3.7	2.0	16.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x45 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST8x45_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	34.05	45.0	2.1	2.1	15.8	4.65	2.0	3.2	16.5	3.7	2.0	16.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST8x50 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST8x50_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST8	8.0	5.99	5.64	39.05	50.0	2.1	2.1	15.8	4.65	2.0	3.2	16.5	3.7	2.0	16.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x16 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST9.5x16_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	4.45	16.0	2.1	2.1	18.3	5.25	2.5	4.0	19.5	4.4	2.3	19.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x19 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST9.5x19_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	7.45	19.0	2.1	2.1	18.3	5.25	2.5	4.0	19.5	4.4	2.3	19.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x22 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST9.5x22_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	10.45	22.0	2.1	2.1	18.3	5.25	2.5	4.0	19.5	4.4	2.3	19.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x25 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST9.5x25_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	13.45	25.0	2.1	2.1	18.3	5.25	2.5	4.0	19.5	4.4	2.3	19.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x32 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST9.5x32_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	20.45	32.0	2.1	2.1	18.3	5.25	2.5	4.0	19.5	4.4	2.3	19.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x38 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST9.5x38_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	26.45	38.0	2.1	2.1	18.3	5.25	2.5	4.0	19.5	4.4	2.3	19.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x45 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST9.5x45_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	33.45	45.0	2.1	2.1	18.3	5.25	2.5	4.0	19.5	4.4	2.3	19.5	4.2	F	St	JIS B 1115	1996
JIS B 1115 SCREW ST9.5x50 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE F	JIS_B_1115_ST9.5x50_STEEL_TYPE_F_RAISED_CSK_HEAD_TAPPING_SCREW	ST9.5	9.65	7.59	7.24	38.45	50.0	2.1	2.1	18.3	5.25	2.5	4.0	19.5	4.4	2.3	19.5	4.2	F	St	JIS B 1115	1996
