PartNumber	PartName	nominal_dia(mm)	d_basic(mm)	a(mm)	c(mm)	l_length(mm)	Grade	Material	Reference	Edition
JIS B 1354 PIN 20x55 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x55_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	55	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x60 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x60_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	60	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x65 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x65_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	65	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x70 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x70_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	70	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x75 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x75_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	75	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x80 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x80_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	80	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x85 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x85_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	85	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x90 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x90_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	90	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x95 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x95_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	95	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x100 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x100_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	100	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x120 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x120_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	120	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x140 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x140_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	140	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x160 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x160_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	160	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x180 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x180_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	180	A	St	JIS B 1354	1988
JIS B 1354 PIN 20x200 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_20x200_GRADE_A_CLASS_A_PARALLEL_PIN	20.0	20.0	2.5	3.5	200	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x50 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x50_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	50	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x55 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x55_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	55	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x60 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x60_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	60	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x65 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x65_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	65	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x70 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x70_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	70	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x75 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x75_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	75	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x80 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x80_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	80	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x85 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x85_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	85	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x90 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x90_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	90	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x95 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x95_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	95	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x100 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x100_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	100	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x120 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x120_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	120	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x140 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x140_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	140	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x160 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x160_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	160	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x180 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x180_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	180	A	St	JIS B 1354	1988
JIS B 1354 PIN 25x200 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_25x200_GRADE_A_CLASS_A_PARALLEL_PIN	25.0	25.0	3.0	4.0	200	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x60 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x60_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	60	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x65 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x65_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	65	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x70 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x70_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	70	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x75 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x75_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	75	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x80 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x80_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	80	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x85 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x85_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	85	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x90 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x90_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	90	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x95 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x95_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	95	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x100 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x100_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	100	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x120 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x120_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	120	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x140 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x140_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	140	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x160 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x160_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	160	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x180 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x180_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	180	A	St	JIS B 1354	1988
JIS B 1354 PIN 30x200 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_30x200_GRADE_A_CLASS_A_PARALLEL_PIN	30.0	30.0	4.0	5.0	200	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x80 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x80_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	80	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x85 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x85_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	85	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x90 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x90_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	90	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x95 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x95_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	95	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x100 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x100_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	100	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x120 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x120_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	120	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x140 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x140_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	140	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x160 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x160_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	160	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x180 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x180_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	180	A	St	JIS B 1354	1988
JIS B 1354 PIN 40x200 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_40x200_GRADE_A_CLASS_A_PARALLEL_PIN	40.0	40.0	5.0	6.3	200	A	St	JIS B 1354	1988
JIS B 1354 PIN 50x95 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_50x95_GRADE_A_CLASS_A_PARALLEL_PIN	50.0	50.0	6.3	8.0	95	A	St	JIS B 1354	1988
JIS B 1354 PIN 50x100 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_50x100_GRADE_A_CLASS_A_PARALLEL_PIN	50.0	50.0	6.3	8.0	100	A	St	JIS B 1354	1988
JIS B 1354 PIN 50x120 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_50x120_GRADE_A_CLASS_A_PARALLEL_PIN	50.0	50.0	6.3	8.0	120	A	St	JIS B 1354	1988
JIS B 1354 PIN 50x140 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_50x140_GRADE_A_CLASS_A_PARALLEL_PIN	50.0	50.0	6.3	8.0	140	A	St	JIS B 1354	1988
JIS B 1354 PIN 50x160 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_50x160_GRADE_A_CLASS_A_PARALLEL_PIN	50.0	50.0	6.3	8.0	160	A	St	JIS B 1354	1988
JIS B 1354 PIN 50x180 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_50x180_GRADE_A_CLASS_A_PARALLEL_PIN	50.0	50.0	6.3	8.0	180	A	St	JIS B 1354	1988
JIS B 1354 PIN 50x200 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_50x200_GRADE_A_CLASS_A_PARALLEL_PIN	50.0	50.0	6.3	8.0	200	A	St	JIS B 1354	1988
