PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_max_bolt_dia(mm)	ds_min_bolt_dia(mm)	l_bolt_length(mm)	s_max_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	k_max_head_depth(mm)	k_head_edge_length(mm)	dw(mm)	r_min(mm)	c_max(mm)	da_max(mm)	ds_max_nom(mm)	e_acrosscorner_min(mm)	Grade	Material	Reference	Edition
JIS B 1180 BOLT M45x220 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x220_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	220.0	70.0	82.5	105.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x240 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x240_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	240.0	70.0	102.5	125.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x260 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x260_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	260.0	70.0	122.5	145.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x280 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x280_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	280.0	70.0	142.5	165.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x300 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x300_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	300.0	70.0	162.5	185.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x320 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x320_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	320.0	70.0	182.5	205.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x340 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x340_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	340.0	70.0	202.5	225.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x360 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x360_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	360.0	70.0	222.5	245.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x380 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x380_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	380.0	70.0	242.5	265.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x400 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x400_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	400.0	70.0	262.5	285.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x420 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x420_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	420.0	70.0	282.5	305.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M45x440 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M45x440_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M45	45.0	4.5	115.0	46.0	44.0	440.0	70.0	302.5	325.0	28.0	18.87	64.7	1.2	1.0	52.6	46.0	76.95	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x200 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x200_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	116.0	53.2	50.8	200.0	80.0	59.0	84.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x220 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x220_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	220.0	80.0	66.0	91.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x240 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x240_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	240.0	80.0	86.0	111.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x260 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x260_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	260.0	80.0	106.0	131.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x280 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x280_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	280.0	80.0	126.0	151.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x300 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x300_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	300.0	80.0	146.0	171.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x320 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x320_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	320.0	80.0	166.0	191.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x340 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x340_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	340.0	80.0	186.0	211.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x360 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x360_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	360.0	80.0	206.0	231.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x380 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x380_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	380.0	80.0	226.0	251.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x400 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x400_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	400.0	80.0	246.0	271.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x420 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x420_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	420.0	80.0	266.0	291.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x440 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x440_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	440.0	80.0	286.0	311.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x460 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x460_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	460.0	80.0	306.0	331.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x480 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x480_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	480.0	80.0	326.0	351.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M52x500 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M52x500_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M52	52.0	5.0	129.0	53.2	50.8	500.0	80.0	346.0	371.0	33.0	22.23	74.2	1.6	1.0	62.6	53.2	88.25	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x240 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x240_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	240.0	90.0	67.5	95.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x260 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x260_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	260.0	90.0	87.5	115.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x280 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x280_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	280.0	90.0	107.5	135.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x300 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x300_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	300.0	90.0	127.5	155.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x320 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x320_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	320.0	90.0	147.5	175.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x340 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x340_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	340.0	90.0	167.5	195.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x360 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x360_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	360.0	90.0	187.5	215.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x380 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x380_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	380.0	90.0	207.5	235.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x400 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x400_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	400.0	90.0	227.5	255.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x420 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x420_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	420.0	90.0	247.5	275.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x440 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x440_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	440.0	90.0	267.5	295.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x460 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x460_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	460.0	90.0	287.5	315.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x480 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x480_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	480.0	90.0	307.5	335.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
JIS B 1180 BOLT M60x500 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M60x500_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M60	60.0	5.5	145.0	61.2	58.8	500.0	90.0	327.5	355.0	38.0	25.73	83.41	2.0	1.0	71.0	61.2	99.21	C	St	JIS B 1180	1994
