PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_length_nom(mm)	a_max(mm)	b_min(mm)	dk_head_dia(mm)	k_max(mm)	rf_rad(mm)	r_min(mm)	x_max(mm)	m_recess_ref(mm)	Recess_penetration_max(mm)	slot_width(mm)	cross_recess_no	Type	Grade	Material	Reference	Edition
JIS B 1111 SCREW M1.6x3 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x3_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	2.3	3.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x4 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x4_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	3.3	4.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x5 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x5_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	4.3	5.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x6 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x6_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	5.3	6.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x8 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x8_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	7.3	8.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x10 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x10_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	9.3	10.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x12 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x12_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	11.3	12.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x14 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x14_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	13.3	14.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x16 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x16_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	15.3	16.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M1.6x20 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x20_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	19.3	20.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
