PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	c_chamfer_max(mm)	d2_hole(mm)	d3_hole(mm)	g_hole(mm)	Symbol	Material	Reference	Edition
JIS B 1301 KEY 16x10x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_16x10x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	16	10	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_16x10x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	16	10	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_16x10x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	16	10	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_16x10x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	16	10	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_16x10x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	16	10	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_16x10x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	16	10	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_16x10x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	16	10	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x50 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x50_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	50	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x56 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x56_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	56	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x63 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x63_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	63	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x70 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x70_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	70	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_18x11x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	18	11	0.6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x56 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x56_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	56	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x63 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x63_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	63	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x70 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x70_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	70	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
