PartNumber	PartName	d_dia_(mm)	d1_basic(mm)	n_min(mm)	t_min(mm)	t_max(mm)	a(mm)	l_nom_length(mm)	l_min_length(mm)	l_max_length(mm)	A1_A2_B1_B2(mm)	Material	Reference	Edition
JIS B 1353 PIN 2x10 STEEL TAPER WITH SPLIT	JIS_B_1353_2x10_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	10.0	9.75	10.25	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x12 STEEL TAPER WITH SPLIT	JIS_B_1353_2x12_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	12.0	11.5	12.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x14 STEEL TAPER WITH SPLIT	JIS_B_1353_2x14_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	14.0	13.5	14.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x16 STEEL TAPER WITH SPLIT	JIS_B_1353_2x16_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	16.0	15.5	16.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x18 STEEL TAPER WITH SPLIT	JIS_B_1353_2x18_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	18.0	17.5	18.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x20 STEEL TAPER WITH SPLIT	JIS_B_1353_2x20_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	20.0	19.5	20.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x22 STEEL TAPER WITH SPLIT	JIS_B_1353_2x22_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	22.0	21.5	22.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x24 STEEL TAPER WITH SPLIT	JIS_B_1353_2x24_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	24.0	23.5	24.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x26 STEEL TAPER WITH SPLIT	JIS_B_1353_2x26_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	26.0	25.5	26.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x28 STEEL TAPER WITH SPLIT	JIS_B_1353_2x28_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	28.0	27.5	28.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x30 STEEL TAPER WITH SPLIT	JIS_B_1353_2x30_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	30.0	29.5	30.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x32 STEEL TAPER WITH SPLIT	JIS_B_1353_2x32_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	32.0	31.5	32.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x35 STEEL TAPER WITH SPLIT	JIS_B_1353_2x35_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	35.0	34.5	35.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x10 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x10_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	10.0	9.75	10.25	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x12 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x12_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	12.0	11.5	12.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x14 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x14_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	14.0	13.5	14.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x16 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x16_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	16.0	15.5	16.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x18 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x18_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	18.0	17.5	18.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x20 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x20_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	20.0	19.5	20.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x22 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x22_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	22.0	21.5	22.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x24 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x24_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	24.0	23.5	24.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x26 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x26_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	26.0	25.5	26.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x28 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x28_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	28.0	27.5	28.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x30 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x30_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	30.0	29.5	30.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x32 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x32_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	32.0	31.5	32.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x35 STEEL TAPER WITH SPLIT	JIS_B_1353_2.5x35_STEEL_WITH_SPLIT_TAPER_PIN	2.5	2.6	0.4	3.5	5.0	0.3	35.0	34.5	35.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 3x12 STEEL TAPER WITH SPLIT	JIS_B_1353_3x12_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	12.0	11.5	12.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x14 STEEL TAPER WITH SPLIT	JIS_B_1353_3x14_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	14.0	13.5	14.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x16 STEEL TAPER WITH SPLIT	JIS_B_1353_3x16_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	16.0	15.5	16.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x18 STEEL TAPER WITH SPLIT	JIS_B_1353_3x18_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	18.0	17.5	18.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x20 STEEL TAPER WITH SPLIT	JIS_B_1353_3x20_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	20.0	19.5	20.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x22 STEEL TAPER WITH SPLIT	JIS_B_1353_3x22_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	22.0	21.5	22.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x24 STEEL TAPER WITH SPLIT	JIS_B_1353_3x24_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	24.0	23.5	24.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x26 STEEL TAPER WITH SPLIT	JIS_B_1353_3x26_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	26.0	25.5	26.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x28 STEEL TAPER WITH SPLIT	JIS_B_1353_3x28_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	28.0	27.5	28.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x30 STEEL TAPER WITH SPLIT	JIS_B_1353_3x30_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	30.0	29.5	30.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x32 STEEL TAPER WITH SPLIT	JIS_B_1353_3x32_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	32.0	31.5	32.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x35 STEEL TAPER WITH SPLIT	JIS_B_1353_3x35_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	35.0	34.5	35.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x40 STEEL TAPER WITH SPLIT	JIS_B_1353_3x40_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	40.0	39.5	40.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x45 STEEL TAPER WITH SPLIT	JIS_B_1353_3x45_STEEL_WITH_SPLIT_TAPER_PIN	3.0	3.12	0.6	4.5	6.0	0.4	45.0	44.5	45.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x14 STEEL TAPER WITH SPLIT	JIS_B_1353_4x14_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	14.0	13.5	14.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x16 STEEL TAPER WITH SPLIT	JIS_B_1353_4x16_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	16.0	15.5	16.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x18 STEEL TAPER WITH SPLIT	JIS_B_1353_4x18_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	18.0	17.5	18.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x20 STEEL TAPER WITH SPLIT	JIS_B_1353_4x20_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	20.0	19.5	20.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x22 STEEL TAPER WITH SPLIT	JIS_B_1353_4x22_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	22.0	21.5	22.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x24 STEEL TAPER WITH SPLIT	JIS_B_1353_4x24_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	24.0	23.5	24.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x26 STEEL TAPER WITH SPLIT	JIS_B_1353_4x26_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	26.0	25.5	26.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x28 STEEL TAPER WITH SPLIT	JIS_B_1353_4x28_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	28.0	27.5	28.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x30 STEEL TAPER WITH SPLIT	JIS_B_1353_4x30_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	30.0	29.5	30.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x32 STEEL TAPER WITH SPLIT	JIS_B_1353_4x32_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	32.0	31.5	32.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x35 STEEL TAPER WITH SPLIT	JIS_B_1353_4x35_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	35.0	34.5	35.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x40 STEEL TAPER WITH SPLIT	JIS_B_1353_4x40_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	40.0	39.5	40.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x45 STEEL TAPER WITH SPLIT	JIS_B_1353_4x45_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	45.0	44.5	45.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x50 STEEL TAPER WITH SPLIT	JIS_B_1353_4x50_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	50.0	49.5	50.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x55 STEEL TAPER WITH SPLIT	JIS_B_1353_4x55_STEEL_WITH_SPLIT_TAPER_PIN	4.0	4.16	0.6	6.0	8.0	0.5	55.0	54.25	55.75	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x18 STEEL TAPER WITH SPLIT	JIS_B_1353_5x18_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	18.0	17.5	18.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x20 STEEL TAPER WITH SPLIT	JIS_B_1353_5x20_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	20.0	19.5	20.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x22 STEEL TAPER WITH SPLIT	JIS_B_1353_5x22_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	22.0	21.5	22.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x24 STEEL TAPER WITH SPLIT	JIS_B_1353_5x24_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	24.0	23.5	24.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x26 STEEL TAPER WITH SPLIT	JIS_B_1353_5x26_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	26.0	25.5	26.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x28 STEEL TAPER WITH SPLIT	JIS_B_1353_5x28_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	28.0	27.5	28.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x30 STEEL TAPER WITH SPLIT	JIS_B_1353_5x30_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	30.0	29.5	30.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x32 STEEL TAPER WITH SPLIT	JIS_B_1353_5x32_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	32.0	31.5	32.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x35 STEEL TAPER WITH SPLIT	JIS_B_1353_5x35_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	35.0	34.5	35.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x40 STEEL TAPER WITH SPLIT	JIS_B_1353_5x40_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	40.0	39.5	40.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x45 STEEL TAPER WITH SPLIT	JIS_B_1353_5x45_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	45.0	44.5	45.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x50 STEEL TAPER WITH SPLIT	JIS_B_1353_5x50_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	50.0	49.5	50.5	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x55 STEEL TAPER WITH SPLIT	JIS_B_1353_5x55_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	55.0	54.25	55.75	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 5x60 STEEL TAPER WITH SPLIT	JIS_B_1353_5x60_STEEL_WITH_SPLIT_TAPER_PIN	5.0	5.2	0.6	7.5	10.0	0.63	60.0	59.25	60.75	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 6x22 STEEL TAPER WITH SPLIT	JIS_B_1353_6x22_STEEL_WITH_SPLIT_TAPER_PIN	6.0	6.24	0.8	9.0	12.0	0.8	22.0	21.5	22.5	0.4	St	JIS B 1353	1990
