PartNumber	PartName	l_length(mm)	b_width(mm)	h_height(mm)	c_chamfer_max(mm)	h1_gib_height(mm)	e_gib_length	Material	Reference	Edition
JIS B 1301 KEY 6x6x16 TAPER WITH GIB HEAD	JIS_B_1301_6x6x16_GIB_HEAD_TAPER_KEY	16.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x18 TAPER WITH GIB HEAD	JIS_B_1301_6x6x18_GIB_HEAD_TAPER_KEY	18.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x20 TAPER WITH GIB HEAD	JIS_B_1301_6x6x20_GIB_HEAD_TAPER_KEY	20.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x22 TAPER WITH GIB HEAD	JIS_B_1301_6x6x22_GIB_HEAD_TAPER_KEY	22.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x25 TAPER WITH GIB HEAD	JIS_B_1301_6x6x25_GIB_HEAD_TAPER_KEY	25.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x28 TAPER WITH GIB HEAD	JIS_B_1301_6x6x28_GIB_HEAD_TAPER_KEY	28.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x32 TAPER WITH GIB HEAD	JIS_B_1301_6x6x32_GIB_HEAD_TAPER_KEY	32.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x36 TAPER WITH GIB HEAD	JIS_B_1301_6x6x36_GIB_HEAD_TAPER_KEY	36.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x40 TAPER WITH GIB HEAD	JIS_B_1301_6x6x40_GIB_HEAD_TAPER_KEY	40.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x45 TAPER WITH GIB HEAD	JIS_B_1301_6x6x45_GIB_HEAD_TAPER_KEY	45.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x50 TAPER WITH GIB HEAD	JIS_B_1301_6x6x50_GIB_HEAD_TAPER_KEY	50.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x56 TAPER WITH GIB HEAD	JIS_B_1301_6x6x56_GIB_HEAD_TAPER_KEY	56.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x63 TAPER WITH GIB HEAD	JIS_B_1301_6x6x63_GIB_HEAD_TAPER_KEY	63.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 6x6x70 TAPER WITH GIB HEAD	JIS_B_1301_6x6x70_GIB_HEAD_TAPER_KEY	70.0	6.0	6.0	0.4	10.0	6.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x16 TAPER WITH GIB HEAD	JIS_B_1301_7x7x16_GIB_HEAD_TAPER_KEY	16.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x18 TAPER WITH GIB HEAD	JIS_B_1301_7x7x18_GIB_HEAD_TAPER_KEY	18.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
