PartNumber	PartName	l_length(mm)	b_width(mm)	h_height(mm)	c_chamfer_max(mm)	h1_gib_height(mm)	e_gib_length	Material	Reference	Edition
JIS B 1301 KEY 15x10x70 TAPER WITH GIB HEAD	JIS_B_1301_15x10x70_GIB_HEAD_TAPER_KEY	70.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x80 TAPER WITH GIB HEAD	JIS_B_1301_15x10x80_GIB_HEAD_TAPER_KEY	80.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x90 TAPER WITH GIB HEAD	JIS_B_1301_15x10x90_GIB_HEAD_TAPER_KEY	90.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x100 TAPER WITH GIB HEAD	JIS_B_1301_15x10x100_GIB_HEAD_TAPER_KEY	100.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x110 TAPER WITH GIB HEAD	JIS_B_1301_15x10x110_GIB_HEAD_TAPER_KEY	110.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x125 TAPER WITH GIB HEAD	JIS_B_1301_15x10x125_GIB_HEAD_TAPER_KEY	125.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x140 TAPER WITH GIB HEAD	JIS_B_1301_15x10x140_GIB_HEAD_TAPER_KEY	140.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x160 TAPER WITH GIB HEAD	JIS_B_1301_15x10x160_GIB_HEAD_TAPER_KEY	160.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x180 TAPER WITH GIB HEAD	JIS_B_1301_15x10x180_GIB_HEAD_TAPER_KEY	180.0	15.0	10.0	0.6	15.0	15.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x45 TAPER WITH GIB HEAD	JIS_B_1301_16x10x45_GIB_HEAD_TAPER_KEY	45.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x50 TAPER WITH GIB HEAD	JIS_B_1301_16x10x50_GIB_HEAD_TAPER_KEY	50.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x56 TAPER WITH GIB HEAD	JIS_B_1301_16x10x56_GIB_HEAD_TAPER_KEY	56.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x63 TAPER WITH GIB HEAD	JIS_B_1301_16x10x63_GIB_HEAD_TAPER_KEY	63.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x70 TAPER WITH GIB HEAD	JIS_B_1301_16x10x70_GIB_HEAD_TAPER_KEY	70.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x80 TAPER WITH GIB HEAD	JIS_B_1301_16x10x80_GIB_HEAD_TAPER_KEY	80.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x90 TAPER WITH GIB HEAD	JIS_B_1301_16x10x90_GIB_HEAD_TAPER_KEY	90.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x100 TAPER WITH GIB HEAD	JIS_B_1301_16x10x100_GIB_HEAD_TAPER_KEY	100.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x110 TAPER WITH GIB HEAD	JIS_B_1301_16x10x110_GIB_HEAD_TAPER_KEY	110.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x125 TAPER WITH GIB HEAD	JIS_B_1301_16x10x125_GIB_HEAD_TAPER_KEY	125.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x140 TAPER WITH GIB HEAD	JIS_B_1301_16x10x140_GIB_HEAD_TAPER_KEY	140.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x160 TAPER WITH GIB HEAD	JIS_B_1301_16x10x160_GIB_HEAD_TAPER_KEY	160.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x180 TAPER WITH GIB HEAD	JIS_B_1301_16x10x180_GIB_HEAD_TAPER_KEY	180.0	16.0	10.0	0.6	16.0	16.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x50 TAPER WITH GIB HEAD	JIS_B_1301_18x11x50_GIB_HEAD_TAPER_KEY	50.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x56 TAPER WITH GIB HEAD	JIS_B_1301_18x11x56_GIB_HEAD_TAPER_KEY	56.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x63 TAPER WITH GIB HEAD	JIS_B_1301_18x11x63_GIB_HEAD_TAPER_KEY	63.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x70 TAPER WITH GIB HEAD	JIS_B_1301_18x11x70_GIB_HEAD_TAPER_KEY	70.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x80 TAPER WITH GIB HEAD	JIS_B_1301_18x11x80_GIB_HEAD_TAPER_KEY	80.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x90 TAPER WITH GIB HEAD	JIS_B_1301_18x11x90_GIB_HEAD_TAPER_KEY	90.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x100 TAPER WITH GIB HEAD	JIS_B_1301_18x11x100_GIB_HEAD_TAPER_KEY	100.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x110 TAPER WITH GIB HEAD	JIS_B_1301_18x11x110_GIB_HEAD_TAPER_KEY	110.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x125 TAPER WITH GIB HEAD	JIS_B_1301_18x11x125_GIB_HEAD_TAPER_KEY	125.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x140 TAPER WITH GIB HEAD	JIS_B_1301_18x11x140_GIB_HEAD_TAPER_KEY	140.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x160 TAPER WITH GIB HEAD	JIS_B_1301_18x11x160_GIB_HEAD_TAPER_KEY	160.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x180 TAPER WITH GIB HEAD	JIS_B_1301_18x11x180_GIB_HEAD_TAPER_KEY	180.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x200 TAPER WITH GIB HEAD	JIS_B_1301_18x11x200_GIB_HEAD_TAPER_KEY	200.0	18.0	11.0	0.6	18.0	18.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x56 TAPER WITH GIB HEAD	JIS_B_1301_20x12x56_GIB_HEAD_TAPER_KEY	56.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x63 TAPER WITH GIB HEAD	JIS_B_1301_20x12x63_GIB_HEAD_TAPER_KEY	63.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x70 TAPER WITH GIB HEAD	JIS_B_1301_20x12x70_GIB_HEAD_TAPER_KEY	70.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x80 TAPER WITH GIB HEAD	JIS_B_1301_20x12x80_GIB_HEAD_TAPER_KEY	80.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x90 TAPER WITH GIB HEAD	JIS_B_1301_20x12x90_GIB_HEAD_TAPER_KEY	90.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x100 TAPER WITH GIB HEAD	JIS_B_1301_20x12x100_GIB_HEAD_TAPER_KEY	100.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x110 TAPER WITH GIB HEAD	JIS_B_1301_20x12x110_GIB_HEAD_TAPER_KEY	110.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x125 TAPER WITH GIB HEAD	JIS_B_1301_20x12x125_GIB_HEAD_TAPER_KEY	125.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x140 TAPER WITH GIB HEAD	JIS_B_1301_20x12x140_GIB_HEAD_TAPER_KEY	140.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x160 TAPER WITH GIB HEAD	JIS_B_1301_20x12x160_GIB_HEAD_TAPER_KEY	160.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x180 TAPER WITH GIB HEAD	JIS_B_1301_20x12x180_GIB_HEAD_TAPER_KEY	180.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x200 TAPER WITH GIB HEAD	JIS_B_1301_20x12x200_GIB_HEAD_TAPER_KEY	200.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x220 TAPER WITH GIB HEAD	JIS_B_1301_20x12x220_GIB_HEAD_TAPER_KEY	220.0	20.0	12.0	0.8	20.0	20.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x63 TAPER WITH GIB HEAD	JIS_B_1301_22x14x63_GIB_HEAD_TAPER_KEY	63.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x70 TAPER WITH GIB HEAD	JIS_B_1301_22x14x70_GIB_HEAD_TAPER_KEY	70.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x80 TAPER WITH GIB HEAD	JIS_B_1301_22x14x80_GIB_HEAD_TAPER_KEY	80.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x90 TAPER WITH GIB HEAD	JIS_B_1301_22x14x90_GIB_HEAD_TAPER_KEY	90.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x100 TAPER WITH GIB HEAD	JIS_B_1301_22x14x100_GIB_HEAD_TAPER_KEY	100.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x110 TAPER WITH GIB HEAD	JIS_B_1301_22x14x110_GIB_HEAD_TAPER_KEY	110.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x125 TAPER WITH GIB HEAD	JIS_B_1301_22x14x125_GIB_HEAD_TAPER_KEY	125.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x140 TAPER WITH GIB HEAD	JIS_B_1301_22x14x140_GIB_HEAD_TAPER_KEY	140.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x160 TAPER WITH GIB HEAD	JIS_B_1301_22x14x160_GIB_HEAD_TAPER_KEY	160.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x180 TAPER WITH GIB HEAD	JIS_B_1301_22x14x180_GIB_HEAD_TAPER_KEY	180.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x200 TAPER WITH GIB HEAD	JIS_B_1301_22x14x200_GIB_HEAD_TAPER_KEY	200.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x220 TAPER WITH GIB HEAD	JIS_B_1301_22x14x220_GIB_HEAD_TAPER_KEY	220.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x250 TAPER WITH GIB HEAD	JIS_B_1301_22x14x250_GIB_HEAD_TAPER_KEY	250.0	22.0	14.0	0.8	22.0	22.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x70 TAPER WITH GIB HEAD	JIS_B_1301_24x16x70_GIB_HEAD_TAPER_KEY	70.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x80 TAPER WITH GIB HEAD	JIS_B_1301_24x16x80_GIB_HEAD_TAPER_KEY	80.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x90 TAPER WITH GIB HEAD	JIS_B_1301_24x16x90_GIB_HEAD_TAPER_KEY	90.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x100 TAPER WITH GIB HEAD	JIS_B_1301_24x16x100_GIB_HEAD_TAPER_KEY	100.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x110 TAPER WITH GIB HEAD	JIS_B_1301_24x16x110_GIB_HEAD_TAPER_KEY	110.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x125 TAPER WITH GIB HEAD	JIS_B_1301_24x16x125_GIB_HEAD_TAPER_KEY	125.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x140 TAPER WITH GIB HEAD	JIS_B_1301_24x16x140_GIB_HEAD_TAPER_KEY	140.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x160 TAPER WITH GIB HEAD	JIS_B_1301_24x16x160_GIB_HEAD_TAPER_KEY	160.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x180 TAPER WITH GIB HEAD	JIS_B_1301_24x16x180_GIB_HEAD_TAPER_KEY	180.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x200 TAPER WITH GIB HEAD	JIS_B_1301_24x16x200_GIB_HEAD_TAPER_KEY	200.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x220 TAPER WITH GIB HEAD	JIS_B_1301_24x16x220_GIB_HEAD_TAPER_KEY	220.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x250 TAPER WITH GIB HEAD	JIS_B_1301_24x16x250_GIB_HEAD_TAPER_KEY	250.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x280 TAPER WITH GIB HEAD	JIS_B_1301_24x16x280_GIB_HEAD_TAPER_KEY	280.0	24.0	16.0	0.8	24.0	24.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x70 TAPER WITH GIB HEAD	JIS_B_1301_25x14x70_GIB_HEAD_TAPER_KEY	70.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x80 TAPER WITH GIB HEAD	JIS_B_1301_25x14x80_GIB_HEAD_TAPER_KEY	80.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x90 TAPER WITH GIB HEAD	JIS_B_1301_25x14x90_GIB_HEAD_TAPER_KEY	90.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x100 TAPER WITH GIB HEAD	JIS_B_1301_25x14x100_GIB_HEAD_TAPER_KEY	100.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x110 TAPER WITH GIB HEAD	JIS_B_1301_25x14x110_GIB_HEAD_TAPER_KEY	110.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x125 TAPER WITH GIB HEAD	JIS_B_1301_25x14x125_GIB_HEAD_TAPER_KEY	125.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x140 TAPER WITH GIB HEAD	JIS_B_1301_25x14x140_GIB_HEAD_TAPER_KEY	140.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x160 TAPER WITH GIB HEAD	JIS_B_1301_25x14x160_GIB_HEAD_TAPER_KEY	160.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x180 TAPER WITH GIB HEAD	JIS_B_1301_25x14x180_GIB_HEAD_TAPER_KEY	180.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x200 TAPER WITH GIB HEAD	JIS_B_1301_25x14x200_GIB_HEAD_TAPER_KEY	200.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x220 TAPER WITH GIB HEAD	JIS_B_1301_25x14x220_GIB_HEAD_TAPER_KEY	220.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x250 TAPER WITH GIB HEAD	JIS_B_1301_25x14x250_GIB_HEAD_TAPER_KEY	250.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x280 TAPER WITH GIB HEAD	JIS_B_1301_25x14x280_GIB_HEAD_TAPER_KEY	280.0	25.0	14.0	0.8	22.0	25.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x80 TAPER WITH GIB HEAD	JIS_B_1301_28x16x80_GIB_HEAD_TAPER_KEY	80.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x90 TAPER WITH GIB HEAD	JIS_B_1301_28x16x90_GIB_HEAD_TAPER_KEY	90.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x100 TAPER WITH GIB HEAD	JIS_B_1301_28x16x100_GIB_HEAD_TAPER_KEY	100.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x110 TAPER WITH GIB HEAD	JIS_B_1301_28x16x110_GIB_HEAD_TAPER_KEY	110.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x125 TAPER WITH GIB HEAD	JIS_B_1301_28x16x125_GIB_HEAD_TAPER_KEY	125.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x140 TAPER WITH GIB HEAD	JIS_B_1301_28x16x140_GIB_HEAD_TAPER_KEY	140.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x160 TAPER WITH GIB HEAD	JIS_B_1301_28x16x160_GIB_HEAD_TAPER_KEY	160.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x180 TAPER WITH GIB HEAD	JIS_B_1301_28x16x180_GIB_HEAD_TAPER_KEY	180.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x200 TAPER WITH GIB HEAD	JIS_B_1301_28x16x200_GIB_HEAD_TAPER_KEY	200.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x220 TAPER WITH GIB HEAD	JIS_B_1301_28x16x220_GIB_HEAD_TAPER_KEY	220.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x250 TAPER WITH GIB HEAD	JIS_B_1301_28x16x250_GIB_HEAD_TAPER_KEY	250.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x280 TAPER WITH GIB HEAD	JIS_B_1301_28x16x280_GIB_HEAD_TAPER_KEY	280.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x320 TAPER WITH GIB HEAD	JIS_B_1301_28x16x320_GIB_HEAD_TAPER_KEY	320.0	28.0	16.0	0.8	25.0	28.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x90 TAPER WITH GIB HEAD	JIS_B_1301_32x18x90_GIB_HEAD_TAPER_KEY	90.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x100 TAPER WITH GIB HEAD	JIS_B_1301_32x18x100_GIB_HEAD_TAPER_KEY	100.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x110 TAPER WITH GIB HEAD	JIS_B_1301_32x18x110_GIB_HEAD_TAPER_KEY	110.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x125 TAPER WITH GIB HEAD	JIS_B_1301_32x18x125_GIB_HEAD_TAPER_KEY	125.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x140 TAPER WITH GIB HEAD	JIS_B_1301_32x18x140_GIB_HEAD_TAPER_KEY	140.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x160 TAPER WITH GIB HEAD	JIS_B_1301_32x18x160_GIB_HEAD_TAPER_KEY	160.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x180 TAPER WITH GIB HEAD	JIS_B_1301_32x18x180_GIB_HEAD_TAPER_KEY	180.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x200 TAPER WITH GIB HEAD	JIS_B_1301_32x18x200_GIB_HEAD_TAPER_KEY	200.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x220 TAPER WITH GIB HEAD	JIS_B_1301_32x18x220_GIB_HEAD_TAPER_KEY	220.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x250 TAPER WITH GIB HEAD	JIS_B_1301_32x18x250_GIB_HEAD_TAPER_KEY	250.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x280 TAPER WITH GIB HEAD	JIS_B_1301_32x18x280_GIB_HEAD_TAPER_KEY	280.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x320 TAPER WITH GIB HEAD	JIS_B_1301_32x18x320_GIB_HEAD_TAPER_KEY	320.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x360 TAPER WITH GIB HEAD	JIS_B_1301_32x18x360_GIB_HEAD_TAPER_KEY	360.0	32.0	18.0	0.8	28.0	32.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x100 TAPER WITH GIB HEAD	JIS_B_1301_35x22x100_GIB_HEAD_TAPER_KEY	100.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x110 TAPER WITH GIB HEAD	JIS_B_1301_35x22x110_GIB_HEAD_TAPER_KEY	110.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x125 TAPER WITH GIB HEAD	JIS_B_1301_35x22x125_GIB_HEAD_TAPER_KEY	125.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x140 TAPER WITH GIB HEAD	JIS_B_1301_35x22x140_GIB_HEAD_TAPER_KEY	140.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x160 TAPER WITH GIB HEAD	JIS_B_1301_35x22x160_GIB_HEAD_TAPER_KEY	160.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x180 TAPER WITH GIB HEAD	JIS_B_1301_35x22x180_GIB_HEAD_TAPER_KEY	180.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x200 TAPER WITH GIB HEAD	JIS_B_1301_35x22x200_GIB_HEAD_TAPER_KEY	200.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x220 TAPER WITH GIB HEAD	JIS_B_1301_35x22x220_GIB_HEAD_TAPER_KEY	220.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x250 TAPER WITH GIB HEAD	JIS_B_1301_35x22x250_GIB_HEAD_TAPER_KEY	250.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x280 TAPER WITH GIB HEAD	JIS_B_1301_35x22x280_GIB_HEAD_TAPER_KEY	280.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x320 TAPER WITH GIB HEAD	JIS_B_1301_35x22x320_GIB_HEAD_TAPER_KEY	320.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x360 TAPER WITH GIB HEAD	JIS_B_1301_35x22x360_GIB_HEAD_TAPER_KEY	360.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x400 TAPER WITH GIB HEAD	JIS_B_1301_35x22x400_GIB_HEAD_TAPER_KEY	400.0	35.0	22.0	1.2	32.0	35.0	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x100 TAPER WITH GIB HEAD	JIS_B_1301_36x20x100_GIB_HEAD_TAPER_KEY	100.0	36.0	20.0	1.2	32.0	36.0	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x110 TAPER WITH GIB HEAD	JIS_B_1301_36x20x110_GIB_HEAD_TAPER_KEY	110.0	36.0	20.0	1.2	32.0	36.0	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x125 TAPER WITH GIB HEAD	JIS_B_1301_36x20x125_GIB_HEAD_TAPER_KEY	125.0	36.0	20.0	1.2	32.0	36.0	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x140 TAPER WITH GIB HEAD	JIS_B_1301_36x20x140_GIB_HEAD_TAPER_KEY	140.0	36.0	20.0	1.2	32.0	36.0	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x160 TAPER WITH GIB HEAD	JIS_B_1301_36x20x160_GIB_HEAD_TAPER_KEY	160.0	36.0	20.0	1.2	32.0	36.0	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x180 TAPER WITH GIB HEAD	JIS_B_1301_36x20x180_GIB_HEAD_TAPER_KEY	180.0	36.0	20.0	1.2	32.0	36.0	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x200 TAPER WITH GIB HEAD	JIS_B_1301_36x20x200_GIB_HEAD_TAPER_KEY	200.0	36.0	20.0	1.2	32.0	36.0	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x220 TAPER WITH GIB HEAD	JIS_B_1301_36x20x220_GIB_HEAD_TAPER_KEY	220.0	36.0	20.0	1.2	32.0	36.0	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x250 TAPER WITH GIB HEAD	JIS_B_1301_36x20x250_GIB_HEAD_TAPER_KEY	250.0	36.0	20.0	1.2	32.0	36.0	St	JIS B 1301	1996
