PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	dp_dia_point(mm)	dp_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_max(mm)	dog_point	Grade	Material	Reference	Edition
JIS B 1177 SCREW M2.5x6 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M2.5x6_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M2.5	2.5	0.45	5.8011	6.0	90	1.5	1.25	1.427	1.3	2.0	1.5	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M2.5x8 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M2.5x8_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M2.5	2.5	0.45	7.8011	8.0	90	1.5	1.25	1.427	1.3	2.0	1.5	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M2.5x10 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M2.5x10_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M2.5	2.5	0.45	9.8011	10.0	90	1.5	1.25	1.427	1.3	2.0	1.5	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M2.5x12 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M2.5x12_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M2.5	2.5	0.45	11.8011	12.0	90	1.5	1.25	1.427	1.3	2.0	1.5	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M3x4 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M3x4_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M3	3.0	0.5	3.8438	4.0	120	2.0	1.75	1.73	1.5	1.2	1.0	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M3x5 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M3x5_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M3	3.0	0.5	4.8438	5.0	120	2.0	1.75	1.73	1.5	1.2	1.0	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M3x6 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M3x6_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	5.7790	6.0	90	2.0	1.75	1.73	1.5	2.0	1.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M3x8 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M3x8_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	7.7790	8.0	90	2.0	1.75	1.73	1.5	2.0	1.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M3x10 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M3x10_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	9.7790	10.0	90	2.0	1.75	1.73	1.5	2.0	1.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M3x12 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M3x12_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	11.7790	12.0	90	2.0	1.75	1.73	1.5	2.0	1.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M3x16 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M3x16_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M3	3.0	0.5	15.7790	16.0	90	2.0	1.75	1.73	1.5	2.0	1.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M4x5 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M4x5_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M4	4.0	0.7	4.7813	5.0	120	2.5	2.25	2.3	2.0	1.5	1.25	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M4x6 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M4x6_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M4	4.0	0.7	5.7813	6.0	120	2.5	2.25	2.3	2.0	1.5	1.25	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M4x8 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M4x8_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	7.6906	8.0	90	2.5	2.25	2.3	2.0	2.5	2.25	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M4x10 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M4x10_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	9.6906	10.0	90	2.5	2.25	2.3	2.0	2.5	2.25	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M4x12 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M4x12_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	11.6906	12.0	90	2.5	2.25	2.3	2.0	2.5	2.25	LONG	A	St	JIS B 1177	1997
