PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	dp_dia_point(mm)	dp_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_max(mm)	dog_point	Grade	Material	Reference	Edition
JIS B 1177 SCREW M12x45 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M12x45_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	44.2266	45.0	90	8.5	8.14	6.86	6.0	8.0	6.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x50 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M12x50_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	49.2266	50.0	90	8.5	8.14	6.86	6.0	8.0	6.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x55 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M12x55_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	54.2266	55.0	90	8.5	8.14	6.86	6.0	8.0	6.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M12x60 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M12x60_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M12	12.0	1.75	59.2266	60.0	90	8.5	8.14	6.86	6.0	8.0	6.3	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x16 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M16x16_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M16	16.0	2.0	15.3750	16.0	120	12.0	11.57	9.15	8.0	6.4	4.3	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x20 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M16x20_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M16	16.0	2.0	19.3750	20.0	120	12.0	11.57	9.15	8.0	6.4	4.3	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x25 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M16x25_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	24.1161	25.0	90	12.0	11.57	9.15	8.0	10.0	8.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x30 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M16x30_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	29.1161	30.0	90	12.0	11.57	9.15	8.0	10.0	8.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x35 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M16x35_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	34.1161	35.0	90	12.0	11.57	9.15	8.0	10.0	8.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x40 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M16x40_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	39.1161	40.0	90	12.0	11.57	9.15	8.0	10.0	8.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x45 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M16x45_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	44.1161	45.0	90	12.0	11.57	9.15	8.0	10.0	8.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x50 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M16x50_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	49.1161	50.0	90	12.0	11.57	9.15	8.0	10.0	8.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x55 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M16x55_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	54.1161	55.0	90	12.0	11.57	9.15	8.0	10.0	8.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M16x60 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M16x60_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M16	16.0	2.0	59.1161	60.0	90	12.0	11.57	9.15	8.0	10.0	8.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M20x20 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M20x20_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M20	20.0	2.5	19.2188	20.0	120	15.0	14.57	11.43	10.0	8.0	5.3	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M20x25 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M20x25_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M20	20.0	2.5	24.2188	25.0	120	15.0	14.57	11.43	10.0	8.0	5.3	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M20x30 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M20x30_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	28.8951	30.0	90	15.0	14.57	11.43	10.0	12.0	10.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M20x35 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M20x35_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	33.8951	35.0	90	15.0	14.57	11.43	10.0	12.0	10.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M20x40 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M20x40_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	38.8951	40.0	90	15.0	14.57	11.43	10.0	12.0	10.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M20x45 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M20x45_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	43.8951	45.0	90	15.0	14.57	11.43	10.0	12.0	10.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M20x50 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M20x50_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	48.8951	50.0	90	15.0	14.57	11.43	10.0	12.0	10.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M20x55 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M20x55_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	53.8951	55.0	90	15.0	14.57	11.43	10.0	12.0	10.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M20x60 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M20x60_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M20	20.0	2.5	58.8951	60.0	90	15.0	14.57	11.43	10.0	12.0	10.36	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M24x25 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M24x25_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M24	24.0	3.0	24.0625	25.0	120	18.0	17.57	13.72	12.0	10.0	6.3	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M24x30 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M24x30_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M24	24.0	3.0	29.0625	30.0	120	18.0	17.57	13.72	12.0	10.0	6.3	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M24x35 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M24x35_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	33.6742	35.0	90	18.0	17.57	13.72	12.0	15.0	12.43	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M24x40 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M24x40_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	38.6742	40.0	90	18.0	17.57	13.72	12.0	15.0	12.43	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M24x45 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M24x45_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	43.6742	45.0	90	18.0	17.57	13.72	12.0	15.0	12.43	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M24x50 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M24x50_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	48.6742	50.0	90	18.0	17.57	13.72	12.0	15.0	12.43	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M24x55 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M24x55_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	53.6742	55.0	90	18.0	17.57	13.72	12.0	15.0	12.43	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M24x60 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M24x60_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M24	24.0	3.0	58.6742	60.0	90	18.0	17.57	13.72	12.0	15.0	12.43	LONG	A	St	JIS B 1177	1997
