PartNumber	PartName	l_length(mm)	b_width(mm)	h_height(mm)	c_chamfer_max(mm)	Material	Reference	Edition
JIS B 1301 KEY 15x10x50 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x50_WITHOUT_GIB_HEAD_TAPER_KEY	50	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x56 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x56_WITHOUT_GIB_HEAD_TAPER_KEY	56	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x63 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x63_WITHOUT_GIB_HEAD_TAPER_KEY	63	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x70 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x70_WITHOUT_GIB_HEAD_TAPER_KEY	70	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x80 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x80_WITHOUT_GIB_HEAD_TAPER_KEY	80	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x90 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x90_WITHOUT_GIB_HEAD_TAPER_KEY	90	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 15x10x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_15x10x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	15	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x45 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x45_WITHOUT_GIB_HEAD_TAPER_KEY	45	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x50 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x50_WITHOUT_GIB_HEAD_TAPER_KEY	50	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x56 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x56_WITHOUT_GIB_HEAD_TAPER_KEY	56	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x63 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x63_WITHOUT_GIB_HEAD_TAPER_KEY	63	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x70 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x70_WITHOUT_GIB_HEAD_TAPER_KEY	70	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x80 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x80_WITHOUT_GIB_HEAD_TAPER_KEY	80	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x90 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x90_WITHOUT_GIB_HEAD_TAPER_KEY	90	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_16x10x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	16	10	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x50 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x50_WITHOUT_GIB_HEAD_TAPER_KEY	50	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x56 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x56_WITHOUT_GIB_HEAD_TAPER_KEY	56	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x63 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x63_WITHOUT_GIB_HEAD_TAPER_KEY	63	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x70 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x70_WITHOUT_GIB_HEAD_TAPER_KEY	70	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x80 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x80_WITHOUT_GIB_HEAD_TAPER_KEY	80	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x90 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x90_WITHOUT_GIB_HEAD_TAPER_KEY	90	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x200 TAPER WITHOUT GIB HEAD	JIS_B_1301_18x11x200_WITHOUT_GIB_HEAD_TAPER_KEY	200	18	11	0.6	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x56 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x56_WITHOUT_GIB_HEAD_TAPER_KEY	56	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x63 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x63_WITHOUT_GIB_HEAD_TAPER_KEY	63	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x70 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x70_WITHOUT_GIB_HEAD_TAPER_KEY	70	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x80 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x80_WITHOUT_GIB_HEAD_TAPER_KEY	80	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x90 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x90_WITHOUT_GIB_HEAD_TAPER_KEY	90	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x200 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x200_WITHOUT_GIB_HEAD_TAPER_KEY	200	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x220 TAPER WITHOUT GIB HEAD	JIS_B_1301_20x12x220_WITHOUT_GIB_HEAD_TAPER_KEY	220	20	12	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x63 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x63_WITHOUT_GIB_HEAD_TAPER_KEY	63	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x70 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x70_WITHOUT_GIB_HEAD_TAPER_KEY	70	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x80 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x80_WITHOUT_GIB_HEAD_TAPER_KEY	80	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x90 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x90_WITHOUT_GIB_HEAD_TAPER_KEY	90	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x200 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x200_WITHOUT_GIB_HEAD_TAPER_KEY	200	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x220 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x220_WITHOUT_GIB_HEAD_TAPER_KEY	220	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x250 TAPER WITHOUT GIB HEAD	JIS_B_1301_22x14x250_WITHOUT_GIB_HEAD_TAPER_KEY	250	22	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x70 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x70_WITHOUT_GIB_HEAD_TAPER_KEY	70	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x80 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x80_WITHOUT_GIB_HEAD_TAPER_KEY	80	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x90 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x90_WITHOUT_GIB_HEAD_TAPER_KEY	90	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x200 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x200_WITHOUT_GIB_HEAD_TAPER_KEY	200	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x220 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x220_WITHOUT_GIB_HEAD_TAPER_KEY	220	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x250 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x250_WITHOUT_GIB_HEAD_TAPER_KEY	250	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x280 TAPER WITHOUT GIB HEAD	JIS_B_1301_24x16x280_WITHOUT_GIB_HEAD_TAPER_KEY	280	24	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x70 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x70_WITHOUT_GIB_HEAD_TAPER_KEY	70	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x80 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x80_WITHOUT_GIB_HEAD_TAPER_KEY	80	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x90 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x90_WITHOUT_GIB_HEAD_TAPER_KEY	90	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x200 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x200_WITHOUT_GIB_HEAD_TAPER_KEY	200	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x220 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x220_WITHOUT_GIB_HEAD_TAPER_KEY	220	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x250 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x250_WITHOUT_GIB_HEAD_TAPER_KEY	250	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x280 TAPER WITHOUT GIB HEAD	JIS_B_1301_25x14x280_WITHOUT_GIB_HEAD_TAPER_KEY	280	25	14	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x80 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x80_WITHOUT_GIB_HEAD_TAPER_KEY	80	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x90 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x90_WITHOUT_GIB_HEAD_TAPER_KEY	90	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x200 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x200_WITHOUT_GIB_HEAD_TAPER_KEY	200	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x220 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x220_WITHOUT_GIB_HEAD_TAPER_KEY	220	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x250 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x250_WITHOUT_GIB_HEAD_TAPER_KEY	250	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x280 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x280_WITHOUT_GIB_HEAD_TAPER_KEY	280	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x320 TAPER WITHOUT GIB HEAD	JIS_B_1301_28x16x320_WITHOUT_GIB_HEAD_TAPER_KEY	320	28	16	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x90 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x90_WITHOUT_GIB_HEAD_TAPER_KEY	90	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x200 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x200_WITHOUT_GIB_HEAD_TAPER_KEY	200	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x220 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x220_WITHOUT_GIB_HEAD_TAPER_KEY	220	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x250 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x250_WITHOUT_GIB_HEAD_TAPER_KEY	250	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x280 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x280_WITHOUT_GIB_HEAD_TAPER_KEY	280	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x320 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x320_WITHOUT_GIB_HEAD_TAPER_KEY	320	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x360 TAPER WITHOUT GIB HEAD	JIS_B_1301_32x18x360_WITHOUT_GIB_HEAD_TAPER_KEY	360	32	18	0.8	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x200 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x200_WITHOUT_GIB_HEAD_TAPER_KEY	200	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x220 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x220_WITHOUT_GIB_HEAD_TAPER_KEY	220	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x250 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x250_WITHOUT_GIB_HEAD_TAPER_KEY	250	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x280 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x280_WITHOUT_GIB_HEAD_TAPER_KEY	280	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x320 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x320_WITHOUT_GIB_HEAD_TAPER_KEY	320	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x360 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x360_WITHOUT_GIB_HEAD_TAPER_KEY	360	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x400 TAPER WITHOUT GIB HEAD	JIS_B_1301_35x22x400_WITHOUT_GIB_HEAD_TAPER_KEY	400	35	22	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x100 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x100_WITHOUT_GIB_HEAD_TAPER_KEY	100	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x110 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x110_WITHOUT_GIB_HEAD_TAPER_KEY	110	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x125 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x125_WITHOUT_GIB_HEAD_TAPER_KEY	125	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x140 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x140_WITHOUT_GIB_HEAD_TAPER_KEY	140	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x160 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x160_WITHOUT_GIB_HEAD_TAPER_KEY	160	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x180 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x180_WITHOUT_GIB_HEAD_TAPER_KEY	180	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x200 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x200_WITHOUT_GIB_HEAD_TAPER_KEY	200	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x220 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x220_WITHOUT_GIB_HEAD_TAPER_KEY	220	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x250 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x250_WITHOUT_GIB_HEAD_TAPER_KEY	250	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x280 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x280_WITHOUT_GIB_HEAD_TAPER_KEY	280	36	20	1.2	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x320 TAPER WITHOUT GIB HEAD	JIS_B_1301_36x20x320_WITHOUT_GIB_HEAD_TAPER_KEY	320	36	20	1.2	St	JIS B 1301	1996
