PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	c_chamfer_max(mm)	designation	d1_screw_thread_dia	d2_hole(mm)	d3_hole(mm)	g_hole(mm)	Symbol	Material	Reference	Edition
JIS B 1301 KEY 16x10x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_16x10x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	16	10	0.6	M5	5	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 16x10x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_16x10x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	16	10	0.6	M5	5	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x80 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_18x11x80_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	80	18	11	0.6	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x90 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_18x11x90_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	90	18	11	0.6	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x100 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_18x11x100_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	100	18	11	0.6	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x110 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_18x11x110_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	110	18	11	0.6	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x125 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_18x11x125_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	125	18	11	0.6	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x140 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_18x11x140_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	140	18	11	0.6	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_18x11x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	18	11	0.6	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_18x11x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	18	11	0.6	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 18x11x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_18x11x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	18	11	0.6	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x110 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_20x12x110_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	110	20	12	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x125 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_20x12x125_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	125	20	12	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x140 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_20x12x140_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	140	20	12	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_20x12x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	20	12	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_20x12x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	20	12	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_20x12x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	20	12	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_20x12x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	20	12	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x100 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_22x14x100_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	100	22	14	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x110 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_22x14x110_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	110	22	14	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x125 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_22x14x125_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	125	22	14	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x140 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_22x14x140_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	140	22	14	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_22x14x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	22	14	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_22x14x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	22	14	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_22x14x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	22	14	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_22x14x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	22	14	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_22x14x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	22	14	0.8	M6	6	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x110 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_24x16x110_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	110	24	16	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x125 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_24x16x125_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	125	24	16	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x140 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_24x16x140_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	140	24	16	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_24x16x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	24	16	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_24x16x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	24	16	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_24x16x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	24	16	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_24x16x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	24	16	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_24x16x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	24	16	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_24x16x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	24	16	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x125 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_25x14x125_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	125	25	14	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x140 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_25x14x140_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	140	25	14	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_25x14x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	25	14	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_25x14x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	25	14	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_25x14x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	25	14	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_25x14x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	25	14	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_25x14x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	25	14	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_25x14x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	25	14	0.8	M8	8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x140 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_28x16x140_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	140	28	16	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_28x16x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	28	16	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_28x16x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	28	16	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_28x16x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	28	16	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_28x16x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	28	16	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_28x16x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	28	16	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_28x16x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	28	16	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_28x16x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	28	16	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x140 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_32x18x140_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	140	32	18	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_32x18x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	32	18	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_32x18x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	32	18	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_32x18x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	32	18	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
