PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	c_chamfer_max(mm)	designation	d1_screw_thread_dia	d2_hole(mm)	d3_hole(mm)	g_hole(mm)	Symbol	Material	Reference	Edition
JIS B 1301 KEY 32x18x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_32x18x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	32	18	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_32x18x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	32	18	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_32x18x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	32	18	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_32x18x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	32	18	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_32x18x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	32	18	0.8	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_35x22x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	35	22	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_35x22x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	35	22	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_35x22x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	35	22	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_35x22x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	35	22	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_35x22x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	35	22	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_35x22x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	35	22	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_35x22x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	35	22	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_35x22x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	35	22	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_35x22x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	35	22	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_36x20x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	36	20	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_36x20x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	36	20	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_36x20x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	36	20	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_36x20x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	36	20	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_36x20x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	36	20	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_36x20x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	36	20	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_36x20x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	36	20	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_36x20x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	36	20	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_36x20x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	36	20	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_38x24x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	38	24	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_38x24x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	38	24	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_38x24x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	38	24	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_38x24x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	38	24	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_38x24x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	38	24	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_38x24x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	38	24	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_38x24x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	38	24	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_38x24x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	38	24	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_38x24x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	38	24	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 40x22x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_40x22x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	40	22	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 40x22x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_40x22x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	40	22	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 40x22x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_40x22x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	40	22	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 40x22x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_40x22x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	40	22	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 40x22x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_40x22x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	40	22	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 40x22x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_40x22x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	40	22	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 40x22x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_40x22x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	40	22	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 40x22x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_40x22x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	40	22	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 40x22x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_40x22x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	40	22	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 42x26x160 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_42x26x160_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	160	42	26	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 42x26x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_42x26x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	42	26	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 42x26x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_42x26x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	42	26	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 42x26x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_42x26x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	42	26	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 42x26x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_42x26x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	42	26	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 42x26x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_42x26x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	42	26	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 42x26x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_42x26x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	42	26	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 42x26x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_42x26x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	42	26	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 42x26x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_42x26x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	42	26	1.2	M10	10	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 45x25x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_45x25x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	45	25	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 45x25x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_45x25x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	45	25	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 45x25x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_45x25x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	45	25	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 45x25x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_45x25x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	45	25	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 45x25x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_45x25x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	45	25	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 45x25x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_45x25x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	45	25	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 45x25x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_45x25x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	45	25	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 45x25x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_45x25x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	45	25	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 50x28x180 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_50x28x180_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	180	50	28	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 50x28x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_50x28x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	50	28	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 50x28x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_50x28x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	50	28	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 50x28x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_50x28x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	50	28	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 50x28x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_50x28x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	50	28	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 50x28x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_50x28x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	50	28	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 50x28x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_50x28x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	50	28	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 50x28x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_50x28x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	50	28	1.2	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 56x32x200 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_56x32x200_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	200	56	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 56x32x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_56x32x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	56	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 56x32x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_56x32x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	56	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 56x32x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_56x32x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	56	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 56x32x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_56x32x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	56	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 56x32x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_56x32x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	56	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 56x32x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_56x32x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	56	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 63x32x220 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_63x32x220_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	220	63	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 63x32x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_63x32x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	63	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 63x32x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_63x32x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	63	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 63x32x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_63x32x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	63	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 63x32x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_63x32x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	63	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 63x32x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_63x32x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	63	32	2.0	M12	12	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 70x36x250 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_70x36x250_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	250	70	36	2.0	M16	16	26.0	18.0	17.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 70x36x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_70x36x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	70	36	2.0	M16	16	26.0	18.0	17.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 70x36x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_70x36x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	70	36	2.0	M16	16	26.0	18.0	17.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 70x36x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_70x36x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	70	36	2.0	M16	16	26.0	18.0	17.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 70x36x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_70x36x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	70	36	2.0	M16	16	26.0	18.0	17.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 80x40x280 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_80x40x280_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	280	80	40	3.0	M16	16	26.0	18.0	17.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 80x40x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_80x40x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	80	40	3.0	M16	16	26.0	18.0	17.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 80x40x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_80x40x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	80	40	3.0	M16	16	26.0	18.0	17.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 80x40x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_80x40x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	80	40	3.0	M16	16	26.0	18.0	17.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 90x45x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_90x45x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	90	45	3.0	M20	20	32.0	22.0	21.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 90x45x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_90x45x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	90	45	3.0	M20	20	32.0	22.0	21.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 90x45x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_90x45x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	90	45	3.0	M20	20	32.0	22.0	21.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 100x50x320 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_100x50x320_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	320	100	50	3.0	M20	20	32.0	22.0	21.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 100x50x360 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_100x50x360_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	360	100	50	3.0	M20	20	32.0	22.0	21.5	B	St	JIS B 1301	1996
JIS B 1301 KEY 100x50x400 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_100x50x400_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	400	100	50	3.0	M20	20	32.0	22.0	21.5	B	St	JIS B 1301	1996
