PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_bolt_length(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	k_max_head_depth(mm)	k_head_edge_length(mm)	dw(mm)	r_min(mm)	c_min(mm)	c__max(mm)	da_max(mm)	ds_max_nom(mm)	e_acrosscorner_min(mm)	lf_max(mm)	Grade	Material	Reference	Edition
JIS B 1180 BOLT M18x180 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x180_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	48.0	180.0	27.0	119.5	132.0	11.58	7.81	24.85	0.6	0.2	0.8	20.2	18.0	29.56	3.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x90 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x90_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	50.0	90.0	34.0	27.5	40.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x100 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x100_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	50.0	100.0	34.0	37.5	50.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x110 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x110_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	50.0	110.0	34.0	47.5	60.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x120 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x120_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	50.0	120.0	34.0	57.5	70.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x130 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x130_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	130.0	34.0	61.5	74.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x140 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x140_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	140.0	34.0	71.5	84.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x150 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x150_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	150.0	34.0	81.5	94.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x160 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x160_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	160.0	34.0	91.5	104.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x180 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x180_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	180.0	34.0	111.5	124.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
