PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	Threading(mm)	l_nom_Length(mm)	b_min_Thread_Length(mm)	dk_nom_head_Dia(mm)	k_nom_head_depth(mm)	n_nom_Slot_Width(mm)	t_min_Slot_Depth(mm)	a_max(mm)	r_max(mm)	x_max(mm)	Material	Reference	Edition
JIS B 1101 SCREW M1.6x2.5 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x2.5_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	0.8	2.5	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x3 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x3_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	1.3	3.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x4 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x4_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	2.3	4.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x5 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x5_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	3.3	5.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x6 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x6_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	4.3	6.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x8 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x8_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	6.3	8.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x10 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x10_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	8.3	10.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	10.3	12.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	12.3	14.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	14.3	16.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
