PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	a_min(mm)	c_max(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
EN ISO 4018 SCREW M5x10 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x10_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	7.6	10.0	10.75	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x12 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x12_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	9.6	12.0	12.9	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x16 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x16_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	13.6	16.0	16.9	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x20 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x20_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	17.6	20.0	21.05	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x25 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x25_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	22.6	25.0	26.05	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x30 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x30_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	27.6	30.0	31.05	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x35 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x35_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	32.6	35.0	36.25	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x40 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x40_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	37.6	40.0	41.25	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x45 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x45_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	42.6	45.0	46.25	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x50 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x50_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	47.6	50.0	51.25	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x12 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x12_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	9.0	12.0	12.9	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x16 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x16_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	13.0	16.0	16.9	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x20 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x20_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	17.0	20.0	21.05	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x25 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x25_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	22.0	25.0	26.05	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x30 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x30_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	27.0	30.0	31.05	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x35 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x35_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	32.0	35.0	36.25	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x40 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x40_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	37.0	40.0	41.25	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x45 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x45_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	42.0	45.0	46.25	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x50 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x50_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	47.0	50.0	51.25	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x55 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x55_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	52.0	55.0	56.5	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x60 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x60_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	57.0	60.0	61.5	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x16 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x16_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	12.0	16.0	16.9	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x20 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x20_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	16.0	20.0	21.05	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x25 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x25_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	21.0	25.0	26.05	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x30 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x30_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	26.0	30.0	31.05	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x35 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x35_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	31.0	35.0	36.25	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x40 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x40_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	36.0	40.0	41.25	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x45 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x45_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	41.0	45.0	46.25	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x50 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x50_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	46.0	50.0	51.25	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x55 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x55_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	51.0	55.0	56.5	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x60 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x60_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	56.0	60.0	61.5	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x65 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x65_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	61.0	65.0	66.5	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x70 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x70_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	66.0	70.0	71.5	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M8x80 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M8x80_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M8	8.0	1.25	76.0	80.0	81.5	4.0	1.25	0.6	10.2	11.47	14.2	5.675	3.45	0.4	13.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x20 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x20_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	15.5	20.0	21.05	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x25 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x25_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	20.5	25.0	26.05	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x30 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x30_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	25.5	30.0	31.05	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x35 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x35_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	30.5	35.0	36.25	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x40 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x40_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	35.5	40.0	41.25	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x45 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x45_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	40.5	45.0	46.25	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x50 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x50_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	45.5	50.0	51.25	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x55 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x55_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	50.5	55.0	56.5	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x60 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x60_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	55.5	60.0	61.5	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x65 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x65_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	60.5	65.0	66.5	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x70 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x70_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	65.5	70.0	71.5	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x80 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x80_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	75.5	80.0	81.5	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x90 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x90_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	85.5	90.0	91.75	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M10x100 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M10x100_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M10	10.0	1.5	95.5	100.0	101.75	4.5	1.5	0.6	12.2	14.47	17.59	6.85	4.17	0.4	16.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x25 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x25_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	19.7	25.0	26.05	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x30 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x30_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	24.7	30.0	31.05	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x35 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x35_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	29.7	35.0	36.25	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x40 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x40_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	34.7	40.0	41.25	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x45 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x45_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	39.7	45.0	46.25	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x50 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x50_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	44.7	50.0	51.25	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x55 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x55_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	49.7	55.0	56.5	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x60 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x60_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	54.7	60.0	61.5	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x65 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x65_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	59.7	65.0	66.5	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x70 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x70_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	64.7	70.0	71.5	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x80 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x80_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	74.7	80.0	81.5	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x90 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x90_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	84.7	90.0	91.75	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x100 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x100_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	94.7	100.0	101.75	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x110 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x110_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	104.7	110.0	111.75	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M12x120 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M12x120_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M12	12.0	1.75	114.7	120.0	121.75	5.3	1.75	0.6	14.7	16.47	19.85	7.95	4.94	0.6	18.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x30 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x30_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	24.0	30.0	31.05	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x35 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x35_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	29.0	35.0	36.25	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x40 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x40_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	34.0	40.0	41.25	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x45 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x45_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	39.0	45.0	46.25	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x50 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x50_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	44.0	50.0	51.25	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x55 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x55_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	49.0	55.0	56.5	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x60 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x60_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	54.0	60.0	61.5	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x65 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x65_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	59.0	65.0	66.5	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x70 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x70_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	64.0	70.0	71.5	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x80 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x80_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	74.0	80.0	81.5	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x90 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x90_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	84.0	90.0	91.75	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x100 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x100_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	94.0	100.0	101.75	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x110 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x110_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	104.0	110.0	111.75	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x120 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x120_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	114.0	120.0	121.75	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x130 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x130_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	124.0	130.0	132.0	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x140 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x140_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	134.0	140.0	142.0	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x150 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x150_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	144.0	150.0	152.0	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M16x160 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M16x160_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M16	16.0	2.0	154.0	160.0	164.0	6.0	2.0	0.8	18.7	22.0	26.17	10.75	6.48	0.6	24.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M20x40 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M20x40_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M20	20.0	2.5	32.5	40.0	41.25	7.5	2.5	0.8	24.4	27.7	32.95	13.4	8.12	0.8	30.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M20x45 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M20x45_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M20	20.0	2.5	37.5	45.0	46.25	7.5	2.5	0.8	24.4	27.7	32.95	13.4	8.12	0.8	30.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M20x50 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M20x50_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M20	20.0	2.5	42.5	50.0	51.25	7.5	2.5	0.8	24.4	27.7	32.95	13.4	8.12	0.8	30.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M20x55 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M20x55_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M20	20.0	2.5	47.5	55.0	56.5	7.5	2.5	0.8	24.4	27.7	32.95	13.4	8.12	0.8	30.0	C	St	EN ISO 4018	2000
