PartNumber	PartName	Nominal_Size(mm)	d_max(mm)	d_min(mm)	a_max(mm)	a_min(mm)	b(mm)	c_max(mm)	c_min(mm)	l_nom(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
EN ISO 1234 SPLIT PIN 16x140 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_16x140_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	16.0	15.4	15.1	6.3	3.15	32.0	30.8	27.0	140.0	138.0	142.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 16x160 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_16x160_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	16.0	15.4	15.1	6.3	3.15	32.0	30.8	27.0	160.0	158.0	162.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 16x180 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_16x180_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	16.0	15.4	15.1	6.3	3.15	32.0	30.8	27.0	180.0	178.0	182.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 16x200 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_16x200_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	16.0	15.4	15.1	6.3	3.15	32.0	30.8	27.0	200.0	198.0	202.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 16x224 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_16x224_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	16.0	15.4	15.1	6.3	3.15	32.0	30.8	27.0	224.0	222.0	226.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 16x250 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_16x250_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	16.0	15.4	15.1	6.3	3.15	32.0	30.8	27.0	250.0	248.0	252.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 16x280 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_16x280_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	16.0	15.4	15.1	6.3	3.15	32.0	30.8	27.0	280.0	278.0	282.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 20x160 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_20x160_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	20.0	19.3	19.0	6.3	3.15	40.0	38.5	33.8	160.0	158.0	162.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 20x180 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_20x180_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	20.0	19.3	19.0	6.3	3.15	40.0	38.5	33.8	180.0	178.0	182.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 20x200 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_20x200_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	20.0	19.3	19.0	6.3	3.15	40.0	38.5	33.8	200.0	198.0	202.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 20x224 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_20x224_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	20.0	19.3	19.0	6.3	3.15	40.0	38.5	33.8	224.0	222.0	226.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 20x250 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_20x250_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	20.0	19.3	19.0	6.3	3.15	40.0	38.5	33.8	250.0	248.0	252.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 20x280 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_20x280_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	20.0	19.3	19.0	6.3	3.15	40.0	38.5	33.8	280.0	278.0	282.0	St	EN ISO 1234	1997
