PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	dk_nom(mm)	k_max(mm)	rf_(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Slot_width(mm)	f_(mm)	a_max(mm)	Type	Grade	Material	Reference	Edition
EN ISO 7047 SCREW M4x25-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x25-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	20.9	25.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x30-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x30-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	25.9	30.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x35-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x35-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	30.9	35.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x40-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x40-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	35.9	40.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x45-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x45-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	40.9	45.0	38.0	8.4	2.7	9.5	1.0	1.75	5.2	3.2	0.7	1.0	1.4	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x6-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x6-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	1.7	6.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x8-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x8-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	3.7	8.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x10-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x10-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	5.7	10.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x12-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x12-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	7.7	12.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x14-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x14-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	9.7	14.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x16-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x16-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	11.7	16.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x20-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x20-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	15.7	20.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x25-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x25-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	20.7	25.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x30-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x30-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	25.7	30.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x35-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x35-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	30.7	35.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x40-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x40-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	35.7	40.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x45-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x45-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	40.7	45.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x50-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x50-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	38.0	50.0	38.0	9.3	2.7	9.5	1.3	2.0	5.4	3.4	0.7	1.2	1.6	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x8-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x8-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	2.7	8.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x10-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x10-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	4.7	10.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x12-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x12-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	6.7	12.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x14-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x14-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	8.7	14.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x16-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x16-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	10.7	16.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x20-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x20-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	14.7	20.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x25-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x25-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	19.7	25.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x30-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x30-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	24.7	30.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x35-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x35-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	29.7	35.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x40-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x40-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	34.7	40.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x45-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x45-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	39.7	45.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x50-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x50-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	38.0	50.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x55-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x55-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	38.0	55.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x60-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x60-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	38.0	60.0	38.0	11.3	3.3	12.0	1.5	2.5	7.3	4.0	0.82	1.4	2.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x10-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x10-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	2.85	10.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x12-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x12-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	4.85	12.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x14-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x14-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	6.85	14.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x16-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x16-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	8.85	16.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x20-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x20-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	12.85	20.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x25-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x25-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	17.85	25.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x30-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x30-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	22.85	30.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x35-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x35-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	27.85	35.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x40-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x40-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	32.85	40.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x45-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x45-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	37.85	45.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x50-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x50-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	38.0	50.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x55-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x55-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	38.0	55.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M8x60-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M8x60-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M8	8.0	1.25	38.0	60.0	38.0	15.8	4.65	16.5	2.0	3.2	9.6	5.52	1.22	2.0	2.5	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x12-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x12-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	4.0	12.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x14-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x14-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	6.0	14.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x16-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x16-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	8.0	16.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x20-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x20-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	12.0	20.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x25-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x25-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	17.0	25.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x30-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x30-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	22.0	30.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x35-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x35-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	27.0	35.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x40-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x40-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	32.0	40.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x45-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x45-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	37.0	45.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x50-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x50-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	38.0	50.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x55-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x55-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	38.0	55.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M10x60-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M10x60-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M10	10.0	1.5	38.0	60.0	38.0	18.3	5.0	19.5	2.5	3.8	10.4	6.0	1.22	2.3	3.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x3-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x3-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	1.3	3.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x4-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x4-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	2.3	4.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x5-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x5-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	3.3	5.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x6-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x6-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	4.3	6.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x8-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x8-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	6.3	8.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x10-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x10-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	8.3	10.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	10.3	12.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	12.3	14.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	14.3	16.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	18.3	20.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	23.3	25.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	28.3	30.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.48	0.4	0.7	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x3-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x3-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	1.0	3.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x4-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x4-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	2.0	4.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x5-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x5-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	3.0	5.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x6-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x6-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	4.0	6.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x8-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x8-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	6.0	8.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x10-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x10-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	8.0	10.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
