PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	a_max(mm)	dk_nom(mm)	k_max(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Recess_width(mm)	Shank_dia(mm)	type	Series	Material	Reference	Edition
EN ISO 7046-2 SCREW M8x25-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M8x25-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	18.56	25.0	38.0	2.5	15.8	3.94	2.0	3.2	8.9	4.6	1.22	7.92	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M8x30-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M8x30-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	23.56	30.0	38.0	2.5	15.8	3.94	2.0	3.2	8.9	4.6	1.22	7.92	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M8x35-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M8x35-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	28.56	35.0	38.0	2.5	15.8	3.94	2.0	3.2	8.9	4.6	1.22	7.92	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M8x40-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M8x40-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	33.56	40.0	38.0	2.5	15.8	3.94	2.0	3.2	8.9	4.6	1.22	7.92	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M8x45-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M8x45-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.56	45.0	38.0	2.5	15.8	3.94	2.0	3.2	8.9	4.6	1.22	7.92	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M8x50-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M8x50-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.0	50.0	38.0	2.5	15.8	3.94	2.0	3.2	8.9	4.6	1.22	7.92	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M8x55-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M8x55-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.0	55.0	38.0	2.5	15.8	3.94	2.0	3.2	8.9	4.6	1.22	7.92	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M8x60-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M8x60-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.0	60.0	38.0	2.5	15.8	3.94	2.0	3.2	8.9	4.6	1.22	7.92	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x12-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x12-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	4.8	12.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x14-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x14-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	6.8	14.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x16-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x16-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	8.8	16.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x20-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x20-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	12.8	20.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x25-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x25-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	17.8	25.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x30-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x30-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	22.8	30.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x35-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x35-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	27.8	35.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x40-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x40-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	32.8	40.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x45-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x45-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	37.8	45.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x50-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x50-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	38.0	50.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x55-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x55-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	38.0	55.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M10x60-H1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M10x60-H1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	38.0	60.0	38.0	3.0	18.3	4.2	2.5	3.8	10.0	5.7	1.22	9.9	H	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x3-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x3-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	1.29	3.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x4-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x4-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	2.29	4.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x5-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x5-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	3.29	5.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x6-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x6-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	4.29	6.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x8-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x8-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	6.29	8.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x10-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x10-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	8.29	10.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x12-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x12-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	10.29	12.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x14-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x14-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	12.29	14.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x16-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x16-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	14.29	16.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x20-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x20-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	18.29	20.0	25.0	0.8	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x25-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x25-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	23.19	25.0	25.0	0.9	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2x30-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2x30-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	28.19	30.0	25.0	0.9	3.8	0.91	0.5	1.0	1.9	1.2	0.48	1.98	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x3-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x3-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	0.988	3.0	25.0	0.9	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x4-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x4-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	1.988	4.0	25.0	0.9	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x5-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x5-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	2.988	5.0	25.0	0.9	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x6-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x6-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	3.988	6.0	25.0	0.9	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x8-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x8-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	5.988	8.0	25.0	0.9	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x10-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x10-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	7.988	10.0	25.0	0.9	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x12-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x12-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	9.988	12.0	25.0	0.9	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x14-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x14-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	11.988	14.0	25.0	0.9	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x16-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x16-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	13.988	16.0	25.0	0.9	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x20-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x20-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	17.888	20.0	25.0	1.0	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x25-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x25-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	22.888	25.0	25.0	1.0	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M2.5x30-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M2.5x30-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	27.888	30.0	25.0	1.0	4.7	1.113	0.6	1.1	2.8	1.73	0.74	2.475	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x4-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x4-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	1.735	4.0	25.0	1.0	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x5-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x5-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	2.735	5.0	25.0	1.0	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x6-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x6-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	3.735	6.0	25.0	1.0	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x8-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x8-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	5.735	8.0	25.0	1.0	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x10-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x10-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	7.735	10.0	25.0	1.0	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x12-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x12-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	9.735	12.0	25.0	1.0	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x14-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x14-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	11.735	14.0	25.0	1.0	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x16-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x16-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	13.735	16.0	25.0	1.0	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x20-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x20-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	17.535	20.0	25.0	1.2	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x25-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x25-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	22.535	25.0	25.0	1.2	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3x30-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3x30-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	27.535	30.0	25.0	1.2	5.5	1.265	0.8	1.25	3.0	2.01	0.74	2.97	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x5-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x5-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	1.883	5.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x6-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x6-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	2.883	6.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x8-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x8-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	4.883	8.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x10-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x10-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	6.883	10.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x12-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x12-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	8.883	12.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x14-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x14-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	10.883	14.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x16-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x16-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	12.883	16.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x20-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x20-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	16.883	20.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x25-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x25-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	21.883	25.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x30-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x30-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	26.883	30.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x35-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x35-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	31.883	35.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x40-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x40-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	36.883	40.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M3.5x45-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M3.5x45-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	41.883	45.0	38.0	1.2	7.3	1.918	0.9	1.5	4.1	2.2	1.03	3.465	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M4x5-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M4x5-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	1.38	5.0	38.0	1.4	8.4	2.22	1.0	1.75	4.4	2.51	1.03	3.96	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M4x6-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M4x6-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	2.38	6.0	38.0	1.4	8.4	2.22	1.0	1.75	4.4	2.51	1.03	3.96	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M4x8-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M4x8-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	4.38	8.0	38.0	1.4	8.4	2.22	1.0	1.75	4.4	2.51	1.03	3.96	Z	1.0	St	EN ISO 7046-2	1994
EN ISO 7046-2 SCREW M4x10-Z1 STEEL GRADE A COUNTERSUNK FLAT HEAD	EN_ISO_7046-2_M4x10-Z1_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	6.38	10.0	38.0	1.4	8.4	2.22	1.0	1.75	4.4	2.51	1.03	3.96	Z	1.0	St	EN ISO 7046-2	1994
