PartNumber	PartName	d_dia(mm)	l_length_nom(mm)	c_max(mm)	dl_hole_dia(mm)	le_length(mm)	Material	Reference	Edition
EN 22340 CLEVIS PIN 50x100 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_50x100_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	50.0	100.0	4.0	10.0	12.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 50x120 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_50x120_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	50.0	120.0	4.0	10.0	12.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 50x140 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_50x140_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	50.0	140.0	4.0	10.0	12.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 50x160 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_50x160_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	50.0	160.0	4.0	10.0	12.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 50x180 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_50x180_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	50.0	180.0	4.0	10.0	12.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 50x200 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_50x200_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	50.0	200.0	4.0	10.0	12.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 55x120 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_55x120_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	55.0	120.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 55x140 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_55x140_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	55.0	140.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 55x160 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_55x160_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	55.0	160.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 55x180 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_55x180_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	55.0	180.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 55x200 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_55x200_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	55.0	200.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 60x120 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_60x120_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	60.0	120.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 60x140 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_60x140_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	60.0	140.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 60x160 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_60x160_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	60.0	160.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 60x180 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_60x180_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	60.0	180.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 60x200 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_60x200_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	60.0	200.0	6.0	10.0	14.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 70x140 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_70x140_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	70.0	140.0	6.0	13.0	16.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 70x160 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_70x160_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	70.0	160.0	6.0	13.0	16.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 70x180 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_70x180_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	70.0	180.0	6.0	13.0	16.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 70x200 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_70x200_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	70.0	200.0	6.0	13.0	16.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 80x160 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_80x160_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	80.0	160.0	6.0	13.0	16.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 80x180 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_80x180_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	80.0	180.0	6.0	13.0	16.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 80x200 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_80x200_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	80.0	200.0	6.0	13.0	16.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 90x180 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_90x180_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	90.0	180.0	6.0	13.0	16.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 90x200 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_90x200_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	90.0	200.0	6.0	13.0	16.0	St	EN 22340	1992
EN 22340 CLEVIS PIN 100x200 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_100x200_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	100.0	200.0	6.0	13.0	16.0	St	EN 22340	1992
