PartNumber	PartName	d_dia(mm)	c(mm)	l_length_nom(mm)	Material	Reference	Edition
EN ISO 2338 PIN 10x60 STEEL PARALLEL UNHARDENED	EN_ISO_2338_10x60_STEEL_UNHARDENED_PARALLEL_PIN	10.0	2.0	60.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 10x65 STEEL PARALLEL UNHARDENED	EN_ISO_2338_10x65_STEEL_UNHARDENED_PARALLEL_PIN	10.0	2.0	65.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 10x70 STEEL PARALLEL UNHARDENED	EN_ISO_2338_10x70_STEEL_UNHARDENED_PARALLEL_PIN	10.0	2.0	70.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 10x75 STEEL PARALLEL UNHARDENED	EN_ISO_2338_10x75_STEEL_UNHARDENED_PARALLEL_PIN	10.0	2.0	75.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 10x80 STEEL PARALLEL UNHARDENED	EN_ISO_2338_10x80_STEEL_UNHARDENED_PARALLEL_PIN	10.0	2.0	80.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 10x85 STEEL PARALLEL UNHARDENED	EN_ISO_2338_10x85_STEEL_UNHARDENED_PARALLEL_PIN	10.0	2.0	85.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 10x90 STEEL PARALLEL UNHARDENED	EN_ISO_2338_10x90_STEEL_UNHARDENED_PARALLEL_PIN	10.0	2.0	90.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 10x95 STEEL PARALLEL UNHARDENED	EN_ISO_2338_10x95_STEEL_UNHARDENED_PARALLEL_PIN	10.0	2.0	95.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x22 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x22_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	22.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x24 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x24_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	24.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x26 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x26_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	26.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x28 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x28_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	28.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x30 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x30_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	30.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x32 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x32_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	32.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x35 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x35_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	35.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x40 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x40_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	40.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x45 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x45_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	45.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x50 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x50_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	50.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x55 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x55_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	55.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x60 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x60_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	60.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x65 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x65_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	65.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x70 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x70_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	70.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x75 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x75_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	75.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x80 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x80_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	80.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x85 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x85_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	85.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x90 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x90_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	90.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x95 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x95_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	95.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x100 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x100_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	100.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x120 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x120_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	120.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 12x140 STEEL PARALLEL UNHARDENED	EN_ISO_2338_12x140_STEEL_UNHARDENED_PARALLEL_PIN	12.0	2.5	140.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x26 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x26_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	26.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x28 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x28_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	28.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x30 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x30_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	30.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x32 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x32_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	32.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x35 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x35_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	35.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x40 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x40_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	40.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x45 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x45_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	45.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x50 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x50_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	50.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x55 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x55_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	55.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x60 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x60_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	60.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x65 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x65_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	65.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x70 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x70_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	70.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x75 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x75_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	75.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x80 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x80_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	80.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x85 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x85_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	85.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x90 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x90_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	90.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x95 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x95_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	95.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x100 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x100_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	100.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x120 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x120_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	120.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x140 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x140_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	140.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x160 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x160_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	160.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 16x180 STEEL PARALLEL UNHARDENED	EN_ISO_2338_16x180_STEEL_UNHARDENED_PARALLEL_PIN	16.0	3.0	180.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x35 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x35_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	35.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x40 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x40_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	40.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x45 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x45_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	45.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x50 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x50_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	50.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x55 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x55_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	55.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x60 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x60_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	60.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x65 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x65_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	65.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x70 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x70_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	70.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x75 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x75_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	75.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x80 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x80_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	80.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x85 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x85_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	85.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x90 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x90_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	90.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x95 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x95_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	95.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x100 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x100_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	100.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x120 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x120_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	120.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x140 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x140_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	140.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x160 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x160_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	160.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x180 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x180_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	180.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 20x200 STEEL PARALLEL UNHARDENED	EN_ISO_2338_20x200_STEEL_UNHARDENED_PARALLEL_PIN	20.0	3.5	200.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x50 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x50_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	50.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x55 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x55_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	55.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x60 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x60_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	60.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x65 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x65_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	65.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x70 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x70_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	70.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x75 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x75_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	75.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x80 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x80_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	80.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x85 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x85_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	85.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x90 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x90_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	90.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x95 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x95_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	95.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x100 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x100_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	100.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x120 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x120_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	120.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x140 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x140_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	140.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x160 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x160_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	160.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x180 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x180_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	180.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 25x200 STEEL PARALLEL UNHARDENED	EN_ISO_2338_25x200_STEEL_UNHARDENED_PARALLEL_PIN	25.0	4.0	200.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x60 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x60_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	60.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x65 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x65_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	65.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x70 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x70_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	70.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x75 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x75_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	75.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x80 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x80_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	80.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x85 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x85_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	85.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x90 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x90_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	90.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x95 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x95_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	95.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x100 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x100_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	100.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x120 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x120_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	120.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x140 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x140_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	140.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x160 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x160_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	160.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x180 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x180_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	180.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 30x200 STEEL PARALLEL UNHARDENED	EN_ISO_2338_30x200_STEEL_UNHARDENED_PARALLEL_PIN	30.0	5.0	200.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x80 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x80_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	80.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x85 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x85_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	85.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x90 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x90_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	90.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x95 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x95_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	95.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x100 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x100_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	100.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x120 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x120_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	120.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x140 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x140_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	140.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x160 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x160_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	160.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x180 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x180_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	180.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 40x200 STEEL PARALLEL UNHARDENED	EN_ISO_2338_40x200_STEEL_UNHARDENED_PARALLEL_PIN	40.0	6.3	200.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 50x95 STEEL PARALLEL UNHARDENED	EN_ISO_2338_50x95_STEEL_UNHARDENED_PARALLEL_PIN	50.0	8.0	95.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 50x100 STEEL PARALLEL UNHARDENED	EN_ISO_2338_50x100_STEEL_UNHARDENED_PARALLEL_PIN	50.0	8.0	100.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 50x120 STEEL PARALLEL UNHARDENED	EN_ISO_2338_50x120_STEEL_UNHARDENED_PARALLEL_PIN	50.0	8.0	120.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 50x140 STEEL PARALLEL UNHARDENED	EN_ISO_2338_50x140_STEEL_UNHARDENED_PARALLEL_PIN	50.0	8.0	140.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 50x160 STEEL PARALLEL UNHARDENED	EN_ISO_2338_50x160_STEEL_UNHARDENED_PARALLEL_PIN	50.0	8.0	160.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 50x180 STEEL PARALLEL UNHARDENED	EN_ISO_2338_50x180_STEEL_UNHARDENED_PARALLEL_PIN	50.0	8.0	180.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 50x200 STEEL PARALLEL UNHARDENED	EN_ISO_2338_50x200_STEEL_UNHARDENED_PARALLEL_PIN	50.0	8.0	200.0	St	EN ISO 2338	1997
