PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	a_min(mm)	c_max(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
EN ISO 4018 SCREW M18x65 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x65_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	57.5	65.0	66.5	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x70 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x70_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	62.5	70.0	71.5	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x80 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x80_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	72.5	80.0	81.5	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x90 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x90_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	82.5	90.0	91.75	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x100 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x100_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	92.5	100.0	101.75	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x110 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x110_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	102.5	110.0	111.75	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x120 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x120_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	112.5	120.0	121.75	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x130 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x130_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	122.5	130.0	132.0	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x140 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x140_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	132.5	140.0	142.0	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x150 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x150_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	142.5	150.0	152.0	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
