PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	ds_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
EN ISO 4029 SCREW M2.5&6 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2.5&6_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	5.859	6.0	1.2	1.454	1.3	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2.5&8 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2.5&8_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	7.859	8.0	1.2	1.454	1.3	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2.5&10 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2.5&10_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	9.859	10.0	1.2	1.454	1.3	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2.5&12 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2.5&12_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	11.859	12.0	1.2	1.454	1.3	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M3&3 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M3&3_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M3	3.0	0.5	2.844	3.0	1.4	1.733	1.5	1.2	St	EN IS0 4029	2003
EN ISO 4029 SCREW M3&4 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M3&4_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M3	3.0	0.5	3.844	4.0	1.4	1.733	1.5	1.2	St	EN IS0 4029	2003
EN ISO 4029 SCREW M3&5 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M3&5_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M3	3.0	0.5	4.844	5.0	1.4	1.733	1.5	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M3&6 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M3&6_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M3	3.0	0.5	5.844	6.0	1.4	1.733	1.5	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M3&8 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M3&8_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M3	3.0	0.5	7.844	8.0	1.4	1.733	1.5	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M3&10 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M3&10_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M3	3.0	0.5	9.844	10.0	1.4	1.733	1.5	2.0	St	EN IS0 4029	2003
