PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	ds_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
EN ISO 4029 SCREW M12&60 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M12&60_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M12	12.0	1.75	59.453	60.0	8.0	6.863	6.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&16 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&16_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	15.375	16.0	10.0	9.149	8.0	6.4	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&20 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&20_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	19.375	20.0	10.0	9.149	8.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&25 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&25_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	24.375	25.0	10.0	9.149	8.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&30 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&30_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	29.375	30.0	10.0	9.149	8.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&35 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&35_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	34.375	35.0	10.0	9.149	8.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&40 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&40_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	39.375	40.0	10.0	9.149	8.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&45 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&45_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	44.375	45.0	10.0	9.149	8.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&50 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&50_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	49.375	50.0	10.0	9.149	8.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&55 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&55_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	54.375	55.0	10.0	9.149	8.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M16&60 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M16&60_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M16	16.0	2.0	59.375	60.0	10.0	9.149	8.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M20&20 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M20&20_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M20	20.0	2.5	19.219	20.0	14.0	11.429	10.0	8.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M20&25 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M20&25_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M20	20.0	2.5	24.219	25.0	14.0	11.429	10.0	12.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M20&30 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M20&30_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M20	20.0	2.5	29.219	30.0	14.0	11.429	10.0	12.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M20&35 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M20&35_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M20	20.0	2.5	34.219	35.0	14.0	11.429	10.0	12.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M20&40 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M20&40_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M20	20.0	2.5	39.219	40.0	14.0	11.429	10.0	12.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M20&45 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M20&45_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M20	20.0	2.5	44.219	45.0	14.0	11.429	10.0	12.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M20&50 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M20&50_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M20	20.0	2.5	49.219	50.0	14.0	11.429	10.0	12.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M20&55 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M20&55_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M20	20.0	2.5	54.219	55.0	14.0	11.429	10.0	12.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M20&60 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M20&60_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M20	20.0	2.5	59.219	60.0	14.0	11.429	10.0	12.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M24&25 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M24&25_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M24	24.0	3.0	24.063	25.0	16.0	13.716	12.0	10.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M24&30 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M24&30_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M24	24.0	3.0	29.063	30.0	16.0	13.716	12.0	15.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M24&35 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M24&35_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M24	24.0	3.0	34.063	35.0	16.0	13.716	12.0	15.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M24&40 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M24&40_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M24	24.0	3.0	39.063	40.0	16.0	13.716	12.0	15.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M24&45 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M24&45_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M24	24.0	3.0	44.063	45.0	16.0	13.716	12.0	15.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M24&50 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M24&50_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M24	24.0	3.0	49.063	50.0	16.0	13.716	12.0	15.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M24&55 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M24&55_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M24	24.0	3.0	54.063	55.0	16.0	13.716	12.0	15.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M24&60 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M24&60_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M24	24.0	3.0	59.063	60.0	16.0	13.716	12.0	15.0	St	EN IS0 4029	2003
