PartNumber	PartName	d1_nom_dia(mm)	l_nom_length(mm)	l_min(mm)	l_max(mm)	c1_rad(mm)	c2_cham(mm)	a_rad(mm)	tol	Material	Reference	Edition
ISO 8740 GROOVED PIN 4x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	18.0	17.5	18.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	20.0	19.5	20.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	22.0	21.5	22.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	24.0	23.5	24.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	26.0	25.5	26.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	28.0	27.5	28.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	30.0	29.5	30.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	32.0	31.5	32.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	35.0	34.5	35.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	40.0	39.5	40.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x45 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x45_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	45.0	44.5	45.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x50 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x50_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	50.0	49.5	50.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x55 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x55_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	55.0	54.25	55.75	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x60 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x60_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	60.0	59.25	60.75	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x14 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x14_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	14.0	13.5	14.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x16 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x16_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	16.0	15.5	16.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	18.0	17.5	18.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	20.0	19.5	20.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	22.0	21.5	22.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	24.0	23.5	24.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	26.0	25.5	26.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	28.0	27.5	28.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	30.0	29.5	30.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	32.0	31.5	32.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	35.0	34.5	35.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	40.0	39.5	40.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x45 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x45_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	45.0	44.5	45.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x50 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x50_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	50.0	49.5	50.5	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x55 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x55_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	55.0	54.25	55.75	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 5x60 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_5x60_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	5.0	60.0	59.25	60.75	0.5	1.7	0.63	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x14 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x14_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	14.0	13.5	14.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x16 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x16_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	16.0	15.5	16.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	18.0	17.5	18.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	20.0	19.5	20.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	22.0	21.5	22.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	24.0	23.5	24.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	26.0	25.5	26.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	28.0	27.5	28.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	30.0	29.5	30.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	32.0	31.5	32.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	35.0	34.5	35.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	40.0	39.5	40.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x45 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x45_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	45.0	44.5	45.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x50 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x50_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	50.0	49.5	50.5	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x55 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x55_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	55.0	54.25	55.75	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x60 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x60_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	60.0	59.25	60.75	0.6	2.1	0.8	h11	St	ISO 8740	1997
