PartNumber	PartName	d_dia(mm)	a(mm)	l_length_nom(mm)	l_max(mm)	l_min(mm)	r1(mm)	r2(mm)	Material	Reference	Edition
ISO 2339 PIN 8x55 STEEL TAPER UNHARDENED	ISO_2339_8x55_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	55.0	55.75	54.25	8.0	8.651	St	ISO 2339	1986
ISO 2339 PIN 8x60 STEEL TAPER UNHARDENED	ISO_2339_8x60_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	60.0	60.75	59.25	8.0	8.68	St	ISO 2339	1986
ISO 2339 PIN 8x65 STEEL TAPER UNHARDENED	ISO_2339_8x65_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	65.0	65.75	64.25	8.0	8.711	St	ISO 2339	1986
ISO 2339 PIN 8x70 STEEL TAPER UNHARDENED	ISO_2339_8x70_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	70.0	70.75	69.25	8.0	8.745	St	ISO 2339	1986
ISO 2339 PIN 8x75 STEEL TAPER UNHARDENED	ISO_2339_8x75_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	75.0	75.75	74.25	8.0	8.781	St	ISO 2339	1986
ISO 2339 PIN 8x80 STEEL TAPER UNHARDENED	ISO_2339_8x80_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	80.0	80.75	79.25	8.0	8.82	St	ISO 2339	1986
ISO 2339 PIN 8x85 STEEL TAPER UNHARDENED	ISO_2339_8x85_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	85.0	85.75	84.25	8.0	8.861	St	ISO 2339	1986
ISO 2339 PIN 8x90 STEEL TAPER UNHARDENED	ISO_2339_8x90_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	90.0	90.75	89.25	8.0	8.905	St	ISO 2339	1986
ISO 2339 PIN 8x95 STEEL TAPER UNHARDENED	ISO_2339_8x95_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	95.0	95.75	94.25	8.0	8.951	St	ISO 2339	1986
ISO 2339 PIN 8x100 STEEL TAPER UNHARDENED	ISO_2339_8x100_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	100.0	100.75	99.25	8.0	9.0	St	ISO 2339	1986
ISO 2339 PIN 8x120 STEEL TAPER UNHARDENED	ISO_2339_8x120_STEEL_UNHARDENED_TAPER_PIN	8.0	1.0	120.0	120.75	119.25	8.0	9.22	St	ISO 2339	1986
ISO 2339 PIN 10x26 STEEL TAPER UNHARDENED	ISO_2339_10x26_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	26.0	26.5	25.5	10.0	10.628	St	ISO 2339	1986
ISO 2339 PIN 10x28 STEEL TAPER UNHARDENED	ISO_2339_10x28_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	28.0	28.5	27.5	10.0	10.633	St	ISO 2339	1986
ISO 2339 PIN 10x30 STEEL TAPER UNHARDENED	ISO_2339_10x30_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	30.0	30.5	29.5	10.0	10.638	St	ISO 2339	1986
ISO 2339 PIN 10x32 STEEL TAPER UNHARDENED	ISO_2339_10x32_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	32.0	32.5	31.5	10.0	10.643	St	ISO 2339	1986
ISO 2339 PIN 10x35 STEEL TAPER UNHARDENED	ISO_2339_10x35_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	35.0	35.5	34.5	10.0	10.651	St	ISO 2339	1986
ISO 2339 PIN 10x40 STEEL TAPER UNHARDENED	ISO_2339_10x40_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	40.0	40.5	39.5	10.0	10.667	St	ISO 2339	1986
ISO 2339 PIN 10x45 STEEL TAPER UNHARDENED	ISO_2339_10x45_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	45.0	45.5	44.5	10.0	10.684	St	ISO 2339	1986
ISO 2339 PIN 10x50 STEEL TAPER UNHARDENED	ISO_2339_10x50_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	50.0	50.5	49.5	10.0	10.704	St	ISO 2339	1986
ISO 2339 PIN 10x55 STEEL TAPER UNHARDENED	ISO_2339_10x55_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	55.0	55.75	54.25	10.0	10.726	St	ISO 2339	1986
ISO 2339 PIN 10x60 STEEL TAPER UNHARDENED	ISO_2339_10x60_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	60.0	60.75	59.25	10.0	10.75	St	ISO 2339	1986
ISO 2339 PIN 10x65 STEEL TAPER UNHARDENED	ISO_2339_10x65_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	65.0	65.75	64.25	10.0	10.776	St	ISO 2339	1986
ISO 2339 PIN 10x70 STEEL TAPER UNHARDENED	ISO_2339_10x70_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	70.0	70.75	69.25	10.0	10.804	St	ISO 2339	1986
ISO 2339 PIN 10x75 STEEL TAPER UNHARDENED	ISO_2339_10x75_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	75.0	75.75	74.25	10.0	10.834	St	ISO 2339	1986
ISO 2339 PIN 10x80 STEEL TAPER UNHARDENED	ISO_2339_10x80_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	80.0	80.75	79.25	10.0	10.867	St	ISO 2339	1986
ISO 2339 PIN 10x85 STEEL TAPER UNHARDENED	ISO_2339_10x85_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	85.0	85.75	84.25	10.0	10.901	St	ISO 2339	1986
ISO 2339 PIN 10x90 STEEL TAPER UNHARDENED	ISO_2339_10x90_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	90.0	90.75	89.25	10.0	10.938	St	ISO 2339	1986
ISO 2339 PIN 10x95 STEEL TAPER UNHARDENED	ISO_2339_10x95_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	95.0	95.75	94.25	10.0	10.976	St	ISO 2339	1986
ISO 2339 PIN 10x100 STEEL TAPER UNHARDENED	ISO_2339_10x100_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	100.0	100.75	99.25	10.0	11.017	St	ISO 2339	1986
ISO 2339 PIN 10x120 STEEL TAPER UNHARDENED	ISO_2339_10x120_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	120.0	120.75	119.25	10.0	11.2	St	ISO 2339	1986
ISO 2339 PIN 10x140 STEEL TAPER UNHARDENED	ISO_2339_10x140_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	140.0	140.75	139.25	10.0	11.417	St	ISO 2339	1986
ISO 2339 PIN 10x160 STEEL TAPER UNHARDENED	ISO_2339_10x160_STEEL_UNHARDENED_TAPER_PIN	10.0	1.2	160.0	160.75	159.25	10.0	11.667	St	ISO 2339	1986
ISO 2339 PIN 12x32 STEEL TAPER UNHARDENED	ISO_2339_12x32_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	32.0	32.5	31.5	12.0	12.832	St	ISO 2339	1986
ISO 2339 PIN 12x35 STEEL TAPER UNHARDENED	ISO_2339_12x35_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	35.0	35.5	34.5	12.0	12.838	St	ISO 2339	1986
ISO 2339 PIN 12x40 STEEL TAPER UNHARDENED	ISO_2339_12x40_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	40.0	40.5	39.5	12.0	12.85	St	ISO 2339	1986
ISO 2339 PIN 12x45 STEEL TAPER UNHARDENED	ISO_2339_12x45_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	45.0	45.5	44.5	12.0	12.863	St	ISO 2339	1986
ISO 2339 PIN 12x50 STEEL TAPER UNHARDENED	ISO_2339_12x50_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	50.0	50.5	49.5	12.0	12.878	St	ISO 2339	1986
ISO 2339 PIN 12x55 STEEL TAPER UNHARDENED	ISO_2339_12x55_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	55.0	55.75	54.25	12.0	12.895	St	ISO 2339	1986
ISO 2339 PIN 12x60 STEEL TAPER UNHARDENED	ISO_2339_12x60_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	60.0	60.75	59.25	12.0	12.913	St	ISO 2339	1986
ISO 2339 PIN 12x65 STEEL TAPER UNHARDENED	ISO_2339_12x65_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	65.0	65.75	64.25	12.0	12.932	St	ISO 2339	1986
ISO 2339 PIN 12x70 STEEL TAPER UNHARDENED	ISO_2339_12x70_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	70.0	70.75	69.25	12.0	12.953	St	ISO 2339	1986
ISO 2339 PIN 12x75 STEEL TAPER UNHARDENED	ISO_2339_12x75_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	75.0	75.75	74.25	12.0	12.976	St	ISO 2339	1986
ISO 2339 PIN 12x80 STEEL TAPER UNHARDENED	ISO_2339_12x80_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	80.0	80.75	79.25	12.0	13.0	St	ISO 2339	1986
ISO 2339 PIN 12x85 STEEL TAPER UNHARDENED	ISO_2339_12x85_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	85.0	85.75	84.25	12.0	13.026	St	ISO 2339	1986
ISO 2339 PIN 12x90 STEEL TAPER UNHARDENED	ISO_2339_12x90_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	90.0	90.75	89.25	12.0	13.053	St	ISO 2339	1986
ISO 2339 PIN 12x95 STEEL TAPER UNHARDENED	ISO_2339_12x95_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	95.0	95.75	94.25	12.0	13.082	St	ISO 2339	1986
ISO 2339 PIN 12x100 STEEL TAPER UNHARDENED	ISO_2339_12x100_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	100.0	100.75	99.25	12.0	13.113	St	ISO 2339	1986
ISO 2339 PIN 12x120 STEEL TAPER UNHARDENED	ISO_2339_12x120_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	120.0	120.75	119.25	12.0	13.25	St	ISO 2339	1986
ISO 2339 PIN 12x140 STEEL TAPER UNHARDENED	ISO_2339_12x140_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	140.0	140.75	139.25	12.0	13.413	St	ISO 2339	1986
ISO 2339 PIN 12x160 STEEL TAPER UNHARDENED	ISO_2339_12x160_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	160.0	160.75	159.25	12.0	13.6	St	ISO 2339	1986
ISO 2339 PIN 12x180 STEEL TAPER UNHARDENED	ISO_2339_12x180_STEEL_UNHARDENED_TAPER_PIN	12.0	1.6	180.0	180.75	179.25	12.0	13.813	St	ISO 2339	1986
ISO 2339 PIN 16x40 STEEL TAPER UNHARDENED	ISO_2339_16x40_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	40.0	40.5	39.5	16.0	17.04	St	ISO 2339	1986
ISO 2339 PIN 16x45 STEEL TAPER UNHARDENED	ISO_2339_16x45_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	45.0	45.5	44.5	16.0	17.051	St	ISO 2339	1986
ISO 2339 PIN 16x50 STEEL TAPER UNHARDENED	ISO_2339_16x50_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	50.0	50.5	49.5	16.0	17.063	St	ISO 2339	1986
ISO 2339 PIN 16x55 STEEL TAPER UNHARDENED	ISO_2339_16x55_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	55.0	55.75	54.25	16.0	17.076	St	ISO 2339	1986
ISO 2339 PIN 16x60 STEEL TAPER UNHARDENED	ISO_2339_16x60_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	60.0	60.75	59.25	16.0	17.09	St	ISO 2339	1986
ISO 2339 PIN 16x65 STEEL TAPER UNHARDENED	ISO_2339_16x65_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	65.0	65.75	64.25	16.0	17.106	St	ISO 2339	1986
ISO 2339 PIN 16x70 STEEL TAPER UNHARDENED	ISO_2339_16x70_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	70.0	70.75	69.25	16.0	17.123	St	ISO 2339	1986
ISO 2339 PIN 16x75 STEEL TAPER UNHARDENED	ISO_2339_16x75_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	75.0	75.75	74.25	16.0	17.141	St	ISO 2339	1986
ISO 2339 PIN 16x80 STEEL TAPER UNHARDENED	ISO_2339_16x80_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	80.0	80.75	79.25	16.0	17.16	St	ISO 2339	1986
ISO 2339 PIN 16x85 STEEL TAPER UNHARDENED	ISO_2339_16x85_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	85.0	85.75	84.25	16.0	17.181	St	ISO 2339	1986
ISO 2339 PIN 16x90 STEEL TAPER UNHARDENED	ISO_2339_16x90_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	90.0	90.75	89.25	16.0	17.203	St	ISO 2339	1986
ISO 2339 PIN 16x95 STEEL TAPER UNHARDENED	ISO_2339_16x95_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	95.0	95.75	94.25	16.0	17.226	St	ISO 2339	1986
ISO 2339 PIN 16x100 STEEL TAPER UNHARDENED	ISO_2339_16x100_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	100.0	100.75	99.25	16.0	17.25	St	ISO 2339	1986
ISO 2339 PIN 16x120 STEEL TAPER UNHARDENED	ISO_2339_16x120_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	120.0	120.75	119.25	16.0	17.36	St	ISO 2339	1986
ISO 2339 PIN 16x140 STEEL TAPER UNHARDENED	ISO_2339_16x140_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	140.0	140.75	139.25	16.0	17.49	St	ISO 2339	1986
ISO 2339 PIN 16x160 STEEL TAPER UNHARDENED	ISO_2339_16x160_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	160.0	160.75	159.25	16.0	17.64	St	ISO 2339	1986
ISO 2339 PIN 16x180 STEEL TAPER UNHARDENED	ISO_2339_16x180_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	180.0	180.75	179.25	16.0	17.81	St	ISO 2339	1986
ISO 2339 PIN 16x200 STEEL TAPER UNHARDENED	ISO_2339_16x200_STEEL_UNHARDENED_TAPER_PIN	16.0	2.0	200.0	200.75	199.25	16.0	18.0	St	ISO 2339	1986
ISO 2339 PIN 20x45 STEEL TAPER UNHARDENED	ISO_2339_20x45_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	45.0	45.5	44.5	20.0	21.291	St	ISO 2339	1986
ISO 2339 PIN 20x50 STEEL TAPER UNHARDENED	ISO_2339_20x50_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	50.0	50.5	49.5	20.0	21.3	St	ISO 2339	1986
ISO 2339 PIN 20x55 STEEL TAPER UNHARDENED	ISO_2339_20x55_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	55.0	55.75	54.25	20.0	21.311	St	ISO 2339	1986
ISO 2339 PIN 20x60 STEEL TAPER UNHARDENED	ISO_2339_20x60_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	60.0	60.75	59.25	20.0	21.322	St	ISO 2339	1986
ISO 2339 PIN 20x65 STEEL TAPER UNHARDENED	ISO_2339_20x65_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	65.0	65.75	64.25	20.0	21.335	St	ISO 2339	1986
ISO 2339 PIN 20x70 STEEL TAPER UNHARDENED	ISO_2339_20x70_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	70.0	70.75	69.25	20.0	21.348	St	ISO 2339	1986
ISO 2339 PIN 20x75 STEEL TAPER UNHARDENED	ISO_2339_20x75_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	75.0	75.75	74.25	20.0	21.363	St	ISO 2339	1986
ISO 2339 PIN 20x80 STEEL TAPER UNHARDENED	ISO_2339_20x80_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	80.0	80.75	79.25	20.0	21.378	St	ISO 2339	1986
ISO 2339 PIN 20x85 STEEL TAPER UNHARDENED	ISO_2339_20x85_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	85.0	85.75	84.25	20.0	21.395	St	ISO 2339	1986
ISO 2339 PIN 20x90 STEEL TAPER UNHARDENED	ISO_2339_20x90_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	90.0	90.75	89.25	20.0	21.412	St	ISO 2339	1986
ISO 2339 PIN 20x95 STEEL TAPER UNHARDENED	ISO_2339_20x95_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	95.0	95.75	94.25	20.0	21.431	St	ISO 2339	1986
ISO 2339 PIN 20x100 STEEL TAPER UNHARDENED	ISO_2339_20x100_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	100.0	100.75	99.25	20.0	21.45	St	ISO 2339	1986
ISO 2339 PIN 20x120 STEEL TAPER UNHARDENED	ISO_2339_20x120_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	120.0	120.75	119.25	20.0	21.538	St	ISO 2339	1986
ISO 2339 PIN 20x140 STEEL TAPER UNHARDENED	ISO_2339_20x140_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	140.0	140.75	139.25	20.0	21.642	St	ISO 2339	1986
ISO 2339 PIN 20x160 STEEL TAPER UNHARDENED	ISO_2339_20x160_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	160.0	160.75	159.25	20.0	21.762	St	ISO 2339	1986
ISO 2339 PIN 20x180 STEEL TAPER UNHARDENED	ISO_2339_20x180_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	180.0	180.75	179.25	20.0	21.898	St	ISO 2339	1986
ISO 2339 PIN 20x200 STEEL TAPER UNHARDENED	ISO_2339_20x200_STEEL_UNHARDENED_TAPER_PIN	20.0	2.5	200.0	200.75	199.25	20.0	22.05	St	ISO 2339	1986
ISO 2339 PIN 25x50 STEEL TAPER UNHARDENED	ISO_2339_25x50_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	50.0	50.5	49.5	25.0	26.542	St	ISO 2339	1986
ISO 2339 PIN 25x55 STEEL TAPER UNHARDENED	ISO_2339_25x55_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	55.0	55.75	54.25	25.0	26.55	St	ISO 2339	1986
ISO 2339 PIN 25x60 STEEL TAPER UNHARDENED	ISO_2339_25x60_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	60.0	60.75	59.25	25.0	26.56	St	ISO 2339	1986
ISO 2339 PIN 25x65 STEEL TAPER UNHARDENED	ISO_2339_25x65_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	65.0	65.75	64.25	25.0	26.57	St	ISO 2339	1986
ISO 2339 PIN 25x70 STEEL TAPER UNHARDENED	ISO_2339_25x70_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	70.0	70.75	69.25	25.0	26.582	St	ISO 2339	1986
ISO 2339 PIN 25x75 STEEL TAPER UNHARDENED	ISO_2339_25x75_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	75.0	75.75	74.25	25.0	26.594	St	ISO 2339	1986
ISO 2339 PIN 25x80 STEEL TAPER UNHARDENED	ISO_2339_25x80_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	80.0	80.75	79.25	25.0	26.607	St	ISO 2339	1986
ISO 2339 PIN 25x85 STEEL TAPER UNHARDENED	ISO_2339_25x85_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	85.0	85.75	84.25	25.0	26.62	St	ISO 2339	1986
ISO 2339 PIN 25x90 STEEL TAPER UNHARDENED	ISO_2339_25x90_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	90.0	90.75	89.25	25.0	26.635	St	ISO 2339	1986
ISO 2339 PIN 25x95 STEEL TAPER UNHARDENED	ISO_2339_25x95_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	95.0	95.75	94.25	25.0	26.65	St	ISO 2339	1986
ISO 2339 PIN 25x100 STEEL TAPER UNHARDENED	ISO_2339_25x100_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	100.0	100.75	99.25	25.0	26.667	St	ISO 2339	1986
ISO 2339 PIN 25x120 STEEL TAPER UNHARDENED	ISO_2339_25x120_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	120.0	120.75	119.25	25.0	26.74	St	ISO 2339	1986
ISO 2339 PIN 25x140 STEEL TAPER UNHARDENED	ISO_2339_25x140_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	140.0	140.75	139.25	25.0	26.827	St	ISO 2339	1986
ISO 2339 PIN 25x160 STEEL TAPER UNHARDENED	ISO_2339_25x160_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	160.0	160.75	159.25	25.0	26.927	St	ISO 2339	1986
ISO 2339 PIN 25x180 STEEL TAPER UNHARDENED	ISO_2339_25x180_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	180.0	180.75	179.25	25.0	27.04	St	ISO 2339	1986
ISO 2339 PIN 25x200 STEEL TAPER UNHARDENED	ISO_2339_25x200_STEEL_UNHARDENED_TAPER_PIN	25.0	3.0	200.0	200.75	199.25	25.0	27.167	St	ISO 2339	1986
ISO 2339 PIN 30x55 STEEL TAPER UNHARDENED	ISO_2339_30x55_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	55.0	55.75	54.25	30.0	32.038	St	ISO 2339	1986
ISO 2339 PIN 30x60 STEEL TAPER UNHARDENED	ISO_2339_30x60_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	60.0	60.75	59.25	30.0	32.045	St	ISO 2339	1986
ISO 2339 PIN 30x65 STEEL TAPER UNHARDENED	ISO_2339_30x65_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	65.0	65.75	64.25	30.0	32.053	St	ISO 2339	1986
ISO 2339 PIN 30x70 STEEL TAPER UNHARDENED	ISO_2339_30x70_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	70.0	70.75	69.25	30.0	32.061	St	ISO 2339	1986
ISO 2339 PIN 30x75 STEEL TAPER UNHARDENED	ISO_2339_30x75_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	75.0	75.75	74.25	30.0	32.07	St	ISO 2339	1986
ISO 2339 PIN 30x80 STEEL TAPER UNHARDENED	ISO_2339_30x80_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	80.0	80.75	79.25	30.0	32.08	St	ISO 2339	1986
ISO 2339 PIN 30x85 STEEL TAPER UNHARDENED	ISO_2339_30x85_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	85.0	85.75	84.25	30.0	32.09	St	ISO 2339	1986
ISO 2339 PIN 30x90 STEEL TAPER UNHARDENED	ISO_2339_30x90_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	90.0	90.75	89.25	30.0	32.101	St	ISO 2339	1986
ISO 2339 PIN 30x95 STEEL TAPER UNHARDENED	ISO_2339_30x95_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	95.0	95.75	94.25	30.0	32.113	St	ISO 2339	1986
ISO 2339 PIN 30x100 STEEL TAPER UNHARDENED	ISO_2339_30x100_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	100.0	100.75	99.25	30.0	32.125	St	ISO 2339	1986
ISO 2339 PIN 30x120 STEEL TAPER UNHARDENED	ISO_2339_30x120_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	120.0	120.75	119.25	30.0	32.18	St	ISO 2339	1986
ISO 2339 PIN 30x140 STEEL TAPER UNHARDENED	ISO_2339_30x140_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	140.0	140.75	139.25	30.0	32.245	St	ISO 2339	1986
ISO 2339 PIN 30x160 STEEL TAPER UNHARDENED	ISO_2339_30x160_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	160.0	160.75	159.25	30.0	32.32	St	ISO 2339	1986
ISO 2339 PIN 30x180 STEEL TAPER UNHARDENED	ISO_2339_30x180_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	180.0	180.75	179.25	30.0	32.405	St	ISO 2339	1986
ISO 2339 PIN 30x200 STEEL TAPER UNHARDENED	ISO_2339_30x200_STEEL_UNHARDENED_TAPER_PIN	30.0	4.0	200.0	200.75	199.25	30.0	32.5	St	ISO 2339	1986
ISO 2339 PIN 40x60 STEEL TAPER UNHARDENED	ISO_2339_40x60_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	60.0	60.75	59.25	40.0	42.536	St	ISO 2339	1986
ISO 2339 PIN 40x65 STEEL TAPER UNHARDENED	ISO_2339_40x65_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	65.0	65.75	64.25	40.0	42.542	St	ISO 2339	1986
ISO 2339 PIN 40x70 STEEL TAPER UNHARDENED	ISO_2339_40x70_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	70.0	70.75	69.25	40.0	42.549	St	ISO 2339	1986
ISO 2339 PIN 40x75 STEEL TAPER UNHARDENED	ISO_2339_40x75_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	75.0	75.75	74.25	40.0	42.556	St	ISO 2339	1986
ISO 2339 PIN 40x80 STEEL TAPER UNHARDENED	ISO_2339_40x80_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	80.0	80.75	79.25	40.0	42.564	St	ISO 2339	1986
ISO 2339 PIN 40x85 STEEL TAPER UNHARDENED	ISO_2339_40x85_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	85.0	85.75	84.25	40.0	42.572	St	ISO 2339	1986
ISO 2339 PIN 40x90 STEEL TAPER UNHARDENED	ISO_2339_40x90_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	90.0	90.75	89.25	40.0	42.581	St	ISO 2339	1986
ISO 2339 PIN 40x95 STEEL TAPER UNHARDENED	ISO_2339_40x95_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	95.0	95.75	94.25	40.0	42.59	St	ISO 2339	1986
ISO 2339 PIN 40x100 STEEL TAPER UNHARDENED	ISO_2339_40x100_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	100.0	100.75	99.25	40.0	42.6	St	ISO 2339	1986
ISO 2339 PIN 40x120 STEEL TAPER UNHARDENED	ISO_2339_40x120_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	120.0	120.75	119.25	40.0	42.644	St	ISO 2339	1986
ISO 2339 PIN 40x140 STEEL TAPER UNHARDENED	ISO_2339_40x140_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	140.0	140.75	139.25	40.0	42.696	St	ISO 2339	1986
ISO 2339 PIN 40x160 STEEL TAPER UNHARDENED	ISO_2339_40x160_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	160.0	160.75	159.25	40.0	42.756	St	ISO 2339	1986
ISO 2339 PIN 40x180 STEEL TAPER UNHARDENED	ISO_2339_40x180_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	180.0	180.75	179.25	40.0	42.824	St	ISO 2339	1986
ISO 2339 PIN 40x200 STEEL TAPER UNHARDENED	ISO_2339_40x200_STEEL_UNHARDENED_TAPER_PIN	40.0	5.0	200.0	200.75	199.25	40.0	42.9	St	ISO 2339	1986
ISO 2339 PIN 50x65 STEEL TAPER UNHARDENED	ISO_2339_50x65_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	65.0	65.75	64.25	50.0	53.184	St	ISO 2339	1986
ISO 2339 PIN 50x70 STEEL TAPER UNHARDENED	ISO_2339_50x70_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	70.0	70.75	69.25	50.0	53.189	St	ISO 2339	1986
